nohup: ignoring input
[sub-068 run-01] START 17:52:09
[sub-067 run-01] START 17:52:09
[sub-071 run-01] START 17:52:09
[sub-068 run-01] END   18:09:37
[sub-068 run-02] START 18:09:37
[sub-071 run-01] END   18:09:38
[sub-071 run-02] START 18:09:38
[sub-067 run-01] END   18:10:03
[sub-067 run-02] START 18:10:03
[sub-068 run-02] END   18:26:34
[sub-068 run-03] START 18:26:34
[sub-067 run-02] END   18:27:15
[sub-067 run-03] START 18:27:15
[sub-071 run-02] END   18:27:19
[sub-071 run-03] START 18:27:19
[sub-068 run-03] END   18:42:46
[sub-067 run-03] END   18:44:02
[sub-071 run-03] END   18:44:13
[sub-083 run-01] START 18:44:13
[sub-084 run-01] START 18:44:13
[sub-085 run-01] START 18:44:13
[sub-084 run-01] END   19:00:39
[sub-084 run-02] START 19:00:39
[sub-085 run-01] END   19:00:41
[sub-085 run-02] START 19:00:41
[sub-083 run-01] END   19:02:50
[sub-083 run-02] START 19:02:50
[sub-085 run-02] END   19:17:30
[sub-085 run-03] START 19:17:30
[sub-084 run-02] END   19:20:58
[sub-084 run-03] START 19:20:58
[sub-083 run-02] END   19:21:08
[sub-083 run-03] START 19:21:08
[sub-085 run-03] END   19:33:53
[sub-083 run-03] END   19:38:38
[sub-084 run-03] END   19:40:43
[sub-093 run-01] START 19:40:43
[sub-088 run-01] START 19:40:43
[sub-087 run-01] START 19:40:43
[sub-088 run-01] END   19:56:48
[sub-088 run-02] START 19:56:48
[sub-093 run-01] END   19:56:57
[sub-093 run-02] START 19:56:57
[sub-087 run-01] END   19:57:40
[sub-087 run-02] START 19:57:40
[sub-093 run-02] END   20:13:00
[sub-093 run-03] START 20:13:00
[sub-088 run-02] END   20:13:17
[sub-088 run-03] START 20:13:17
[sub-087 run-02] END   20:14:02
[sub-087 run-03] START 20:14:02
[sub-088 run-03] END   20:29:46
[sub-093 run-03] END   20:29:53
[sub-087 run-03] END   20:31:02
[sub-095 run-01] START 20:31:02
[sub-096 run-01] START 20:31:02
[sub-094 run-01] START 20:31:02
[sub-094 run-01] END   20:46:59
[sub-094 run-02] START 20:46:59
[sub-096 run-01] END   20:47:44
[sub-096 run-02] START 20:47:44
[sub-095 run-01] END   20:48:41
[sub-095 run-02] START 20:48:41
[sub-094 run-02] END   21:02:57
[sub-094 run-03] START 21:02:57
[sub-096 run-02] END   21:04:25
[sub-096 run-03] START 21:04:26
[sub-095 run-02] END   21:04:46
[sub-095 run-03] START 21:04:46
[sub-094 run-03] END   21:19:00
[sub-095 run-03] END   21:21:18
[sub-096 run-03] END   21:22:02
[sub-097 run-01] START 21:22:02
[sub-107 run-01] START 21:22:02
[sub-097 run-01] END   21:38:58
[sub-097 run-02] START 21:38:58
[sub-107 run-01] END   21:40:26
[sub-107 run-02] START 21:40:26
[sub-097 run-02] END   21:55:06
[sub-097 run-03] START 21:55:06
[sub-107 run-02] END   21:58:00
[sub-107 run-03] START 21:58:00
[sub-097 run-03] END   22:10:59
[sub-107 run-03] END   22:15:43
ALL DONE 22:15:43
