subject,mean_correlation,std_deviation,min_correlation,max_correlation
sub-025,0.15287292,0.20637533,-0.62315404,1.0
sub-038,0.333197,0.17797248,-0.32643098,1.0
sub-057,0.35990566,0.18836738,-0.35372087,1.0
sub-059,0.3780467,0.18275176,-0.3660318,1.0
sub-064,0.31626293,0.19142899,-0.34608948,1.0
sub-067,0.5361528,0.15421225,-0.097115815,1.0
sub-068,0.31584615,0.17012031,-0.25152877,1.0
sub-071,0.4858241,0.1786491,-0.22377746,1.0
sub-083,0.37405947,0.18049765,-0.19832787,1.0
sub-084,0.43968296,0.19030395,-0.32765576,1.0
sub-085,0.29977936,0.19325154,-0.47086123,1.0
sub-087,0.23332891,0.21583809,-0.44517577,1.0
sub-088,0.35454854,0.1736047,-0.3418471,1.0
sub-093,0.4946462,0.17125136,-0.34540537,1.0
sub-094,0.40236035,0.17830311,-0.36870673,1.0
sub-095,0.47833124,0.2312578,-0.23187232,1.0
sub-096,0.34392124,0.198668,-0.32248062,1.0
sub-097,0.2755288,0.20023556,-0.49814367,1.0
sub-107,0.29987252,0.18308288,-0.31272766,1.0
