subject,index,task,roi,hemisphere,x,y,z
sub-025,0,loc,LO,left,-40.02711964,-57.186058,-0.569111611
sub-025,0,loc,LO,right,39.86771407,-51.4594189,-0.640217791
sub-025,0,loc,PFS,left,-28.78787446,-25.33659088,4.359418497
sub-025,0,loc,PFS,right,33.42828299,-29.45518169,-7.224073843
sub-025,0,loc,aIPS,left,-20.34395198,-58.21092668,37.66073985
sub-025,0,loc,aIPS,right,29.8020261,-60.82701569,29.6901267
sub-025,0,loc,pIPS,left,-44.22365047,-59.7575671,27.44474971
sub-025,0,loc,pIPS,right,43.71457877,-52.49810561,19.00978781
sub-025,1,loc,LO,left,-35.31151826,-47.44837876,6.706920283
sub-025,1,loc,LO,right,42.94056975,-53.16523325,-4.334501565
sub-025,1,loc,PFS,left,-30.78918703,-21.28854177,-5.670937181
sub-025,1,loc,PFS,right,35.98808291,-11.34086161,-3.714259541
sub-025,1,loc,aIPS,left,-19.34424935,-58.18833639,37.6697848
sub-025,1,loc,aIPS,right,11.21803221,-48.40936908,62.63608853
sub-025,1,loc,pIPS,left,-19.34424935,-58.18833639,37.6697848
sub-025,1,loc,pIPS,right,43.69423455,-51.5182515,18.81111219
sub-025,2,loc,LO,left,-35.31151826,-47.44837876,6.706920283
sub-025,2,loc,LO,right,39.86771407,-51.4594189,-0.640217791
sub-025,2,loc,PFS,left,-28.80821868,-24.35673678,4.16074288
sub-025,2,loc,PFS,right,33.42828299,-29.45518169,-7.224073843
sub-025,2,loc,aIPS,left,-19.34424935,-58.18833639,37.6697848
sub-025,2,loc,aIPS,right,11.21803221,-48.40936908,62.63608853
sub-025,2,loc,pIPS,left,-36.29278386,-58.58468097,32.41722716
sub-025,2,loc,pIPS,right,43.71457877,-52.49810561,19.00978781
sub-038,0,loc,LO,left,-42.529571667313576,-44.88887111097574,3.968964576721192
sub-038,0,loc,LO,right,46.9403108432889,-45.91468731686473,1.7104294300079346
sub-038,0,loc,PFS,left,-35.83039941638708,-24.81423218920827,-3.655342012643814
sub-038,0,loc,PFS,right,38.93785325437784,-21.71069647371769,1.3532306998968124
sub-038,0,loc,aIPS,left,-22.29640637338161,-53.949145063757896,36.97701272368431
sub-038,0,loc,aIPS,right,30.076652742922303,-36.03000589460135,52.66050608456135
sub-038,0,loc,pIPS,left,-22.29640637338161,-53.949145063757896,36.97701272368431
sub-038,0,loc,pIPS,right,20.02320636808872,-40.751847982406616,55.92127123475075
sub-038,1,loc,LO,left,-43.58113184571266,-42.97105263546109,3.5039965957403183
sub-038,1,loc,LO,right,46.912985771894455,-44.93508784100413,1.5113359242677689
sub-038,1,loc,PFS,left,-43.229482397437096,-38.47002923861146,-4.534481510519981
sub-038,1,loc,PFS,right,37.9136181473732,-20.772477474063635,1.087356224656105
sub-038,1,loc,aIPS,left,-23.59863380342722,-57.70860281214118,43.771913915872574
sub-038,1,loc,aIPS,right,30.076652742922303,-36.03000589460135,52.66050608456135
sub-038,1,loc,pIPS,left,-23.59863380342722,-57.70860281214118,43.771913915872574
sub-038,1,loc,pIPS,right,32.995948761701584,-52.01781053841114,48.93655353784561
sub-038,2,loc,LO,left,-46.9711968973279,-47.451946426182985,-3.0097638368606567
sub-038,2,loc,LO,right,40.51690787822008,-44.98305006697774,7.1759582459926605
sub-038,2,loc,PFS,left,-40.41339161247015,-36.97298163175583,-2.577827230095864
sub-038,2,loc,PFS,right,38.93785325437784,-21.71069647371769,1.3532306998968124
sub-038,2,loc,aIPS,left,-23.55230174958706,-56.92565668746829,42.59511797130108
sub-038,2,loc,aIPS,right,33.92529672384262,-38.21332236379385,56.458017796278
sub-038,2,loc,pIPS,left,-23.55230174958706,-56.92565668746829,42.59511797130108
sub-038,2,loc,pIPS,right,30.75842608511448,-59.59277563169599,42.109152153134346
sub-057,0,loc,LO,left,-47.53587982803583,-43.94302947074175,-12.316108968108892
sub-057,0,loc,LO,right,39.91514490172267,-37.21643041819334,2.5195863731205463
sub-057,0,loc,PFS,left,-36.63672298192978,-19.461628533899784,-10.34891863539815
sub-057,0,loc,PFS,right,45.761909417808056,-25.76966342329979,-11.183952070772648
sub-057,0,loc,aIPS,left,-24.312653727829456,-52.578844882547855,35.62245832756162
sub-057,0,loc,aIPS,right,34.351162135601044,-53.44956524670124,13.221339538693428
sub-057,0,loc,pIPS,left,-24.312653727829456,-52.578844882547855,35.62245832756162
sub-057,0,loc,pIPS,right,34.351162135601044,-53.44956524670124,13.221339538693428
sub-057,1,loc,LO,left,-47.572814989835024,-42.96910888701677,-12.539971437305212
sub-057,1,loc,LO,right,39.87820973992348,-36.242509834468365,2.2957239039242268
sub-057,1,loc,PFS,left,-36.63672298192978,-19.461628533899784,-10.34891863539815
sub-057,1,loc,PFS,right,45.761909417808056,-25.76966342329979,-11.183952070772648
sub-057,1,loc,aIPS,left,-23.11970430240035,-59.65865143761039,40.36093991436064
sub-057,1,loc,aIPS,right,27.424916740506887,-42.4399576112628,30.99254522845149
sub-057,1,loc,pIPS,left,-23.11970430240035,-59.65865143761039,40.36093991436064
sub-057,1,loc,pIPS,right,27.424916740506887,-42.4399576112628,30.99254522845149
sub-057,2,loc,LO,left,-47.64351042732597,-41.77251692861319,-11.789525117725134
sub-057,2,loc,LO,right,38.87946078181267,-36.2860538251698,2.271068437024951
sub-057,2,loc,PFS,left,-36.63672298192978,-19.461628533899784,-10.34891863539815
sub-057,2,loc,PFS,right,29.08333289995789,-8.713125392794609,-14.633655197918417
sub-057,2,loc,aIPS,left,-24.282068338245157,-52.0502670481801,33.4499782808125
sub-057,2,loc,aIPS,right,27.27717609331012,-38.544275276362896,30.09709535166621
sub-057,2,loc,pIPS,left,-24.282068338245157,-52.0502670481801,33.4499782808125
sub-057,2,loc,pIPS,right,27.27717609331012,-38.544275276362896,30.09709535166621
sub-059,0,loc,LO,left,-26.4312087520957,-58.14581426605582,-14.119357697665691
sub-059,0,loc,LO,right,42.24804126098752,-34.91340954601765,-23.577642053365707
sub-059,0,loc,PFS,left,-28.456572350114584,-25.92424134165049,-23.26638652384281
sub-059,0,loc,PFS,right,33.43786578252912,-19.21692717075348,-23.62037804722786
