Subject,pIPS_Tools_Nontools_Overlap,LO_Tools_Nontools_Overlap,Within_Subject_Between_ROI_Tools,Within_Subject_Between_ROI_Nontools,Between_Subject_Within_pIPS_Tools,Between_Subject_Within_pIPS_Nontools,Between_Subject_Within_LO_Tools,Between_Subject_Within_LO_Nontools
sub-spaceloc1001,0.5925545653621247,0.4130245282765835,0.5877832937621411,0.5127635562402594,0.3448751671615279,0.27894332905653274,0.41660924113484554,0.3276871694147757
sub-spaceloc1002,0.7825113567652212,0.7302821842887028,0.6681471611518247,0.6547735552426712,0.5189159872016325,0.4995073884167006,0.5482780825583405,0.5484436363540107
sub-spaceloc1003,0.6406968840553787,0.6460855239596017,0.778963137974387,0.6056530419249764,0.537427184378011,0.41889062042811287,0.5033522988163666,0.43995775488167643
sub-spaceloc1004,0.5727063933799742,0.6169101438445731,0.8338866184360768,0.7400430006030573,0.44814227643182275,0.5154499639066119,0.49125658037901127,0.5402885803286327
sub-spaceloc1005,0.7299594516857716,0.7741017955589804,0.8411784873967175,0.8478048303510316,0.5824925010878917,0.5032696072334,0.5673762222868288,0.5778610526309214
sub-spaceloc1006,0.448923691526488,0.5493800158150647,0.6022204879604892,0.7303567628909852,0.35328922895954085,0.49634469524850267,0.4377421715581466,0.5101195522451878
sub-spaceloc1007,0.7179858787423008,0.6410800361518377,0.7600722481251353,0.7691346176630885,0.5414434878946072,0.5128385342313135,0.5207520212819774,0.5809411952813713
sub-spaceloc1008,0.47997421141356333,0.6760297662718793,0.42590001626885443,0.5851050286441757,0.35458002581025644,0.45616879368712027,0.5244381131882012,0.5714156134910902
sub-spaceloc1009,0.7042596232752534,0.5964855729823818,0.6648951553076184,0.5826420148059968,0.45527376656111546,0.413850808045578,0.49799735823977825,0.43903538160922684
sub-spaceloc1010,0.6113938999063403,0.5832593957352511,0.7200172847889448,0.5000968622176466,0.41739095310249746,0.3651537045448166,0.5157193716279731,0.4576809744607082
sub-spaceloc1011,0.7083804942463686,0.6241369185743647,0.5213226956792809,0.47421539842247984,0.543018615389279,0.49018613197730876,0.46658808252442846,0.44836156001825533
sub-spaceloc1012,0.751862141380555,0.6317958481573976,0.8532546751656888,0.7504684072271234,0.5549376154655672,0.5416154566218533,0.5868568212602789,0.5252094818316776
sub-spaceloc2013,0.45038741507281177,0.5922098920602038,0.8543197651421175,0.5788531195311546,0.5489066706364887,0.3524254045818896,0.5819490822156337,0.479800536967378
sub-spaceloc2014,0.6358780394204141,0.42911620855123156,0.4715418464516198,0.8285438893507254,0.44718462033050993,0.5155098761289657,0.3392654967894413,0.5660986748347124
sub-spaceloc2015,0.6834021311318038,0.6761003245642901,0.548444484067967,0.735535369338591,0.40149248807288573,0.4966795779475823,0.5223359428257766,0.5487733300138308
sub-spaceloc2016,0.7667365359113659,0.6951366453048038,0.632469256752923,0.7417934787731774,0.481271904032756,0.513565534162056,0.5301290209752533,0.5668595104199605
sub-spaceloc2017,0.591136579285196,0.5938384602680166,0.6149188089240439,0.5411839883941332,0.44780751907188887,0.41129735621200036,0.5006911108510044,0.5064057855878833
sub-spaceloc2018,0.47523545649624344,0.4404076659138069,0.7929165309798717,0.6776562930507302,0.4753189032728443,0.3567229696024052,0.48617262081667967,0.3857582865155852
