ROI_ID,ROI_Name,Difference,CI_Lower,CI_Upper,LOO_Reliability,Combined_Significant,Direction
1,7Networks_LH_Vis_1,0.0064490736,-0.011665598629042507,0.019945199601352215,0.6842105263157895,False,pIPS > LO
2,7Networks_LH_Vis_2,-0.017856322,-0.03004020764492452,-0.006472530611790717,0.7894736842105263,True,LO > pIPS
3,7Networks_LH_Vis_3,-0.070632935,-0.08894627392292023,-0.053287495393306024,1.0,True,LO > pIPS
4,7Networks_LH_Vis_4,0.05100532,0.029113434348255397,0.06874832976609468,0.9473684210526315,True,pIPS > LO
5,7Networks_LH_Vis_5,-0.047733963,-0.06333817839622498,-0.03241375638172031,0.9473684210526315,True,LO > pIPS
6,7Networks_LH_Vis_6,0.026332226,0.012310883193276823,0.038219903688877815,0.8947368421052632,True,pIPS > LO
7,7Networks_LH_Vis_7,0.027768347,0.007875729794614017,0.04681227039545774,0.7368421052631579,False,pIPS > LO
8,7Networks_LH_Vis_8,-0.007469222,-0.02092112894169986,0.005756845173891615,0.5789473684210527,False,LO > pIPS
9,7Networks_LH_Vis_9,-0.037802964,-0.057452771533280614,-0.01924667693674565,0.7894736842105263,True,LO > pIPS
10,7Networks_LH_Vis_10,0.056647297,0.040256351698189974,0.07258322536945343,0.9473684210526315,True,pIPS > LO
11,7Networks_LH_Vis_11,-0.014633581,-0.026147440169006587,-0.0022334123321343237,0.6842105263157895,False,LO > pIPS
12,7Networks_LH_Vis_12,0.054466527,0.039380761235952376,0.0721694080159068,1.0,True,pIPS > LO
13,7Networks_LH_Vis_13,0.084457435,0.07090452890843153,0.09742114301770925,1.0,True,pIPS > LO
14,7Networks_LH_Vis_14,0.0672731,0.0502540098503232,0.08395730499178171,0.9473684210526315,True,pIPS > LO
15,7Networks_LH_SomMot_1,0.008491706,0.002856783277820796,0.014641223917715251,0.631578947368421,False,pIPS > LO
16,7Networks_LH_SomMot_2,0.011858199,0.0012261203286470846,0.025411260174587363,0.5263157894736842,False,pIPS > LO
17,7Networks_LH_SomMot_3,0.012195367,0.0006709469889756294,0.029765448486432425,0.5789473684210527,False,pIPS > LO
18,7Networks_LH_SomMot_4,0.015494745,0.00437151025980711,0.030571962846443052,0.7894736842105263,True,pIPS > LO
19,7Networks_LH_SomMot_5,0.017646078,0.004853725875727832,0.03746595233678817,0.7368421052631579,False,pIPS > LO
20,7Networks_LH_SomMot_6,0.0017331429,-0.004707108461298048,0.008216148708015679,0.5263157894736842,False,pIPS > LO
21,7Networks_LH_SomMot_7,-0.0018299371,-0.013440522737801075,0.008303928584791714,0.47368421052631576,False,LO > pIPS
22,7Networks_LH_SomMot_8,0.0023004115,-0.010718277585692704,0.012260736152529716,0.5789473684210527,False,pIPS > LO
23,7Networks_LH_SomMot_9,0.0015218183,-0.0060442978632636365,0.00912892897613346,0.3684210526315789,False,pIPS > LO
24,7Networks_LH_SomMot_10,-0.00016520917,-0.008293438237160444,0.008321717684157192,0.15789473684210525,False,LO > pIPS
25,7Networks_LH_SomMot_11,0.014468022,0.005514009727630764,0.024112509377300737,0.631578947368421,False,pIPS > LO
26,7Networks_LH_SomMot_12,0.0033312067,-0.006267029826994985,0.013944719056598838,0.47368421052631576,False,pIPS > LO
27,7Networks_LH_SomMot_13,0.016570367,0.009163937484845518,0.024459405196830628,0.8421052631578947,True,pIPS > LO
28,7Networks_LH_SomMot_14,0.008597817,-0.0020190844195894894,0.02361743659712373,0.5263157894736842,False,pIPS > LO
29,7Networks_LH_SomMot_15,0.012337498,0.0038732852088287474,0.021480508800595995,0.631578947368421,False,pIPS > LO
30,7Networks_LH_SomMot_16,0.010441296,0.001323098616558127,0.020628262357786295,0.5263157894736842,False,pIPS > LO
31,7Networks_LH_DorsAttn_Post_1,-0.030515566,-0.042764479480683806,-0.01938538947142661,0.9473684210526315,True,LO > pIPS
32,7Networks_LH_DorsAttn_Post_2,-0.0032545999,-0.015696625877171754,0.008443361218087373,0.47368421052631576,False,LO > pIPS
33,7Networks_LH_DorsAttn_Post_3,0.030740052,0.00876029566861689,0.052333919797092676,0.7894736842105263,True,pIPS > LO
34,7Networks_LH_DorsAttn_Post_4,0.0030207857,-0.010124028543941677,0.013565918686799705,0.631578947368421,False,pIPS > LO
35,7Networks_LH_DorsAttn_Post_5,-0.0058865547,-0.021030833199620246,0.007503713027108456,0.42105263157894735,False,LO > pIPS
36,7Networks_LH_DorsAttn_Post_6,-0.0063463897,-0.019742619525641204,0.0073984016547910866,0.5789473684210527,False,LO > pIPS
37,7Networks_LH_DorsAttn_Post_7,0.030552037,0.016713792737573386,0.04415664048865438,0.7894736842105263,True,pIPS > LO
38,7Networks_LH_DorsAttn_Post_8,-0.0006297827,-0.015255467337556183,0.012774180620908734,0.21052631578947367,False,LO > pIPS
39,7Networks_LH_DorsAttn_Post_9,0.039163694,0.024146869825199247,0.05315118236467242,0.8947368421052632,True,pIPS > LO
40,7Networks_LH_DorsAttn_Post_10,0.02948308,0.018989410484209657,0.04043965134769678,0.8947368421052632,True,pIPS > LO
41,7Networks_LH_DorsAttn_FEF_1,0.0019965097,-0.007639229425694794,0.01124298274517059,0.42105263157894735,False,pIPS > LO
42,7Networks_LH_DorsAttn_FEF_2,0.021116648,0.009698721580207348,0.03437135852873325,0.7894736842105263,True,pIPS > LO
43,7Networks_LH_DorsAttn_PrCv_1,-0.006534949,-0.013938942248933018,0.0002987949730595568,0.631578947368421,False,LO > pIPS
44,7Networks_LH_SalVentAttn_ParOper_1,0.010219116,-0.002544862148351967,0.027286348678171632,0.6842105263157895,False,pIPS > LO
45,7Networks_LH_SalVentAttn_ParOper_2,0.018594515,0.007075588183943183,0.03169987499713897,0.8421052631578947,True,pIPS > LO
46,7Networks_LH_SalVentAttn_ParOper_3,0.012465287,0.0027819144597742707,0.022535514412447808,0.631578947368421,False,pIPS > LO
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.0087783355,0.0037628313235472887,0.013939184322953223,0.7368421052631579,False,pIPS > LO
48,7Networks_LH_SalVentAttn_FrOperIns_2,-0.0003267415,-0.013595686387270689,0.019028976513072844,0.10526315789473684,False,LO > pIPS
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.012895171,-0.00038105183703009967,0.03332202136516571,0.5789473684210527,False,pIPS > LO
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.009224903,-0.002709290402708575,0.025660522887483238,0.5263157894736842,False,pIPS > LO
51,7Networks_LH_SalVentAttn_PFCl_1,0.0052416027,-0.004488870967179537,0.013673479552380739,0.6842105263157895,False,pIPS > LO
52,7Networks_LH_SalVentAttn_Med_1,-0.0054268017,-0.014587272237986327,0.0022814577270764856,0.631578947368421,False,LO > pIPS
53,7Networks_LH_SalVentAttn_Med_2,0.019940056,0.0036843648005742582,0.03161192517727614,0.9473684210526315,True,pIPS > LO
54,7Networks_LH_SalVentAttn_Med_3,0.0038431063,-0.006214293569792062,0.01677090255543589,0.3684210526315789,False,pIPS > LO
55,7Networks_LH_Limbic_OFC_1,-0.0010431986,-0.009309553983621299,0.0051068707020021946,0.3684210526315789,False,LO > pIPS
56,7Networks_LH_Limbic_OFC_2,-0.0010139216,-0.005100952845532447,0.002872300602030006,0.42105263157894735,False,LO > pIPS
57,7Networks_LH_Limbic_TempPole_1,-0.00043283775,-0.006159216340165585,0.008868962293490766,0.42105263157894735,False,LO > pIPS
58,7Networks_LH_Limbic_TempPole_2,-0.0048190802,-0.007857314264401793,-0.0013050448353169493,0.8421052631578947,True,LO > pIPS
59,7Networks_LH_Limbic_TempPole_3,-0.0020295754,-0.00592918696347624,0.0029521469667088225,0.6842105263157895,False,LO > pIPS
60,7Networks_LH_Limbic_TempPole_4,-0.0033431426,-0.012959567341022193,0.0038748628343455455,0.42105263157894735,False,LO > pIPS
61,7Networks_LH_Cont_Par_1,0.0064529255,-0.005446388106793165,0.0186107883695513,0.631578947368421,False,pIPS > LO
62,7Networks_LH_Cont_Par_2,0.005563624,-0.00800181608647108,0.019054150488227603,0.631578947368421,False,pIPS > LO
63,7Networks_LH_Cont_Par_3,-0.0059687197,-0.02190626645460725,0.008117643371224403,0.47368421052631576,False,LO > pIPS
64,7Networks_LH_Cont_Temp_1,-0.001652848,-0.010780047718435526,0.00628634865861386,0.3684210526315789,False,LO > pIPS
65,7Networks_LH_Cont_OFC_1,0.004373692,-0.0022434294922277333,0.01143183356616646,0.631578947368421,False,pIPS > LO
66,7Networks_LH_Cont_PFCl_1,0.004007686,-0.0017677895753877237,0.01161611462011933,0.5789473684210527,False,pIPS > LO
67,7Networks_LH_Cont_PFCl_2,0.0043864436,-0.006748958257958293,0.019245511153712865,0.47368421052631576,False,pIPS > LO
68,7Networks_LH_Cont_PFCl_3,0.0053599253,-0.0033667490642983466,0.016308180801570413,0.5789473684210527,False,pIPS > LO
69,7Networks_LH_Cont_PFCl_4,-0.009418048,-0.01915801130235195,0.0005933158128755088,0.7894736842105263,False,LO > pIPS
70,7Networks_LH_Cont_PFCl_5,-0.013764359,-0.02738277460448444,-0.0015797577245393775,0.7368421052631579,False,LO > pIPS
71,7Networks_LH_Cont_pCun_1,0.068152815,0.05244922460988164,0.08665240872651338,1.0,True,pIPS > LO
72,7Networks_LH_Cont_Cing_1,0.022592574,0.009852671180851758,0.0425488792359829,0.8421052631578947,True,pIPS > LO
73,7Networks_LH_Cont_Cing_2,-0.0012334436,-0.004630764725152403,0.002489841222995892,0.5789473684210527,False,LO > pIPS
74,7Networks_LH_Default_Temp_1,-0.0013734866,-0.006203508330509066,0.004363066377118224,0.631578947368421,False,LO > pIPS
75,7Networks_LH_Default_Temp_2,-0.005439438,-0.012698337412439286,0.0008460175362415607,0.5789473684210527,False,LO > pIPS
76,7Networks_LH_Default_Temp_3,-0.0007730387,-0.011425286391749978,0.008614845806732772,0.42105263157894735,False,LO > pIPS
77,7Networks_LH_Default_Temp_4,-0.0015174784,-0.010469225468114018,0.006274569185916333,0.42105263157894735,False,LO > pIPS
78,7Networks_LH_Default_Temp_5,-0.004564598,-0.013309624092653394,0.0038188811449799682,0.5789473684210527,False,LO > pIPS
79,7Networks_LH_Default_Par_1,0.021650411,0.009125745785422624,0.03607253255322574,0.6842105263157895,False,pIPS > LO
80,7Networks_LH_Default_Par_2,0.047433276,0.035798199102282525,0.059300598874688144,0.9473684210526315,True,pIPS > LO
81,7Networks_LH_Default_Par_3,0.017009303,0.003921763459220529,0.033502395451068874,0.6842105263157895,False,pIPS > LO
82,7Networks_LH_Default_Par_4,0.027363658,0.01807559374719858,0.0378346798941493,1.0,True,pIPS > LO
83,7Networks_LH_Default_PFC_1,-0.0022958685,-0.007081176724750548,0.003022388217505067,0.631578947368421,False,LO > pIPS
84,7Networks_LH_Default_PFC_2,0.01011586,0.0028901265002787115,0.017963020270690317,0.6842105263157895,False,pIPS > LO
85,7Networks_LH_Default_PFC_3,-0.0007472597,-0.0068182176561094815,0.006828891485929487,0.6842105263157895,False,LO > pIPS
86,7Networks_LH_Default_PFC_4,0.0068320427,0.001464173209387809,0.013976505771279334,0.6842105263157895,False,pIPS > LO
87,7Networks_LH_Default_PFC_5,0.005135905,-0.005649718968197703,0.020710246125236146,0.47368421052631576,False,pIPS > LO
88,7Networks_LH_Default_PFC_6,0.0133154895,0.00041841477577690987,0.03135393196716904,0.6842105263157895,False,pIPS > LO
89,7Networks_LH_Default_PFC_7,0.0007113591,-0.005521224241238088,0.006749845889862625,0.3684210526315789,False,pIPS > LO
90,7Networks_LH_Default_PFC_8,-0.00094341114,-0.00584067840827629,0.004218825546558946,0.5263157894736842,False,LO > pIPS
91,7Networks_LH_Default_PFC_9,0.0031901598,-0.003953793446999043,0.010178533266298471,0.5263157894736842,False,pIPS > LO
92,7Networks_LH_Default_PFC_10,-0.005190164,-0.012486768583767117,0.0025306789553724168,0.5789473684210527,False,LO > pIPS
93,7Networks_LH_Default_PFC_11,0.004679356,-0.0019580273132305593,0.012277391972020267,0.47368421052631576,False,pIPS > LO
94,7Networks_LH_Default_PFC_12,0.019932784,0.013021171605214477,0.027298969496041537,0.8947368421052632,True,pIPS > LO
95,7Networks_LH_Default_PFC_13,0.0062269047,-0.00480999054852873,0.02186830164864657,0.42105263157894735,False,pIPS > LO
96,7Networks_LH_Default_pCunPCC_1,0.051008023,0.03844858994707465,0.06403519362211227,1.0,True,pIPS > LO
97,7Networks_LH_Default_pCunPCC_2,0.046500027,0.02921473947353661,0.07175944279879332,1.0,True,pIPS > LO
98,7Networks_LH_Default_pCunPCC_3,0.016136996,0.008805399504490196,0.023383599054068328,0.8947368421052632,True,pIPS > LO
