ROI_ID,ROI_Name,Difference,CI_Lower,CI_Upper,LOO_Reliability,Combined_Significant
1,7Networks_LH_Vis_1,0.0064490736,-0.011370148719288408,0.020092743402346964,0.6842105263157895,False
2,7Networks_LH_Vis_2,-0.017856322,-0.03017319575883448,-0.006386119511444124,0.7894736842105263,True
3,7Networks_LH_Vis_3,-0.070632935,-0.0892014829441905,-0.05320421457290649,1.0,True
4,7Networks_LH_Vis_4,0.05100532,0.029443944105878472,0.0689092619344592,0.9473684210526315,True
5,7Networks_LH_Vis_5,-0.047733963,-0.06270518526434898,-0.03233309453353286,0.9473684210526315,True
6,7Networks_LH_Vis_6,0.026332226,0.012679054052568972,0.038186528254300356,0.8947368421052632,True
7,7Networks_LH_Vis_7,0.027768347,0.007691199064720422,0.04637616276741027,0.7368421052631579,False
8,7Networks_LH_Vis_8,-0.007469222,-0.021035835007205607,0.00604381914017721,0.5789473684210527,False
9,7Networks_LH_Vis_9,-0.037802964,-0.05715458635240793,-0.019556406652554884,0.7894736842105263,True
10,7Networks_LH_Vis_10,0.056647297,0.04039966305717826,0.07270094640552997,0.9473684210526315,True
11,7Networks_LH_Vis_11,-0.014633581,-0.026115165650844575,-0.002420487609924749,0.6842105263157895,False
12,7Networks_LH_Vis_12,0.054466527,0.03886832380667329,0.07161111552268266,1.0,True
13,7Networks_LH_Vis_13,0.084457435,0.07062005996704102,0.0971601964905858,1.0,True
14,7Networks_LH_Vis_14,0.0672731,0.0499565795995295,0.08396273162215948,0.9473684210526315,True
15,7Networks_LH_SomMot_1,0.008491706,0.0026637307717464866,0.014513998036272823,0.631578947368421,False
16,7Networks_LH_SomMot_2,0.011858199,0.001129940777900629,0.025084990169852966,0.5263157894736842,False
17,7Networks_LH_SomMot_3,0.012195367,0.0007404964053421282,0.03039542627520859,0.5789473684210527,False
18,7Networks_LH_SomMot_4,0.015494745,0.004268856940325349,0.03058450613170862,0.7894736842105263,True
19,7Networks_LH_SomMot_5,0.017646078,0.004621237260289491,0.03752067042514681,0.7368421052631579,False
20,7Networks_LH_SomMot_6,0.0017331429,-0.004743763734586536,0.008098652958869933,0.5263157894736842,False
21,7Networks_LH_SomMot_7,-0.0018299371,-0.013580624642781912,0.008411745238117866,0.47368421052631576,False
22,7Networks_LH_SomMot_8,0.0023004115,-0.010965474718250334,0.011930987262167032,0.5789473684210527,False
23,7Networks_LH_SomMot_9,0.0015218183,-0.00575166626367718,0.009021922224201262,0.3684210526315789,False
24,7Networks_LH_SomMot_10,-0.00016520917,-0.008418079302646219,0.008089655940420926,0.15789473684210525,False
25,7Networks_LH_SomMot_11,0.014468022,0.005593508470337838,0.02401008931919932,0.631578947368421,False
26,7Networks_LH_SomMot_12,0.0033312067,-0.0065367805073037735,0.013390990602783858,0.47368421052631576,False
27,7Networks_LH_SomMot_13,0.016570367,0.009331053192727269,0.024278677674010395,0.8421052631578947,True
28,7Networks_LH_SomMot_14,0.008597817,-0.0019064682506723326,0.023170599853619932,0.5263157894736842,False
29,7Networks_LH_SomMot_15,0.012337498,0.0038563625770621003,0.021142395166680213,0.631578947368421,False
30,7Networks_LH_SomMot_16,0.010441296,0.0010170620720600712,0.02041840376332402,0.5263157894736842,False
31,7Networks_LH_DorsAttn_Post_1,-0.030515566,-0.04305739151313901,-0.019604582106694583,0.9473684210526315,True
32,7Networks_LH_DorsAttn_Post_2,-0.0032545999,-0.015432222187519074,0.008485179371200498,0.47368421052631576,False
33,7Networks_LH_DorsAttn_Post_3,0.030740052,0.00870748849119991,0.0522531496360898,0.7894736842105263,True
34,7Networks_LH_DorsAttn_Post_4,0.0030207857,-0.010063640889711678,0.013782711862586419,0.631578947368421,False
35,7Networks_LH_DorsAttn_Post_5,-0.0058865547,-0.020720819709822536,0.007156718941405412,0.42105263157894735,False
36,7Networks_LH_DorsAttn_Post_6,-0.0063463897,-0.019899485958740117,0.0070697288610972455,0.5789473684210527,False
37,7Networks_LH_DorsAttn_Post_7,0.030552037,0.016621640883386135,0.04406902194023132,0.7894736842105263,True
38,7Networks_LH_DorsAttn_Post_8,-0.0006297827,-0.015018755313940346,0.012610383634455491,0.21052631578947367,False
39,7Networks_LH_DorsAttn_Post_9,0.039163694,0.024016996286809443,0.05319063756614923,0.8947368421052632,True
40,7Networks_LH_DorsAttn_Post_10,0.02948308,0.01896556867286563,0.04037823183462023,0.8947368421052632,True
41,7Networks_LH_DorsAttn_FEF_1,0.0019965097,-0.007735269085969776,0.01088946759700775,0.42105263157894735,False
42,7Networks_LH_DorsAttn_FEF_2,0.021116648,0.009577615512534976,0.03453489737585186,0.7894736842105263,True
43,7Networks_LH_DorsAttn_PrCv_1,-0.006534949,-0.014235435868613422,0.00030090656655374715,0.631578947368421,False
44,7Networks_LH_SalVentAttn_ParOper_1,0.010219116,-0.0024405772564932704,0.027286044880747786,0.6842105263157895,False
45,7Networks_LH_SalVentAttn_ParOper_2,0.018594515,0.007210791448596865,0.03167868480086326,0.8421052631578947,True
46,7Networks_LH_SalVentAttn_ParOper_3,0.012465287,0.0026564489526208494,0.02243577623739838,0.631578947368421,False
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.0087783355,0.0036434408742934466,0.01377469548024237,0.7368421052631579,False
48,7Networks_LH_SalVentAttn_FrOperIns_2,-0.0003267415,-0.013310755835846066,0.018959858873859047,0.10526315789473684,False
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.012895171,-0.00036451757987379066,0.03357415795326231,0.5789473684210527,False
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.009224903,-0.0025646735972259193,0.025562570663169026,0.5263157894736842,False
51,7Networks_LH_SalVentAttn_PFCl_1,0.0052416027,-0.00440973030636087,0.01390075883828103,0.6842105263157895,False
52,7Networks_LH_SalVentAttn_Med_1,-0.0054268017,-0.01485261102207005,0.0022195952769834527,0.631578947368421,False
53,7Networks_LH_SalVentAttn_Med_2,0.019940056,0.0037132846773602077,0.03177113868296146,0.9473684210526315,True
54,7Networks_LH_SalVentAttn_Med_3,0.0038431063,-0.00616320928093046,0.016488457843661306,0.3684210526315789,False
55,7Networks_LH_Limbic_OFC_1,-0.0010431986,-0.009315913496538996,0.005117516103200613,0.3684210526315789,False
56,7Networks_LH_Limbic_OFC_2,-0.0010139216,-0.005061174486763775,0.002918277058051898,0.42105263157894735,False
57,7Networks_LH_Limbic_TempPole_1,-0.00043283775,-0.006247149780392647,0.008807974006049334,0.42105263157894735,False
58,7Networks_LH_Limbic_TempPole_2,-0.0048190802,-0.007821949874050915,-0.0012541964417323475,0.8421052631578947,True
59,7Networks_LH_Limbic_TempPole_3,-0.0020295754,-0.006015044311061502,0.002886817342368885,0.6842105263157895,False
60,7Networks_LH_Limbic_TempPole_4,-0.0033431426,-0.012875750358216463,0.0038862822286318956,0.42105263157894735,False
61,7Networks_LH_Cont_Par_1,0.0064529255,-0.0054676886415109035,0.018525305669754726,0.631578947368421,False
62,7Networks_LH_Cont_Par_2,0.005563624,-0.007980493223294615,0.01862061866559088,0.631578947368421,False
63,7Networks_LH_Cont_Par_3,-0.0059687197,-0.021608223766088487,0.007743907533586024,0.47368421052631576,False
64,7Networks_LH_Cont_Temp_1,-0.001652848,-0.010572269838303327,0.00611009222920984,0.3684210526315789,False
65,7Networks_LH_Cont_OFC_1,0.004373692,-0.0022429785516578705,0.011293081589974463,0.631578947368421,False
66,7Networks_LH_Cont_PFCl_1,0.004007686,-0.001890959491720423,0.011529392353259026,0.5789473684210527,False
67,7Networks_LH_Cont_PFCl_2,0.0043864436,-0.00663484709803015,0.019253366207703942,0.47368421052631576,False
68,7Networks_LH_Cont_PFCl_3,0.0053599253,-0.0033335521060507745,0.016004867805168032,0.5789473684210527,False
69,7Networks_LH_Cont_PFCl_4,-0.009418048,-0.01957218018360436,0.0004825399919354816,0.7894736842105263,False
70,7Networks_LH_Cont_PFCl_5,-0.013764359,-0.027513608150184155,-0.0019847301358822756,0.7368421052631579,False
71,7Networks_LH_Cont_pCun_1,0.068152815,0.05209891106933355,0.08645650558173656,1.0,True
72,7Networks_LH_Cont_Cing_1,0.022592574,0.009758790652267636,0.0422657886520028,0.8421052631578947,True
73,7Networks_LH_Cont_Cing_2,-0.0012334436,-0.00463138687191531,0.002313703065738079,0.5789473684210527,False
74,7Networks_LH_Default_Temp_1,-0.0013734866,-0.006205285177566111,0.004347910906653849,0.631578947368421,False
75,7Networks_LH_Default_Temp_2,-0.005439438,-0.012598056043498219,0.0006977390847168857,0.5789473684210527,False
76,7Networks_LH_Default_Temp_3,-0.0007730387,-0.01160576962865889,0.008503416320309033,0.42105263157894735,False
77,7Networks_LH_Default_Temp_4,-0.0015174784,-0.010420133383013308,0.00618568590143695,0.42105263157894735,False
78,7Networks_LH_Default_Temp_5,-0.004564598,-0.013160874578170478,0.003424864925909785,0.5789473684210527,False
79,7Networks_LH_Default_Par_1,0.021650411,0.009137702197767794,0.03592511154711246,0.6842105263157895,False
80,7Networks_LH_Default_Par_2,0.047433276,0.035365439392626284,0.05926148556172848,0.9473684210526315,True
81,7Networks_LH_Default_Par_3,0.017009303,0.0037336648092605174,0.03359985500574112,0.6842105263157895,False
82,7Networks_LH_Default_Par_4,0.027363658,0.01806109701283276,0.03765870714560151,1.0,True
83,7Networks_LH_Default_PFC_1,-0.0022958685,-0.0070755572407506405,0.002922211791155858,0.631578947368421,False
84,7Networks_LH_Default_PFC_2,0.01011586,0.003041418397333473,0.0179734171833843,0.6842105263157895,False
85,7Networks_LH_Default_PFC_3,-0.0007472597,-0.006822353857569396,0.006864584051072596,0.6842105263157895,False
86,7Networks_LH_Default_PFC_4,0.0068320427,0.0014876759698381648,0.014127012458629906,0.6842105263157895,False
87,7Networks_LH_Default_PFC_5,0.005135905,-0.005695828539319337,0.02057556798681616,0.47368421052631576,False
88,7Networks_LH_Default_PFC_6,0.0133154895,0.0003539163204550282,0.03128730496391653,0.6842105263157895,False
89,7Networks_LH_Default_PFC_7,0.0007113591,-0.005522511748131364,0.006661301862914115,0.3684210526315789,False
90,7Networks_LH_Default_PFC_8,-0.00094341114,-0.005923763115424662,0.004088855732697992,0.5263157894736842,False
91,7Networks_LH_Default_PFC_9,0.0031901598,-0.003943993034772574,0.010079240845516323,0.5263157894736842,False
92,7Networks_LH_Default_PFC_10,-0.005190164,-0.012805887917056679,0.00235843718401156,0.5789473684210527,False
93,7Networks_LH_Default_PFC_11,0.004679356,-0.0020609882194548845,0.012063614185899494,0.47368421052631576,False
94,7Networks_LH_Default_PFC_12,0.019932784,0.012846870929934084,0.02699728393927216,0.8947368421052632,True
95,7Networks_LH_Default_PFC_13,0.0062269047,-0.004774082428775727,0.021712616598233574,0.42105263157894735,False
96,7Networks_LH_Default_pCunPCC_1,0.051008023,0.03809560416266322,0.06363864596933126,1.0,True
97,7Networks_LH_Default_pCunPCC_2,0.046500027,0.028901402186602355,0.07174302563071251,1.0,True
98,7Networks_LH_Default_pCunPCC_3,0.016136996,0.008844772609882057,0.023538488987833256,0.8947368421052632,True
99,7Networks_LH_Default_pCunPCC_4,0.03272915,0.022696011094376446,0.04444399727508426,1.0,True
100,7Networks_LH_Default_PHC_1,0.003420353,-0.006502731097862124,0.012121544266119593,0.631578947368421,False
101,7Networks_RH_Vis_1,-0.027534872,-0.038058630935847756,-0.018698021117597823,1.0,True
102,7Networks_RH_Vis_2,-0.0024333894,-0.01794460704550147,0.009503627498634159,0.3684210526315789,False
103,7Networks_RH_Vis_3,-0.03117814,-0.04608211498707533,-0.016947434609755882,0.7894736842105263,True
104,7Networks_RH_Vis_4,0.04874212,0.028102069906890393,0.06512394323945045,0.9473684210526315,True
105,7Networks_RH_Vis_5,-0.062409155,-0.07464172504842281,-0.05018257107585669,1.0,True
106,7Networks_RH_Vis_6,-0.008467242,-0.02290629521012306,0.0062496375758200814,0.631578947368421,False
107,7Networks_RH_Vis_7,0.0277888,0.015251256339251996,0.03913965942338109,0.8947368421052632,True
108,7Networks_RH_Vis_8,-0.05713991,-0.06573635041713714,-0.04739869171753526,1.0,True
109,7Networks_RH_Vis_9,0.075985916,0.05811798088252544,0.09338716100901363,0.9473684210526315,True
110,7Networks_RH_Vis_10,0.033254582,0.02125592902302742,0.04550047377124428,0.8947368421052632,True
111,7Networks_RH_Vis_11,-0.020462245,-0.035460777767002585,-0.004548150650225583,0.6842105263157895,False
112,7Networks_RH_Vis_12,0.065121435,0.05034598410129547,0.07904376965016126,1.0,True
