ROI_ID,Hemisphere,Network,Difference,ROI_Name
3,Left,LO,-0.0706329365309916,7Networks_LH_Vis_3
4,Left,pIPS,0.0510053181971766,7Networks_LH_Vis_4
5,Left,LO,-0.0477339571439906,7Networks_LH_Vis_5
10,Left,pIPS,0.0566472957695001,7Networks_LH_Vis_10
12,Left,pIPS,0.0544665136350024,7Networks_LH_Vis_12
13,Left,pIPS,0.0844574286847522,7Networks_LH_Vis_13
14,Left,pIPS,0.0672730986323011,7Networks_LH_Vis_14
71,Left,pIPS,0.0681528200726269,7Networks_LH_Cont_pCun_1
80,Left,pIPS,0.0474332924932241,7Networks_LH_Default_Par_2
96,Left,pIPS,0.0510080222646999,7Networks_LH_Default_pCunPCC_1
97,Left,pIPS,0.046500031340034,7Networks_LH_Default_pCunPCC_2
104,Right,pIPS,0.0487421159877588,7Networks_RH_Vis_4
105,Right,LO,-0.0624091491887444,7Networks_RH_Vis_5
108,Right,LO,-0.057139929531044,7Networks_RH_Vis_8
109,Right,pIPS,0.0759859214242743,7Networks_RH_Vis_9
112,Right,pIPS,0.0651214294331638,7Networks_RH_Vis_12
113,Right,pIPS,0.0746072290073099,7Networks_RH_Vis_13
114,Right,pIPS,0.0693388215854372,7Networks_RH_Vis_14
177,Right,pIPS,0.0666632345926604,7Networks_RH_Cont_pCun_1
198,Right,pIPS,0.0549262783882257,7Networks_RH_Default_pCunPCC_1
