ROI_ID,Hemisphere,Network,Color,ROI_Name
3,L,LO,#ff9b83,7Networks_LH_Vis_3
4,L,pIPS,#4ac0c0,7Networks_LH_Vis_4
5,L,LO,#ff9b83,7Networks_LH_Vis_5
10,L,pIPS,#4ac0c0,7Networks_LH_Vis_10
12,L,pIPS,#4ac0c0,7Networks_LH_Vis_12
13,L,pIPS,#4ac0c0,7Networks_LH_Vis_13
14,L,pIPS,#4ac0c0,7Networks_LH_Vis_14
71,L,pIPS,#4ac0c0,7Networks_LH_Cont_pCun_1
80,L,pIPS,#4ac0c0,7Networks_LH_Default_Par_2
96,L,pIPS,#4ac0c0,7Networks_LH_Default_pCunPCC_1
97,L,pIPS,#4ac0c0,7Networks_LH_Default_pCunPCC_2
104,R,pIPS,#4ac0c0,7Networks_RH_Vis_4
105,R,LO,#ff9b83,7Networks_RH_Vis_5
108,R,LO,#ff9b83,7Networks_RH_Vis_8
109,R,pIPS,#4ac0c0,7Networks_RH_Vis_9
112,R,pIPS,#4ac0c0,7Networks_RH_Vis_12
113,R,pIPS,#4ac0c0,7Networks_RH_Vis_13
114,R,pIPS,#4ac0c0,7Networks_RH_Vis_14
177,R,pIPS,#4ac0c0,7Networks_RH_Cont_pCun_1
198,R,pIPS,#4ac0c0,7Networks_RH_Default_pCunPCC_1
