ROI_ID,ROI_Name,Hemisphere,Difference,Direction
3,7Networks_LH_Vis_3,Left,-0.0706329365309916,LO > pIPS
4,7Networks_LH_Vis_4,Left,0.0510053181971766,pIPS > LO
5,7Networks_LH_Vis_5,Left,-0.0477339571439906,LO > pIPS
10,7Networks_LH_Vis_10,Left,0.0566472957695001,pIPS > LO
12,7Networks_LH_Vis_12,Left,0.0544665136350024,pIPS > LO
13,7Networks_LH_Vis_13,Left,0.0844574286847522,pIPS > LO
14,7Networks_LH_Vis_14,Left,0.0672730986323011,pIPS > LO
71,7Networks_LH_Cont_pCun_1,Left,0.0681528200726269,pIPS > LO
80,7Networks_LH_Default_Par_2,Left,0.0474332924932241,pIPS > LO
96,7Networks_LH_Default_pCunPCC_1,Left,0.0510080222646999,pIPS > LO
97,7Networks_LH_Default_pCunPCC_2,Left,0.046500031340034,pIPS > LO
104,7Networks_RH_Vis_4,Right,0.0487421159877588,pIPS > LO
105,7Networks_RH_Vis_5,Right,-0.0624091491887444,LO > pIPS
108,7Networks_RH_Vis_8,Right,-0.057139929531044,LO > pIPS
109,7Networks_RH_Vis_9,Right,0.0759859214242743,pIPS > LO
112,7Networks_RH_Vis_12,Right,0.0651214294331638,pIPS > LO
113,7Networks_RH_Vis_13,Right,0.0746072290073099,pIPS > LO
114,7Networks_RH_Vis_14,Right,0.0693388215854372,pIPS > LO
177,7Networks_RH_Cont_pCun_1,Right,0.0666632345926604,pIPS > LO
198,7Networks_RH_Default_pCunPCC_1,Right,0.0549262783882257,pIPS > LO
