ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
1,7Networks_LH_Vis_1,0.11057453354199727,0.10572892996586031,0.0048456035761369615,0.0048456035761369615,-0.014012533315043459,0.01873828520118775,0.6666666666666666,False,False,False,pIPS > LO
2,7Networks_LH_Vis_2,0.11732731676763958,0.12727507679826683,-0.00994776003062725,0.00994776003062725,-0.022661186232128067,0.002284616495793059,0.6111111111111112,False,False,False,LO > pIPS
3,7Networks_LH_Vis_3,0.06245684758242634,0.08832616571130024,-0.0258693181288739,0.0258693181288739,-0.03685891001304197,-0.014909392540963982,0.8333333333333334,True,True,True,LO > pIPS
4,7Networks_LH_Vis_4,0.07947736732765204,0.028698337264358997,0.05077903006329304,0.05077903006329304,0.028215946962720607,0.06990833673626184,0.9444444444444444,True,True,True,pIPS > LO
5,7Networks_LH_Vis_5,0.05018652158064975,0.09112807849629058,-0.04094155691564083,0.04094155691564083,-0.0560570799642139,-0.025607745890091693,0.8888888888888888,True,True,True,LO > pIPS
6,7Networks_LH_Vis_6,0.07187733405994044,0.04569006115586186,0.02618727290407858,0.02618727290407858,0.01158439107934504,0.038603269829925714,0.8888888888888888,True,True,True,pIPS > LO
7,7Networks_LH_Vis_7,0.059394024364236325,0.02826787922013965,0.031126145144096676,0.031126145144096676,0.011118864091501255,0.04992076097987591,0.7777777777777778,True,True,True,pIPS > LO
8,7Networks_LH_Vis_8,0.12223819726043278,0.11575601974295245,0.006482177517480328,0.006482177517480328,-0.005895421933382739,0.0190483409187032,0.6111111111111112,False,False,False,pIPS > LO
9,7Networks_LH_Vis_9,0.07217074806491534,0.10469389996594852,-0.03252315190103318,0.03252315190103318,-0.05420682279444816,-0.011811874674943598,0.7222222222222222,True,False,False,LO > pIPS
10,7Networks_LH_Vis_10,0.09622366941120061,0.0407906937568138,0.05543297565438681,0.05543297565438681,0.03850570261452554,0.07215410004977861,0.9444444444444444,True,True,True,pIPS > LO
11,7Networks_LH_Vis_11,0.1298338899181949,0.14533353816821343,-0.015499648250018538,0.015499648250018538,-0.029586407762771078,0.0004242945035609006,0.8333333333333334,False,True,False,LO > pIPS
12,7Networks_LH_Vis_12,0.10320079166235195,0.050445756629212864,0.05275503503313909,0.05275503503313909,0.03686215431759289,0.07114830506939647,1.0,True,True,True,pIPS > LO
13,7Networks_LH_Vis_13,0.08962333013510539,0.0017893858150475556,0.08783394432005782,0.08783394432005782,0.07258352925871603,0.10226524745165887,1.0,True,True,True,pIPS > LO
14,7Networks_LH_Vis_14,0.09259630460292101,0.014101300310964385,0.07849500429195662,0.07849500429195662,0.05936520493899783,0.0962094078500134,0.9444444444444444,True,True,True,pIPS > LO
15,7Networks_LH_SomMot_1,0.046489032502803534,0.038836575475417905,0.00765245702738563,0.00765245702738563,0.002076142263184821,0.013947987681927366,0.6111111111111112,True,False,False,pIPS > LO
16,7Networks_LH_SomMot_2,0.06466925638313922,0.05355765993913843,0.011111596444000796,0.011111596444000796,0.0001916886708285219,0.025523563739584965,0.5,True,False,False,pIPS > LO
17,7Networks_LH_SomMot_3,0.05387354435192214,0.042146034862121776,0.011727509489800364,0.011727509489800364,-0.0002943060179758408,0.031021804764168336,0.5555555555555556,False,False,False,pIPS > LO
18,7Networks_LH_SomMot_4,0.05835415547092756,0.043498902128905885,0.014855253342021674,0.014855253342021674,0.0032880787899355513,0.03109153491774729,0.7777777777777778,True,True,True,pIPS > LO
19,7Networks_LH_SomMot_5,0.06215746266146501,0.04508115449506375,0.01707630816640126,0.01707630816640126,0.0035577303742886416,0.03798913391979615,0.7222222222222222,True,False,False,pIPS > LO
20,7Networks_LH_SomMot_6,0.06433226551032728,0.06306241525130139,0.001269850259025887,0.001269850259025887,-0.005567908455203803,0.00806839125644829,0.3333333333333333,False,False,False,pIPS > LO
21,7Networks_LH_SomMot_7,0.0774809927162197,0.08113233977928758,-0.0036513470630678835,0.0036513470630678835,-0.015475321197623595,0.006588763726823447,0.5555555555555556,False,False,False,LO > pIPS
