ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
1,7Networks_LH_Vis_1,0.02660462826000269,0.02512076013006372,0.001483868129938972,0.001483868129938972,9.832013471986639e-05,0.002869416125158078,0.5555555555555556,True,False,False,LO > pIPS
2,7Networks_LH_Vis_2,0.009120783780144807,0.007864523551955879,0.0012562602281889282,0.0012562602281889282,-0.005018991054955109,0.007531511511332965,0.3888888888888889,False,False,False,LO > pIPS
3,7Networks_LH_Vis_3,0.016240947446531925,0.023491221080658927,-0.007250273634127002,0.007250273634127002,-0.011660502032774241,-0.0028400452354797627,0.7222222222222222,True,False,False,LO > pIPS
4,7Networks_LH_Vis_4,-0.0099455295439975,-0.014346529206271408,0.0044009996622739085,0.0044009996622739085,0.0007985747411657475,0.00800342458338207,0.6111111111111112,True,False,False,pIPS > LO
5,7Networks_LH_Vis_5,0.011855820084359807,0.01721958022367054,-0.005363760139310732,0.005363760139310732,-0.009916254962552981,-0.0008112653160684833,0.6666666666666666,True,False,False,LO > pIPS
6,7Networks_LH_Vis_6,0.0010645893514182692,-0.0033947282418412194,0.004459317593259488,0.004459317593259488,0.00010682568836454642,0.008811809498154431,0.6666666666666666,False,False,False,pIPS > LO
7,7Networks_LH_Vis_7,-0.013999023049736537,-0.021625246931860524,0.007626223882123986,0.007626223882123986,0.002612774627494146,0.012639673136753828,0.7777777777777778,True,True,True,pIPS > LO
8,7Networks_LH_Vis_8,0.014075709473226729,0.022171748662561684,-0.008096039189334955,0.008096039189334955,-0.013620873138571788,-0.002571205240098122,0.7777777777777778,True,True,True,LO > pIPS
9,7Networks_LH_Vis_9,0.008379420789259422,0.006061307397680116,0.0023181133915793056,0.0023181133915793056,-0.06136730704347394,0.06600353382663256,0.1666666666666666,False,False,False,pIPS > LO
10,7Networks_LH_Vis_10,-0.01407524576389596,-0.014814045777950655,0.0007388000140546944,0.0007388000140546944,-0.0006597529671349652,0.0021373529952443543,0.7222222222222222,False,False,False,pIPS > LO
11,7Networks_LH_Vis_11,0.022407702633029804,0.027691354681767054,-0.00528365204873725,0.00528365204873725,-0.00839376960781796,-0.0021735344896565405,0.7777777777777778,True,True,True,LO > pIPS
12,7Networks_LH_Vis_12,-0.00784255241524423,-0.006778746693305806,-0.001063805721938424,0.001063805721938424,-0.011455877687339414,0.009328266243462564,0.6111111111111112,False,False,False,pIPS > LO
13,7Networks_LH_Vis_13,-0.028400140809821922,-0.02935236625836735,0.0009522254485454275,0.0009522254485454275,-0.0001401902013395777,0.002044641098430433,0.7222222222222222,False,False,False,pIPS > LO
14,7Networks_LH_Vis_14,-0.025820455449106345,-0.02514007785171263,-0.0006803775973937137,0.0006803775973937137,-0.0016619461362516032,0.0003011909414641757,0.6111111111111112,False,False,False,pIPS > LO
15,7Networks_LH_SomMot_1,-0.0028610732253007694,-0.0005942399383896953,-0.002266833286911074,0.002266833286911074,-0.012053919644007954,0.007520253070185806,0.3888888888888889,False,False,False,LO > pIPS
16,7Networks_LH_SomMot_2,0.0007543363239507692,0.004767312886700871,-0.004012976562750101,0.004012976562750101,-0.011176183767101338,0.0031502306416011355,0.3333333333333333,False,False,False,LO > pIPS
17,7Networks_LH_SomMot_3,-0.001373993535228846,0.0037175851712121914,-0.005091578706441037,0.005091578706441037,-0.013476687234234815,0.003293529821352741,0.5,False,False,False,LO > pIPS
18,7Networks_LH_SomMot_4,-0.0023356045938225,0.003017693312204645,-0.005353297906027146,0.005353297906027146,-0.014605580902247775,0.0038989850901934835,0.4444444444444444,False,False,False,LO > pIPS
19,7Networks_LH_SomMot_5,0.0008833508244567307,0.004981171495224964,-0.004097820670768233,0.004097820670768233,-0.011333970805053833,0.0031383294635173673,0.5,False,False,False,LO > pIPS
20,7Networks_LH_SomMot_6,0.010908140194989037,0.012768034591202324,-0.001859894396213287,0.001859894396213287,-0.0037607227750500634,4.093398262348968e-05,0.6666666666666666,True,False,False,LO > pIPS
