ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
1,7Networks_LH_Vis_1,0.013834406695201477,0.01730820372961398,-0.003473797034412505,0.003473797034412505,-0.006807263058186992,-0.00025537199494901245,0.5555555555555556,True,False,False,LO > pIPS
2,7Networks_LH_Vis_2,0.004742807565675345,0.005418656727297616,-0.0006758491616222712,0.0006758491616222712,-0.004200301934801124,0.0026527261760319757,0.3888888888888889,False,False,False,LO > pIPS
3,7Networks_LH_Vis_3,0.008445292672196682,0.01618545132457406,-0.0077401586523773765,0.0077401586523773765,-0.012887635145365894,-0.0033434920987637545,0.7222222222222222,True,False,False,LO > pIPS
4,7Networks_LH_Vis_4,-0.00517167536287871,-0.00988475862312109,0.00471308326024238,0.00471308326024238,0.0010232935475759713,0.008758610484402223,0.6111111111111112,True,False,False,pIPS > LO
5,7Networks_LH_Vis_5,0.006165026443867111,0.011864290774109014,-0.005699264330241903,0.005699264330241903,-0.01078541829130049,-0.001165429730299591,0.6666666666666666,True,False,False,LO > pIPS
6,7Networks_LH_Vis_6,0.0005535864627375965,-0.0023389677586286026,0.002892554221366199,0.002892554221366199,-0.00010679436454933948,0.005627241721395068,0.6666666666666666,False,False,False,pIPS > LO
7,7Networks_LH_Vis_7,-0.007279491985863065,-0.014899795136051976,0.007620303150188911,0.007620303150188911,0.0028381570153623334,0.012904117226097637,0.7777777777777778,True,True,True,pIPS > LO
8,7Networks_LH_Vis_8,0.007319368926077954,0.015276334828505076,-0.007956965902427122,0.007956965902427122,-0.01378623542529001,-0.0027985438473288353,0.7777777777777778,True,True,True,LO > pIPS
9,7Networks_LH_Vis_9,0.004357298810414938,0.004176240797001637,0.00018105801341330129,0.00018105801341330129,-0.004832061379147331,0.005178268317728315,0.16666666666666666,False,False,False,pIPS > LO
10,7Networks_LH_Vis_10,-0.007319127797225936,-0.010206877541008099,0.002887749743782163,0.002887749743782163,-0.00329461289681887,0.007748438782841767,0.7222222222222222,False,False,False,pIPS > LO
11,7Networks_LH_Vis_11,0.011652005369175567,0.019079343375737575,-0.007427338006562008,0.007427338006562008,-0.012034430877623346,-0.0031563771704855204,0.7777777777777778,True,True,True,LO > pIPS
12,7Networks_LH_Vis_12,-0.004078127255927003,-0.004670556471687763,0.0005924292157607602,0.0005924292157607602,-0.006293150394027576,0.005411210965393469,0.6111111111111112,False,False,False,pIPS > LO
