ROI_ID,pIPS_value,LO_value,Connectivity,Connection_Type,Color,Difference
3,0.14527513,0.22154932,0.22154932,Ventral → Dorsal,teal,0.07627419
33,0.19541796,0.15474086,0.19541796,Dorsal → Ventral,indianred,0.0406771
105,0.112742364,0.17014758,0.17014758,Ventral → Dorsal,teal,0.05740522
115,0.1583449,0.11615521,0.1583449,Dorsal → Ventral,indianred,0.042189687
141,0.1271984,0.149581,0.149581,Ventral → Dorsal,teal,0.022382602
142,0.14554173,0.13919501,0.14554173,Dorsal → Ventral,indianred,0.0063467175
11,0.12005654,0.14280091,0.14280091,Ventral → Dorsal,teal,0.022744372
111,0.11357687,0.14043091,0.14043091,Ventral → Dorsal,teal,0.026854046
8,0.13087554,0.13961141,0.13961141,Ventral → Dorsal,teal,0.008735865
103,0.116506815,0.1393642,0.1393642,Ventral → Dorsal,teal,0.022857383
38,0.13712618,0.13807738,0.13807738,Ventral → Dorsal,teal,0.0009512007
135,0.10293533,0.13552193,0.13552193,Ventral → Dorsal,teal,0.032586604
14,0.13543907,0.06983632,0.13543907,Dorsal → Ventral,indianred,0.06560275
2,0.117726214,0.13447337,0.13447337,Ventral → Dorsal,teal,0.016747154
36,0.124433644,0.13053218,0.13053218,Ventral → Dorsal,teal,0.006098531
25,0.12988017,0.111993864,0.12988017,Dorsal → Ventral,indianred,0.01788631
31,0.09900443,0.12764257,0.12764257,Ventral → Dorsal,teal,0.02863814
37,0.12657164,0.09648671,0.12657164,Dorsal → Ventral,indianred,0.03008493
9,0.06922338,0.11717741,0.11717741,Ventral → Dorsal,teal,0.04795403
108,0.058268473,0.115951926,0.115951926,Ventral → Dorsal,teal,0.057683453
136,0.11431483,0.11546526,0.11546526,Ventral → Dorsal,teal,0.0011504292
35,0.111556694,0.115163475,0.115163475,Ventral → Dorsal,teal,0.0036067814
32,0.10698287,0.11352183,0.11352183,Ventral → Dorsal,teal,0.0065389574
177,0.11272252,0.04702418,0.11272252,Dorsal → Ventral,indianred,0.06569834
71,0.11140206,0.038560327,0.11140206,Dorsal → Ventral,indianred,0.07284173
167,0.11138764,0.1094169,0.11138764,Dorsal → Ventral,indianred,0.0019707382
40,0.11057206,0.08003466,0.11057206,Dorsal → Ventral,indianred,0.030537404
39,0.109723315,0.07082531,0.109723315,Dorsal → Ventral,indianred,0.038898006
1,0.10866588,0.10278473,0.10866588,Dorsal → Ventral,indianred,0.005881153
128,0.107309066,0.08559407,0.107309066,Dorsal → Ventral,indianred,0.021714993
143,0.104418926,0.06782999,0.104418926,Dorsal → Ventral,indianred,0.036588937
12,0.10324368,0.048831616,0.10324368,Dorsal → Ventral,indianred,0.054412063
198,0.102536164,0.046503376,0.102536164,Dorsal → Ventral,indianred,0.056032788
113,0.102452666,0.03014499,0.102452666,Dorsal → Ventral,indianred,0.072307676
5,0.05298775,0.10202148,0.10202148,Ventral → Dorsal,teal,0.049033727
140,0.10166093,0.071687125,0.10166093,Dorsal → Ventral,indianred,0.029973805
130,0.1012644,0.07511661,0.1012644,Dorsal → Ventral,indianred,0.02614779
80,0.10094816,0.051868763,0.10094816,Dorsal → Ventral,indianred,0.0490794
70,0.08605093,0.099311635,0.099311635,Ventral → Dorsal,teal,0.013260707
62,0.098721884,0.09097355,0.098721884,Dorsal → Ventral,indianred,0.0077483356
144,0.09774532,0.06535164,0.09774532,Dorsal → Ventral,indianred,0.03239368
182,0.09617372,0.054610126,0.09617372,Dorsal → Ventral,indianred,0.041563593
63,0.090733916,0.09599676,0.09599676,Ventral → Dorsal,teal,0.0052628443
79,0.09581932,0.07306367,0.09581932,Dorsal → Ventral,indianred,0.022755645
27,0.09510159,0.0739344,0.09510159,Dorsal → Ventral,indianred,0.021167189
139,0.09301261,0.09437818,0.09437818,Ventral → Dorsal,teal,0.0013655722
96,0.09434937,0.039819274,0.09434937,Dorsal → Ventral,indianred,0.054530095
146,0.09398207,0.07424278,0.09398207,Dorsal → Ventral,indianred,0.019739293
200,0.09228352,0.06550608,0.09228352,Dorsal → Ventral,indianred,0.026777439
23,0.09196459,0.08687753,0.09196459,Dorsal → Ventral,indianred,0.0050870553
101,0.069642976,0.09154682,0.09154682,Ventral → Dorsal,teal,0.021903843
10,0.08996301,0.040288437,0.08996301,Dorsal → Ventral,indianred,0.049674574
13,0.08979475,0.010978635,0.08979475,Dorsal → Ventral,indianred,0.078816116
41,0.088497795,0.083895795,0.088497795,Dorsal → Ventral,indianred,0.004602
134,0.08795416,0.066686206,0.08795416,Dorsal → Ventral,indianred,0.021267958
109,0.087945916,0.020110583,0.087945916,Dorsal → Ventral,indianred,0.06783533
26,0.08636835,0.08021635,0.08636835,Dorsal → Ventral,indianred,0.006152004
138,0.08145022,0.085938066,0.085938066,Ventral → Dorsal,teal,0.00448785
42,0.08585753,0.057353076,0.08585753,Dorsal → Ventral,indianred,0.028504457
129,0.08553076,0.06747601,0.08553076,Dorsal → Ventral,indianred,0.018054746
173,0.070241824,0.083925344,0.083925344,Ventral → Dorsal,teal,0.01368352
34,0.08389748,0.07728173,0.08389748,Dorsal → Ventral,indianred,0.0066157505
127,0.08385632,0.070075266,0.08385632,Dorsal → Ventral,indianred,0.013781056
102,0.08354435,0.083123416,0.08354435,Dorsal → Ventral,indianred,0.00042093545
24,0.08300737,0.080242515,0.08300737,Dorsal → Ventral,indianred,0.0027648583
145,0.08282382,0.072364025,0.08282382,Dorsal → Ventral,indianred,0.010459796
30,0.082295835,0.06998591,0.082295835,Dorsal → Ventral,indianred,0.012309924
176,0.075496234,0.08226123,0.08226123,Ventral → Dorsal,teal,0.006764993
29,0.081878446,0.06748679,0.081878446,Dorsal → Ventral,indianred,0.014391653
112,0.08163723,0.026802108,0.08163723,Dorsal → Ventral,indianred,0.054835126
199,0.081548594,0.046507265,0.081548594,Dorsal → Ventral,indianred,0.03504133
21,0.0778608,0.08062872,0.08062872,Ventral → Dorsal,teal,0.0027679205
110,0.08016103,0.051135335,0.08016103,Dorsal → Ventral,indianred,0.029025692
54,0.07985487,0.07078156,0.07985487,Dorsal → Ventral,indianred,0.00907331
97,0.07953125,0.028052155,0.07953125,Dorsal → Ventral,indianred,0.051479097
133,0.07941669,0.06533589,0.07941669,Dorsal → Ventral,indianred,0.0140808
114,0.07916474,0.019306911,0.07916474,Dorsal → Ventral,indianred,0.05985783
132,0.07914297,0.056421474,0.07914297,Dorsal → Ventral,indianred,0.0227215
99,0.07879178,0.044178672,0.07879178,Dorsal → Ventral,indianred,0.03461311
104,0.07866942,0.03282586,0.07866942,Dorsal → Ventral,indianred,0.04584356
148,0.0783293,0.07367904,0.0783293,Dorsal → Ventral,indianred,0.004650265
69,0.07397985,0.07829918,0.07829918,Ventral → Dorsal,teal,0.0043193325
124,0.076400526,0.0710071,0.076400526,Dorsal → Ventral,indianred,0.005393423
158,0.07556149,0.0673362,0.07556149,Dorsal → Ventral,indianred,0.008225292
4,0.07435277,0.03009996,0.07435277,Dorsal → Ventral,indianred,0.044252813
43,0.07000345,0.07398126,0.07398126,Ventral → Dorsal,teal,0.003977813
151,0.06788136,0.07377591,0.07377591,Ventral → Dorsal,teal,0.005894549
157,0.07365184,0.054012638,0.07365184,Dorsal → Ventral,indianred,0.019639205
44,0.072408035,0.05786241,0.072408035,Dorsal → Ventral,indianred,0.014545627
78,0.068533495,0.072322175,0.072322175,Ventral → Dorsal,teal,0.0037886798
188,0.057127897,0.0720575,0.0720575,Ventral → Dorsal,teal,0.014929604
149,0.07203864,0.06452234,0.07203864,Dorsal → Ventral,indianred,0.007516302
125,0.07187812,0.06421969,0.07187812,Dorsal → Ventral,indianred,0.0076584294
53,0.07168704,0.05253763,0.07168704,Dorsal → Ventral,indianred,0.019149411
6,0.06995481,0.043276545,0.06995481,Dorsal → Ventral,indianred,0.026678268
137,0.0696357,0.05358383,0.0696357,Dorsal → Ventral,indianred,0.016051866
28,0.06934271,0.056700733,0.06934271,Dorsal → Ventral,indianred,0.0126419775
150,0.069054596,0.050603487,0.069054596,Dorsal → Ventral,indianred,0.01845111
45,0.068865456,0.043541767,0.068865456,Dorsal → Ventral,indianred,0.025323689
107,0.06882856,0.040490877,0.06882856,Dorsal → Ventral,indianred,0.028337684
19,0.06878814,0.04671823,0.06878814,Dorsal → Ventral,indianred,0.022069912
100,0.068548076,0.06410815,0.068548076,Dorsal → Ventral,indianred,0.0044399276
93,0.068036556,0.059547845,0.068036556,Dorsal → Ventral,indianred,0.008488711
20,0.06802751,0.06413421,0.06802751,Dorsal → Ventral,indianred,0.003893301
16,0.067441724,0.05325166,0.067441724,Dorsal → Ventral,indianred,0.014190063
72,0.06673185,0.043658227,0.06673185,Dorsal → Ventral,indianred,0.023073621
131,0.066299535,0.049773622,0.066299535,Dorsal → Ventral,indianred,0.016525913
117,0.066023245,0.057344988,0.066023245,Dorsal → Ventral,indianred,0.008678257
183,0.06589322,0.047208026,0.06589322,Dorsal → Ventral,indianred,0.018685192
126,0.06575617,0.056564856,0.06575617,Dorsal → Ventral,indianred,0.009191316
166,0.0641138,0.0657008,0.0657008,Ventral → Dorsal,teal,0.001586996
106,0.05719899,0.06483629,0.06483629,Ventral → Dorsal,teal,0.0076373033
189,0.056606274,0.064746514,0.064746514,Ventral → Dorsal,teal,0.00814024
52,0.061279442,0.064351544,0.064351544,Ventral → Dorsal,teal,0.0030721016
22,0.06432559,0.06134961,0.06432559,Dorsal → Ventral,indianred,0.0029759817
98,0.06403553,0.049081877,0.06403553,Dorsal → Ventral,indianred,0.0149536505
197,0.06363863,0.04603985,0.06363863,Dorsal → Ventral,indianred,0.017598778
168,0.056947984,0.06343443,0.06343443,Ventral → Dorsal,teal,0.0064864457
92,0.061464787,0.06323987,0.06323987,Ventral → Dorsal,teal,0.0017750859
18,0.063106135,0.042669762,0.063106135,Dorsal → Ventral,indianred,0.020436373
94,0.06295387,0.038102258,0.06295387,Dorsal → Ventral,indianred,0.024851609
95,0.06287544,0.053111766,0.06287544,Dorsal → Ventral,indianred,0.009763677
178,0.06255571,0.050100133,0.06255571,Dorsal → Ventral,indianred,0.012455575
119,0.062374204,0.0435849,0.062374204,Dorsal → Ventral,indianred,0.018789303
82,0.06186245,0.031171277,0.06186245,Dorsal → Ventral,indianred,0.030691173
181,0.06156482,0.061595432,0.061595432,Ventral → Dorsal,teal,3.061071e-05
184,0.06068424,0.05598403,0.06068424,Dorsal → Ventral,indianred,0.00470021
147,0.060297195,0.057953816,0.060297195,Dorsal → Ventral,indianred,0.002343379
122,0.05997526,0.052170735,0.05997526,Dorsal → Ventral,indianred,0.007804524
46,0.05974236,0.042479932,0.05974236,Dorsal → Ventral,indianred,0.017262429
165,0.05925837,0.04465443,0.05925837,Dorsal → Ventral,indianred,0.014603943
121,0.05883252,0.0347404,0.05883252,Dorsal → Ventral,indianred,0.02409212
17,0.058351506,0.04232572,0.058351506,Dorsal → Ventral,indianred,0.016025785
50,0.058295313,0.042336714,0.058295313,Dorsal → Ventral,indianred,0.0159586
123,0.058066774,0.05031604,0.058066774,Dorsal → Ventral,indianred,0.0077507347
156,0.05782782,0.057353992,0.05782782,Dorsal → Ventral,indianred,0.00047382712
77,0.05531379,0.05756997,0.05756997,Ventral → Dorsal,teal,0.002256181
196,0.055549193,0.046461,0.055549193,Dorsal → Ventral,indianred,0.009088192
64,0.0552684,0.054721802,0.0552684,Dorsal → Ventral,indianred,0.00054659694
7,0.055148393,0.031134909,0.055148393,Dorsal → Ventral,indianred,0.024013484
120,0.0544278,0.029761108,0.0544278,Dorsal → Ventral,indianred,0.024666691
118,0.053175543,0.035322476,0.053175543,Dorsal → Ventral,indianred,0.017853066
116,0.05276867,0.040179837,0.05276867,Dorsal → Ventral,indianred,0.0125888325
81,0.052061055,0.032481812,0.052061055,Dorsal → Ventral,indianred,0.019579243
49,0.051225424,0.03337742,0.051225424,Dorsal → Ventral,indianred,0.017848004
68,0.05097398,0.041497033,0.05097398,Dorsal → Ventral,indianred,0.0094769485
61,0.05078986,0.043016776,0.05078986,Dorsal → Ventral,indianred,0.0077730827
187,0.04540682,0.050040916,0.050040916,Ventral → Dorsal,teal,0.004634097
154,0.048284203,0.049115185,0.049115185,Ventral → Dorsal,teal,0.0008309819
180,0.041696183,0.048955828,0.048955828,Ventral → Dorsal,teal,0.0072596446
15,0.04794231,0.037115503,0.04794231,Dorsal → Ventral,indianred,0.0108268075
155,0.047637764,0.03160928,0.047637764,Dorsal → Ventral,indianred,0.016028486
48,0.04760274,0.043038134,0.04760274,Dorsal → Ventral,indianred,0.0045646057
87,0.047445487,0.03718214,0.047445487,Dorsal → Ventral,indianred,0.010263346
51,0.045958802,0.03914689,0.045958802,Dorsal → Ventral,indianred,0.006811913
67,0.045749377,0.03955071,0.045749377,Dorsal → Ventral,indianred,0.006198667
175,0.04144225,0.045457415,0.045457415,Ventral → Dorsal,teal,0.0040151663
73,0.04262526,0.04155381,0.04262526,Dorsal → Ventral,indianred,0.0010714494
169,0.039925985,0.042513907,0.042513907,Ventral → Dorsal,teal,0.002587922
172,0.041728783,0.03852227,0.041728783,Dorsal → Ventral,indianred,0.0032065138
190,0.04156919,0.041667096,0.041667096,Ventral → Dorsal,teal,9.790808e-05
174,0.03843963,0.04125798,0.04125798,Ventral → Dorsal,teal,0.0028183497
76,0.03958584,0.04055127,0.04055127,Ventral → Dorsal,teal,0.00096543133
179,0.03941313,0.039845858,0.039845858,Ventral → Dorsal,teal,0.000432726
47,0.039553512,0.028659146,0.039553512,Dorsal → Ventral,indianred,0.010894366
65,0.038869172,0.031416625,0.038869172,Dorsal → Ventral,indianred,0.0074525476
90,0.038459696,0.03819592,0.038459696,Dorsal → Ventral,indianred,0.00026377663
171,0.036716472,0.0384335,0.0384335,Ventral → Dorsal,teal,0.0017170273
186,0.032475315,0.03838898,0.03838898,Ventral → Dorsal,teal,0.0059136637
75,0.032292403,0.03818902,0.03818902,Ventral → Dorsal,teal,0.0058966167
