Parcel_Label,Parcel_Name,pIPS_Mean_Connectivity,LO_Mean_Connectivity,Difference_pIPS_minus_LO,CI_Lower,CI_Upper,Bootstrap_Significant,LOO_Reliability,LOO_Significant,Combined_Significant,Direction
1.0,7Networks_LH_Vis_1,0.09625672517965238,0.06584884845910387,0.03040787672054851,-0.019682123653991662,0.06724691007499736,False,0.7777777777777778,True,False,pIPS > LO
2.0,7Networks_LH_Vis_2,0.08939977642148733,0.0942978754432665,-0.004898099021779165,-0.03216547224308468,0.021907787019800805,False,0.5555555555555556,False,False,LO > pIPS
7.0,7Networks_LH_Vis_7,0.07609390343228976,-0.010444913887315325,0.08653881731960508,0.03444358191789232,0.13650083247598052,True,0.7777777777777778,True,True,pIPS > LO
8.0,7Networks_LH_Vis_8,0.10685043761299716,0.0773255622221364,0.029524875390860766,0.0025889688831133226,0.05961396616573135,True,0.6666666666666666,False,False,pIPS > LO
9.0,7Networks_LH_Vis_9,0.03103579102187521,0.10414120241896146,-0.07310541139708626,-0.12942836659947513,-0.018459167090865494,True,0.6666666666666666,False,False,LO > pIPS
11.0,7Networks_LH_Vis_11,0.09658655379381445,0.11623044622441132,-0.019643892430596874,-0.060861382778320046,0.02546375810893044,False,0.6666666666666666,False,False,LO > pIPS
21.0,7Networks_LH_SomMot_7,0.059185440031190716,0.05955945550360613,-0.00037401547241541766,-0.03482998061614731,0.028785484628234465,False,0.05555555555555555,False,False,LO > pIPS
23.0,7Networks_LH_SomMot_9,0.06440284879257281,0.057290607338978186,0.0071122414535946255,-0.017113536986936295,0.03138807225817194,False,0.5,False,False,pIPS > LO
24.0,7Networks_LH_SomMot_10,0.06199943170779281,0.059146320912986994,0.0028531107948058174,-0.023620239634894662,0.028885243635158965,False,0.3333333333333333,False,False,pIPS > LO
25.0,7Networks_LH_SomMot_11,0.11117324233055115,0.06581857553424521,0.04535466679630594,0.016387488913541238,0.07375595318056485,True,0.8333333333333334,True,True,pIPS > LO
27.0,7Networks_LH_SomMot_13,0.0829158535020219,0.03875444487979015,0.044161408622231745,0.027450450723214698,0.06357937736514334,True,0.9444444444444444,True,True,pIPS > LO
31.0,7Networks_LH_DorsAttn_Post_1,0.046318991200274065,0.1111338757392433,-0.06481488453896923,-0.09177085084633695,-0.04090205059231572,True,0.9444444444444444,True,True,LO > pIPS
32.0,7Networks_LH_DorsAttn_Post_2,0.07424823818210927,0.055849253898486495,0.01839898428362277,-0.014665132793985923,0.047856587696717,False,0.6111111111111112,False,False,pIPS > LO
33.0,7Networks_LH_DorsAttn_Post_3,0.12562998345432183,0.11164010916319159,0.013989874291130244,-0.04541032321091431,0.0652832405305364,False,0.6666666666666666,False,False,pIPS > LO
34.0,7Networks_LH_DorsAttn_Post_4,0.06107666281362375,0.05054726079106331,0.01052940202256044,-0.029029994657806427,0.043025833038457965,False,0.6666666666666666,False,False,pIPS > LO
35.0,7Networks_LH_DorsAttn_Post_5,0.07869097549054357,0.0842770298735963,-0.0055860543830527215,-0.05081936258098318,0.03280395563277933,False,0.3333333333333333,False,False,LO > pIPS
36.0,7Networks_LH_DorsAttn_Post_6,0.08983809464714593,0.09333835675432864,-0.003500262107182711,-0.04383218328002841,0.034323579284440096,False,0.4444444444444444,False,False,LO > pIPS
38.0,7Networks_LH_DorsAttn_Post_8,0.10316530402956738,0.09432495907983846,0.00884034494972892,-0.027431795624498684,0.04212638857231164,False,0.6666666666666666,False,False,pIPS > LO
40.0,7Networks_LH_DorsAttn_Post_10,0.11161176860332489,0.024194130208343267,0.08741763839498162,0.060432876480950255,0.11503523382513474,True,0.8888888888888888,True,True,pIPS > LO
41.0,7Networks_LH_DorsAttn_FEF_1,0.0681804624489612,0.05834226879394717,0.009838193655014031,-0.017092826282088126,0.03731927155620518,False,0.6111111111111112,False,False,pIPS > LO
54.0,7Networks_LH_SalVentAttn_Med_3,0.05929687241506246,0.049683046992868185,0.009613825422194272,-0.011527794356354407,0.031898418997621344,False,0.5,False,False,pIPS > LO
62.0,7Networks_LH_Cont_Par_2,0.07058296130142278,0.06758251937571913,0.003000441925703645,-0.04130830105213035,0.04344670518540722,False,0.3888888888888889,False,False,pIPS > LO
63.0,7Networks_LH_Cont_Par_3,0.06580022034338778,0.07509524305351079,-0.009295022710123002,-0.055693144615765446,0.031824781358914644,False,0.4444444444444444,False,False,LO > pIPS
64.0,7Networks_LH_Cont_Temp_1,0.042802550131455064,0.04064052370894286,0.0021620264225122032,-0.02369451047205883,0.025131766276899725,False,0.2777777777777778,False,False,pIPS > LO
69.0,7Networks_LH_Cont_PFCl_4,0.04596164613030851,0.0642946008592844,-0.018332954728975892,-0.04637245824625198,0.011410866247671129,False,0.7222222222222222,False,False,LO > pIPS
78.0,7Networks_LH_Default_Temp_5,0.04481721299493478,0.05975192443778118,-0.014934711442846395,-0.040674248948279354,0.008773069910239416,False,0.6111111111111112,False,False,LO > pIPS
79.0,7Networks_LH_Default_Par_1,0.09079295854705076,0.035795674866272345,0.054997283680778414,0.022661522728028814,0.08804775885978917,True,0.7222222222222222,False,False,pIPS > LO
93.0,7Networks_LH_Default_PFC_11,0.053264145377195544,0.03939488687966433,0.013869258497531213,-0.0037689654130695586,0.03365844237333577,False,0.5,False,False,pIPS > LO
95.0,7Networks_LH_Default_PFC_13,0.048845620179134935,0.03537754398874111,0.013468076190393828,-0.010639644132849449,0.042688415760252,False,0.5,False,False,pIPS > LO
100.0,7Networks_LH_Default_PHC_1,0.05684848274621698,0.041159294442170195,0.015689188304046787,-0.015358746655854506,0.04048792163634466,False,0.6666666666666666,False,False,pIPS > LO
101.0,7Networks_RH_Vis_1,0.032476660847249955,0.09431718786557515,-0.061840527018325195,-0.08786283872323111,-0.040036461995138474,True,0.9444444444444444,True,True,LO > pIPS
102.0,7Networks_RH_Vis_2,0.06753594759437773,0.06079976193399893,0.006736185660378799,-0.036988378523124595,0.03986428682304298,False,0.6666666666666666,False,False,pIPS > LO
103.0,7Networks_RH_Vis_3,0.07595301895505852,0.12434075524409612,-0.0483877362890376,-0.08319373509536185,-0.015630545627532747,True,0.7777777777777778,True,True,LO > pIPS
106.0,7Networks_RH_Vis_6,0.04413518594163987,0.05208834069263604,-0.007953154750996172,-0.04804546389625304,0.03151475710587369,False,0.4444444444444444,False,False,LO > pIPS
111.0,7Networks_RH_Vis_11,0.08900219139953454,0.12457231370111306,-0.03557012230157852,-0.0746600170361085,0.005670377958772847,False,0.7777777777777778,True,False,LO > pIPS
112.0,7Networks_RH_Vis_12,0.12024860787722799,-0.038856021076854735,0.15910462895408273,0.11268118993094604,0.20236713332900153,True,0.8888888888888888,True,True,pIPS > LO
115.0,7Networks_RH_Vis_15,0.1285924849410852,0.043233363203600876,0.0853591217374843,0.05864915429976665,0.11023244352125201,True,0.8888888888888888,True,True,pIPS > LO
128.0,7Networks_RH_SomMot_13,0.10638914008935292,0.043024007567308016,0.0633651325220449,0.035253775149532075,0.09244643410525491,True,0.8888888888888888,True,True,pIPS > LO
135.0,7Networks_RH_DorsAttn_Post_1,0.05170801095664501,0.0991799874852101,-0.047471976528565094,-0.08422785688502092,-0.015302421126721632,True,0.7222222222222222,False,False,LO > pIPS
136.0,7Networks_RH_DorsAttn_Post_2,0.09193249729772408,0.07330557959438819,0.018626917703335896,-0.005880250779187513,0.044091021770792486,False,0.5,False,False,pIPS > LO
138.0,7Networks_RH_DorsAttn_Post_4,0.0675363266426656,0.06416376850878198,0.0033725581338836103,-0.03799755742462973,0.04095843425279271,False,0.2777777777777778,False,False,pIPS > LO
139.0,7Networks_RH_DorsAttn_Post_5,0.076283593248162,0.06349396493492855,0.01278962831323345,-0.03464237812311492,0.05168326629532707,False,0.6111111111111112,False,False,pIPS > LO
141.0,7Networks_RH_DorsAttn_Post_7,0.08730820938944817,0.12551146186888218,-0.03820325247943401,-0.08729909808737123,0.009296316363745265,False,0.7222222222222222,False,False,LO > pIPS
142.0,7Networks_RH_DorsAttn_Post_8,0.126791356338395,0.0833225679428627,0.043468788395532296,0.005803029720361049,0.07904537078704581,True,0.7777777777777778,True,True,pIPS > LO
145.0,7Networks_RH_DorsAttn_FEF_1,0.07406785763386223,0.04991936921659443,0.0241484884172678,-0.001070475050558648,0.04779110095955224,False,0.6666666666666666,False,False,pIPS > LO
146.0,7Networks_RH_DorsAttn_FEF_2,0.08400736249879831,0.03928371694766813,0.04472364555113018,0.020311941288592712,0.06835890326183289,True,0.8333333333333334,True,True,pIPS > LO
148.0,7Networks_RH_SalVentAttn_TempOccPar_1,0.06764161487808451,0.051438350586168885,0.016203264291915626,-0.016065088705767668,0.04711273390081866,False,0.7222222222222222,False,False,pIPS > LO
151.0,7Networks_RH_SalVentAttn_PrC_1,0.05225840086738268,0.060600151773542166,-0.008341750906159483,-0.04327804532497087,0.021565224477348627,False,0.5,False,False,LO > pIPS
167.0,7Networks_RH_Cont_Par_3,0.08093864884641436,0.0912543619568977,-0.010315713110483349,-0.055466502780715625,0.03129754040985262,False,0.3888888888888889,False,False,LO > pIPS
168.0,7Networks_RH_Cont_Temp_1,0.04625325849176281,0.05181817322348555,-0.005564914731722742,-0.03403502699091202,0.02124247284696644,False,0.3888888888888889,False,False,LO > pIPS
176.0,7Networks_RH_Cont_PFCl_7,0.05518121399735618,0.0650964297561182,-0.009915215758762017,-0.033510863938944466,0.014318702642210848,False,0.5555555555555556,False,False,LO > pIPS
