ROI_ID,ROI_Name,Difference,Stronger_Connection,pIPS_Value,LO_Value
12,7Networks_LH_Vis_13,0.084457435,pIPS,0.089967944,0.005510506
108,7Networks_RH_Vis_9,0.075985916,pIPS,0.09245018,0.016464263
112,7Networks_RH_Vis_13,0.07460722,pIPS,0.1026979,0.028090674
113,7Networks_RH_Vis_14,0.06933883,pIPS,0.08383705,0.014498223
70,7Networks_LH_Cont_pCun_1,0.068152815,pIPS,0.10706174,0.038908917
13,7Networks_LH_Vis_14,0.0672731,pIPS,0.13381636,0.06654326
176,7Networks_RH_Cont_pCun_1,0.066663235,pIPS,0.11190154,0.0452383
111,7Networks_RH_Vis_12,0.065121435,pIPS,0.08888427,0.023762835
9,7Networks_LH_Vis_10,0.056647297,pIPS,0.09476152,0.038114224
197,7Networks_RH_Default_pCunPCC_1,0.05492627,pIPS,0.100507796,0.045581527
2,7Networks_LH_Vis_3,-0.070632935,LO,0.14056893,0.21120186
104,7Networks_RH_Vis_5,-0.062409155,LO,0.11637547,0.17878462
107,7Networks_RH_Vis_8,-0.05713991,LO,0.06495812,0.12209803
4,7Networks_LH_Vis_5,-0.047733963,LO,0.05295495,0.10068891
8,7Networks_LH_Vis_9,-0.037802964,LO,0.076275975,0.11407894
134,7Networks_RH_DorsAttn_Post_1,-0.037103325,LO,0.10267949,0.13978282
102,7Networks_RH_Vis_3,-0.03117814,LO,0.1174602,0.14863834
30,7Networks_LH_DorsAttn_Post_1,-0.030515566,LO,0.09405847,0.124574035
100,7Networks_RH_Vis_1,-0.027534872,LO,0.06900264,0.096537516
140,7Networks_RH_DorsAttn_Post_7,-0.02057463,LO,0.1275383,0.14811292
