subject,condition,dice
sub-025,Within-Subject,0.7674455995593915
sub-025,Between-Dorsal,0.7247940233845275
sub-025,Between-Ventral,0.630103313113732
sub-038,Within-Subject,0.899425918673404
sub-038,Between-Dorsal,0.8341817362270243
sub-038,Between-Ventral,0.7805745345262286
sub-057,Within-Subject,0.9702415817218755
sub-057,Between-Dorsal,0.8684531733063672
sub-057,Between-Ventral,0.8377850066868516
sub-059,Within-Subject,0.9560665247389702
sub-059,Between-Dorsal,0.8510869845697032
sub-059,Between-Ventral,0.8186089555593626
sub-064,Within-Subject,0.87882524063566
sub-064,Between-Dorsal,0.8256273360144492
sub-064,Between-Ventral,0.7993723538830819
sub-067,Within-Subject,0.9832330632510148
sub-067,Between-Dorsal,0.8702018368804975
sub-067,Between-Ventral,0.8432107519644675
sub-068,Within-Subject,0.9223561901609068
sub-068,Between-Dorsal,0.8552092374418038
sub-068,Between-Ventral,0.8152365662491089
sub-071,Within-Subject,0.9687855576529878
sub-071,Between-Dorsal,0.8515076979162748
sub-071,Between-Ventral,0.8208630442326146
sub-083,Within-Subject,0.9506661882324058
sub-083,Between-Dorsal,0.830273159774801
sub-083,Between-Ventral,0.7989130390038043
sub-085,Within-Subject,0.8597204693123919
sub-085,Between-Dorsal,0.8228143911161607
sub-085,Between-Ventral,0.7788965935760717
sub-087,Within-Subject,0.9085664496506638
sub-087,Between-Dorsal,0.7900728652921333
sub-087,Between-Ventral,0.7388852518974254
sub-088,Within-Subject,0.9604717255577685
sub-088,Between-Dorsal,0.8427869429645005
sub-088,Between-Ventral,0.8129848798141602
sub-093,Within-Subject,0.9522793362048232
sub-093,Between-Dorsal,0.8553089079224492
sub-093,Between-Ventral,0.8229807666914165
sub-094,Within-Subject,0.8893559809880891
sub-094,Between-Dorsal,0.8429672274996305
sub-094,Between-Ventral,0.7947813608418237
sub-095,Within-Subject,0.9449348008559235
sub-095,Between-Dorsal,0.8210677178211573
sub-095,Between-Ventral,0.8099884145454637
sub-096,Within-Subject,0.9090432734333489
sub-096,Between-Dorsal,0.8092402467589428
sub-096,Between-Ventral,0.798510504668594
sub-097,Within-Subject,0.868616087341087
sub-097,Between-Dorsal,0.8014718828690843
sub-097,Between-Ventral,0.7186461671596808
sub-107,Within-Subject,0.8694771344886736
sub-107,Between-Dorsal,0.8423054618685846
sub-107,Between-Ventral,0.7734397978633463
