Subject,Analysis,Dice
sub-025,fc,0.7674455995593915
sub-038,fc,0.899425918673404
sub-057,fc,0.9702415817218755
sub-059,fc,0.9560665247389702
sub-064,fc,0.87882524063566
sub-067,fc,0.9832330632510148
sub-068,fc,0.9223561901609068
sub-071,fc,0.9687855576529878
sub-083,fc,0.9506661882324058
sub-085,fc,0.8597204693123919
sub-087,fc,0.9085664496506638
sub-088,fc,0.9604717255577685
sub-093,fc,0.9522793362048232
sub-094,fc,0.8893559809880891
sub-095,fc,0.9449348008559235
sub-096,fc,0.9090432734333489
sub-097,fc,0.868616087341087
sub-107,fc,0.8694771344886736
