ROI,Analysis,Subject1,Subject2,Dice
pIPS,fc,sub-025,sub-038,0.7247629298492336
pIPS,fc,sub-025,sub-057,0.7484888043464747
pIPS,fc,sub-025,sub-059,0.7361118580263512
pIPS,fc,sub-025,sub-064,0.7157954506257844
pIPS,fc,sub-025,sub-067,0.7390328873003899
pIPS,fc,sub-025,sub-068,0.7298391047138174
pIPS,fc,sub-025,sub-071,0.7245818296897092
pIPS,fc,sub-025,sub-083,0.7271640204610377
pIPS,fc,sub-025,sub-085,0.7156721029581665
pIPS,fc,sub-025,sub-087,0.708162607098285
pIPS,fc,sub-025,sub-088,0.7247306780697026
pIPS,fc,sub-025,sub-093,0.7350604280191178
pIPS,fc,sub-025,sub-094,0.7238828903438183
pIPS,fc,sub-025,sub-095,0.7249127423370918
pIPS,fc,sub-025,sub-096,0.711672553500935
pIPS,fc,sub-025,sub-097,0.7025193851029079
pIPS,fc,sub-025,sub-107,0.7291081250941427
pIPS,fc,sub-038,sub-057,0.874126056558489
pIPS,fc,sub-038,sub-059,0.8557618098029506
pIPS,fc,sub-038,sub-064,0.8334690572478871
pIPS,fc,sub-038,sub-067,0.8768457309115804
pIPS,fc,sub-038,sub-068,0.8575094756790903
pIPS,fc,sub-038,sub-071,0.8588152876157857
pIPS,fc,sub-038,sub-083,0.8337786540871231
pIPS,fc,sub-038,sub-085,0.8280012743919314
pIPS,fc,sub-038,sub-087,0.7962807444302868
pIPS,fc,sub-038,sub-088,0.8469987790426258
pIPS,fc,sub-038,sub-093,0.8614601101310378
pIPS,fc,sub-038,sub-094,0.8514512189877343
pIPS,fc,sub-038,sub-095,0.8149073867440304
pIPS,fc,sub-038,sub-096,0.8067450823077694
pIPS,fc,sub-038,sub-097,0.8115037253664977
pIPS,fc,sub-038,sub-107,0.848672192705358
pIPS,fc,sub-057,sub-059,0.8947271834923074
pIPS,fc,sub-057,sub-064,0.865650452066054
pIPS,fc,sub-057,sub-067,0.9234478601567209
pIPS,fc,sub-057,sub-068,0.901049934904036
pIPS,fc,sub-057,sub-071,0.9008704977647082
pIPS,fc,sub-057,sub-083,0.8699335475069313
pIPS,fc,sub-057,sub-085,0.8574829289957253
pIPS,fc,sub-057,sub-087,0.8177087646652864
pIPS,fc,sub-057,sub-088,0.8893119939553693
pIPS,fc,sub-057,sub-093,0.9010020684997343
pIPS,fc,sub-057,sub-094,0.8915923889404631
pIPS,fc,sub-057,sub-095,0.8587142469580347
pIPS,fc,sub-057,sub-096,0.8453599325909226
pIPS,fc,sub-057,sub-097,0.8377697737046049
pIPS,fc,sub-057,sub-107,0.8864675111023794
pIPS,fc,sub-059,sub-064,0.8516077518540572
pIPS,fc,sub-059,sub-067,0.8981759214915266
pIPS,fc,sub-059,sub-068,0.8830308901087074
pIPS,fc,sub-059,sub-071,0.876774800290645
pIPS,fc,sub-059,sub-083,0.8530680458004923
pIPS,fc,sub-059,sub-085,0.8426941446011103
pIPS,fc,sub-059,sub-087,0.8049736425312626
pIPS,fc,sub-059,sub-088,0.8679650725014201
pIPS,fc,sub-059,sub-093,0.8790608115001964
pIPS,fc,sub-059,sub-094,0.865358188643725
pIPS,fc,sub-059,sub-095,0.8419882074222788
pIPS,fc,sub-059,sub-096,0.8270681265206813
pIPS,fc,sub-059,sub-097,0.8199252034837615
pIPS,fc,sub-059,sub-107,0.8701870796134825
pIPS,fc,sub-064,sub-067,0.8630132246987899
pIPS,fc,sub-064,sub-068,0.8529079127692697
pIPS,fc,sub-064,sub-071,0.8529221940123639
pIPS,fc,sub-064,sub-083,0.8248714997367085
pIPS,fc,sub-064,sub-085,0.8289953816872017
pIPS,fc,sub-064,sub-087,0.785531798486647
pIPS,fc,sub-064,sub-088,0.841176604099049
pIPS,fc,sub-064,sub-093,0.847355411647597
pIPS,fc,sub-064,sub-094,0.8344218350467792
pIPS,fc,sub-064,sub-095,0.8166889690136024
pIPS,fc,sub-064,sub-096,0.7943030021844614
pIPS,fc,sub-064,sub-097,0.7863724050218418
pIPS,fc,sub-064,sub-107,0.8405817620475393
pIPS,fc,sub-067,sub-068,0.9176125673501963
pIPS,fc,sub-067,sub-071,0.909379208934934
pIPS,fc,sub-067,sub-083,0.8705104501781747
pIPS,fc,sub-067,sub-085,0.854663139429977
pIPS,fc,sub-067,sub-087,0.8211812387763318
