Subject1,Subject2,Dice
sub-025,sub-038,0.7247629298492336
sub-025,sub-057,0.7484888043464747
sub-025,sub-059,0.7361118580263512
sub-025,sub-064,0.7157954506257844
sub-025,sub-067,0.7390328873003899
sub-025,sub-068,0.7298391047138174
sub-025,sub-071,0.7245818296897092
sub-025,sub-083,0.7271640204610377
sub-025,sub-085,0.7156721029581665
sub-025,sub-087,0.708162607098285
sub-025,sub-088,0.7247306780697026
sub-025,sub-093,0.7350604280191178
sub-025,sub-094,0.7238828903438183
sub-025,sub-095,0.7249127423370918
sub-025,sub-096,0.711672553500935
sub-025,sub-097,0.7025193851029079
sub-025,sub-107,0.7291081250941427
sub-038,sub-057,0.874126056558489
sub-038,sub-059,0.8557618098029506
sub-038,sub-064,0.8334690572478871
sub-038,sub-067,0.8768457309115804
sub-038,sub-068,0.8575094756790903
sub-038,sub-071,0.8588152876157857
sub-038,sub-083,0.8337786540871231
sub-038,sub-085,0.8280012743919314
sub-038,sub-087,0.7962807444302868
sub-038,sub-088,0.8469987790426258
sub-038,sub-093,0.8614601101310378
sub-038,sub-094,0.8514512189877343
sub-038,sub-095,0.8149073867440304
sub-038,sub-096,0.8067450823077694
sub-038,sub-097,0.8115037253664977
sub-038,sub-107,0.848672192705358
sub-057,sub-059,0.8947271834923074
sub-057,sub-064,0.865650452066054
sub-057,sub-067,0.9234478601567209
sub-057,sub-068,0.901049934904036
sub-057,sub-071,0.9008704977647082
sub-057,sub-083,0.8699335475069313
sub-057,sub-085,0.8574829289957253
sub-057,sub-087,0.8177087646652864
sub-057,sub-088,0.8893119939553693
sub-057,sub-093,0.9010020684997343
sub-057,sub-094,0.8915923889404631
sub-057,sub-095,0.8587142469580347
sub-057,sub-096,0.8453599325909226
sub-057,sub-097,0.8377697737046049
sub-057,sub-107,0.8864675111023794
sub-059,sub-064,0.8516077518540572
sub-059,sub-067,0.8981759214915266
sub-059,sub-068,0.8830308901087074
sub-059,sub-071,0.876774800290645
sub-059,sub-083,0.8530680458004923
sub-059,sub-085,0.8426941446011103
sub-059,sub-087,0.8049736425312626
sub-059,sub-088,0.8679650725014201
sub-059,sub-093,0.8790608115001964
sub-059,sub-094,0.865358188643725
sub-059,sub-095,0.8419882074222788
sub-059,sub-096,0.8270681265206813
sub-059,sub-097,0.8199252034837615
sub-059,sub-107,0.8701870796134825
sub-064,sub-067,0.8630132246987899
sub-064,sub-068,0.8529079127692697
sub-064,sub-071,0.8529221940123639
sub-064,sub-083,0.8248714997367085
sub-064,sub-085,0.8289953816872017
sub-064,sub-087,0.785531798486647
sub-064,sub-088,0.841176604099049
sub-064,sub-093,0.847355411647597
sub-064,sub-094,0.8344218350467792
sub-064,sub-095,0.8166889690136024
sub-064,sub-096,0.7943030021844614
sub-064,sub-097,0.7863724050218418
sub-064,sub-107,0.8405817620475393
sub-067,sub-068,0.9176125673501963
sub-067,sub-071,0.909379208934934
sub-067,sub-083,0.8705104501781747
sub-067,sub-085,0.854663139429977
sub-067,sub-087,0.8211812387763318
sub-067,sub-088,0.895299948871151
sub-067,sub-093,0.9036348742832488
sub-067,sub-094,0.8934349597391618
sub-067,sub-095,0.852773250826429
sub-067,sub-096,0.8393661713200584
sub-067,sub-097,0.8433624051276745
