ROI,Analysis,Subject1,Subject2,Dice
pIPS,ppi,sub-025,sub-038,0.46475639020649423
pIPS,ppi,sub-025,sub-057,0.5434355103117394
pIPS,ppi,sub-025,sub-059,0.5511541710953043
pIPS,ppi,sub-025,sub-064,0.45162968173775875
pIPS,ppi,sub-025,sub-067,0.37852555768692997
pIPS,ppi,sub-025,sub-068,0.5539013499046804
pIPS,ppi,sub-025,sub-071,0.4656785219512793
pIPS,ppi,sub-025,sub-083,0.46490097786564055
pIPS,ppi,sub-025,sub-085,0.5079316565533076
pIPS,ppi,sub-025,sub-087,0.5148337517604555
pIPS,ppi,sub-025,sub-088,0.45784774267579875
pIPS,ppi,sub-025,sub-093,0.570118853666308
pIPS,ppi,sub-025,sub-094,0.39863057021088616
pIPS,ppi,sub-025,sub-095,0.5388062868241092
pIPS,ppi,sub-025,sub-096,0.47348939363745446
pIPS,ppi,sub-025,sub-097,0.5475473979084474
pIPS,ppi,sub-025,sub-107,0.5251600157169769
pIPS,ppi,sub-038,sub-057,0.5459810953945163
pIPS,ppi,sub-038,sub-059,0.531947422966026
pIPS,ppi,sub-038,sub-064,0.44495290982166574
pIPS,ppi,sub-038,sub-067,0.37178525609395047
pIPS,ppi,sub-038,sub-068,0.5424317329598627
pIPS,ppi,sub-038,sub-071,0.46897276699188595
pIPS,ppi,sub-038,sub-083,0.442337974565633
pIPS,ppi,sub-038,sub-085,0.5013945095631535
pIPS,ppi,sub-038,sub-087,0.49549636133675223
pIPS,ppi,sub-038,sub-088,0.46577416491305546
pIPS,ppi,sub-038,sub-093,0.5573611257748752
pIPS,ppi,sub-038,sub-094,0.4001636082692871
pIPS,ppi,sub-038,sub-095,0.5259615573657687
pIPS,ppi,sub-038,sub-096,0.45563244643678946
pIPS,ppi,sub-038,sub-097,0.5333707399662688
pIPS,ppi,sub-038,sub-107,0.5036807010297112
pIPS,ppi,sub-057,sub-059,0.7007123976084787
pIPS,ppi,sub-057,sub-064,0.5378247368526042
pIPS,ppi,sub-057,sub-067,0.42620899059468265
pIPS,ppi,sub-057,sub-068,0.7161834788462864
pIPS,ppi,sub-057,sub-071,0.5843796634590644
pIPS,ppi,sub-057,sub-083,0.5071386374268806
pIPS,ppi,sub-057,sub-085,0.6403881393881962
pIPS,ppi,sub-057,sub-087,0.6002387618579459
pIPS,ppi,sub-057,sub-088,0.5054627527019975
pIPS,ppi,sub-057,sub-093,0.7695967711610534
pIPS,ppi,sub-057,sub-094,0.42432393740063445
pIPS,ppi,sub-057,sub-095,0.7347751635881498
pIPS,ppi,sub-057,sub-096,0.5350441610720481
pIPS,ppi,sub-057,sub-097,0.7018540357970909
pIPS,ppi,sub-057,sub-107,0.6330993903303559
pIPS,ppi,sub-059,sub-064,0.5349560568902999
pIPS,ppi,sub-059,sub-067,0.43511516863505384
pIPS,ppi,sub-059,sub-068,0.7237643307470436
pIPS,ppi,sub-059,sub-071,0.5661285615443388
pIPS,ppi,sub-059,sub-083,0.528461972852193
pIPS,ppi,sub-059,sub-085,0.6222918886014305
pIPS,ppi,sub-059,sub-087,0.6100375053645732
pIPS,ppi,sub-059,sub-088,0.506066616317398
pIPS,ppi,sub-059,sub-093,0.7355599894130341
pIPS,ppi,sub-059,sub-094,0.4299385273543638
pIPS,ppi,sub-059,sub-095,0.6907120042115255
pIPS,ppi,sub-059,sub-096,0.5473021576659789
pIPS,ppi,sub-059,sub-097,0.689644864283152
pIPS,ppi,sub-059,sub-107,0.6408118469518154
pIPS,ppi,sub-064,sub-067,0.3758422638492067
pIPS,ppi,sub-064,sub-068,0.5579198791014575
pIPS,ppi,sub-064,sub-071,0.4594218807171606
pIPS,ppi,sub-064,sub-083,0.4268205454505562
pIPS,ppi,sub-064,sub-085,0.49291255040603055
pIPS,ppi,sub-064,sub-087,0.49216003656237506
pIPS,ppi,sub-064,sub-088,0.4369487219486105
pIPS,ppi,sub-064,sub-093,0.5544652295124676
pIPS,ppi,sub-064,sub-094,0.3787685308964664
pIPS,ppi,sub-064,sub-095,0.5271240215327803
pIPS,ppi,sub-064,sub-096,0.4530993007700807
pIPS,ppi,sub-064,sub-097,0.5414213726968797
pIPS,ppi,sub-064,sub-107,0.5195806802979684
pIPS,ppi,sub-067,sub-068,0.42210748350532307
pIPS,ppi,sub-067,sub-071,0.3737084665130454
pIPS,ppi,sub-067,sub-083,0.38767922987578807
pIPS,ppi,sub-067,sub-085,0.41608782485272505
pIPS,ppi,sub-067,sub-087,0.41054506713594974
pIPS,ppi,sub-067,sub-088,0.35851541238258033
pIPS,ppi,sub-067,sub-093,0.4560375958446698
pIPS,ppi,sub-067,sub-094,0.33354147766768383
pIPS,ppi,sub-067,sub-095,0.42216379802240506
pIPS,ppi,sub-067,sub-096,0.379755421616698
pIPS,ppi,sub-067,sub-097,0.4390841691792957
pIPS,ppi,sub-067,sub-107,0.4379899861650965
pIPS,ppi,sub-068,sub-071,0.5842765618313415
pIPS,ppi,sub-068,sub-083,0.5294869394097684
pIPS,ppi,sub-068,sub-085,0.6368283414965397
pIPS,ppi,sub-068,sub-087,0.6312697415570282
pIPS,ppi,sub-068,sub-088,0.5229119650080267
pIPS,ppi,sub-068,sub-093,0.7665762782890041
pIPS,ppi,sub-068,sub-094,0.43542494042891183
pIPS,ppi,sub-068,sub-095,0.714303565478174
pIPS,ppi,sub-068,sub-096,0.5675303390706009
pIPS,ppi,sub-068,sub-097,0.7197285511573672
pIPS,ppi,sub-068,sub-107,0.6606758262161159
pIPS,ppi,sub-071,sub-083,0.44455554108498474
pIPS,ppi,sub-071,sub-085,0.512064410257877
pIPS,ppi,sub-071,sub-087,0.5105477960184958
pIPS,ppi,sub-071,sub-088,0.45398296881596173
pIPS,ppi,sub-071,sub-093,0.6060280214941891
pIPS,ppi,sub-071,sub-094,0.3758771638290397
pIPS,ppi,sub-071,sub-095,0.5803190987191994
pIPS,ppi,sub-071,sub-096,0.46902096544583927
pIPS,ppi,sub-071,sub-097,0.564969025065099
pIPS,ppi,sub-071,sub-107,0.5277938336176392
pIPS,ppi,sub-083,sub-085,0.4865722301641299
pIPS,ppi,sub-083,sub-087,0.49530684219207777
pIPS,ppi,sub-083,sub-088,0.4328962324304843
pIPS,ppi,sub-083,sub-093,0.5367782385708326
pIPS,ppi,sub-083,sub-094,0.3782441816378151
pIPS,ppi,sub-083,sub-095,0.5051103658841783
pIPS,ppi,sub-083,sub-096,0.44907255900409726
pIPS,ppi,sub-083,sub-097,0.5125563040618647
pIPS,ppi,sub-083,sub-107,0.5053322642454083
pIPS,ppi,sub-085,sub-087,0.5676843220768
pIPS,ppi,sub-085,sub-088,0.46768331899791554
pIPS,ppi,sub-085,sub-093,0.6732901078099672
pIPS,ppi,sub-085,sub-094,0.4031202367076123
pIPS,ppi,sub-085,sub-095,0.6450414663655192
pIPS,ppi,sub-085,sub-096,0.5103247124845397
pIPS,ppi,sub-085,sub-097,0.6393557422969187
pIPS,ppi,sub-085,sub-107,0.5882280206818233
pIPS,ppi,sub-087,sub-088,0.4872683249305074
pIPS,ppi,sub-087,sub-093,0.6539668633278624
pIPS,ppi,sub-087,sub-094,0.4095468208804799
pIPS,ppi,sub-087,sub-095,0.6067501084144572
pIPS,ppi,sub-087,sub-096,0.5085367563736692
pIPS,ppi,sub-087,sub-097,0.6170425706830611
pIPS,ppi,sub-087,sub-107,0.5796148864404466
pIPS,ppi,sub-088,sub-093,0.5277405670908685
pIPS,ppi,sub-088,sub-094,0.393361443679669
pIPS,ppi,sub-088,sub-095,0.4961220941029494
pIPS,ppi,sub-088,sub-096,0.4357459706902893
pIPS,ppi,sub-088,sub-097,0.5043693954101182
pIPS,ppi,sub-088,sub-107,0.48753466830963615
pIPS,ppi,sub-093,sub-094,0.43495122220771
pIPS,ppi,sub-093,sub-095,0.7779872679280438
pIPS,ppi,sub-093,sub-096,0.5776501084294582
pIPS,ppi,sub-093,sub-097,0.7696275662849479
pIPS,ppi,sub-093,sub-107,0.6798382605748045
pIPS,ppi,sub-094,sub-095,0.4082475135524247
pIPS,ppi,sub-094,sub-096,0.3814343063884621
pIPS,ppi,sub-094,sub-097,0.41697882215359877
pIPS,ppi,sub-094,sub-107,0.4145602296862801
pIPS,ppi,sub-095,sub-096,0.5486439767187409
pIPS,ppi,sub-095,sub-097,0.7230207230890034
pIPS,ppi,sub-095,sub-107,0.6417110131852478
pIPS,ppi,sub-096,sub-097,0.560402479075149
pIPS,ppi,sub-096,sub-107,0.5283687427240978
pIPS,ppi,sub-097,sub-107,0.6447908405312262
LO,ppi,sub-025,sub-038,0.42646066500686414
LO,ppi,sub-025,sub-057,0.5308633084104807
LO,ppi,sub-025,sub-059,0.5122129462630365
LO,ppi,sub-025,sub-064,0.4880147036110339
LO,ppi,sub-025,sub-067,0.45644191686306657
LO,ppi,sub-025,sub-068,0.5094807902313114
LO,ppi,sub-025,sub-071,0.41547478636534124
LO,ppi,sub-025,sub-083,0.44802396610199985
LO,ppi,sub-025,sub-085,0.485887286777872
LO,ppi,sub-025,sub-087,0.48698341715002474
LO,ppi,sub-025,sub-088,0.45057071343617416
LO,ppi,sub-025,sub-093,0.5445101232850807
LO,ppi,sub-025,sub-094,0.40314021445852705
LO,ppi,sub-025,sub-095,0.5139495315991226
LO,ppi,sub-025,sub-096,0.39833950185055517
LO,ppi,sub-025,sub-097,0.5106689826902105
LO,ppi,sub-025,sub-107,0.4951893269650279
LO,ppi,sub-038,sub-057,0.5270373090820457
LO,ppi,sub-038,sub-059,0.5004965531239353
LO,ppi,sub-038,sub-064,0.4873457354331076
LO,ppi,sub-038,sub-067,0.45170203883119064
LO,ppi,sub-038,sub-068,0.5123943933439699
LO,ppi,sub-038,sub-071,0.429201684502215
LO,ppi,sub-038,sub-083,0.4637696938354269
LO,ppi,sub-038,sub-085,0.49176579491825134
LO,ppi,sub-038,sub-087,0.4940000156964926
LO,ppi,sub-038,sub-088,0.4669844040187062
LO,ppi,sub-038,sub-093,0.530368334350775
LO,ppi,sub-038,sub-094,0.4328721966221275
LO,ppi,sub-038,sub-095,0.4932518628297131
LO,ppi,sub-038,sub-096,0.4028213245280542
LO,ppi,sub-038,sub-097,0.5067801459018738
LO,ppi,sub-038,sub-107,0.49689110582575546
LO,ppi,sub-057,sub-059,0.7051539865700027
LO,ppi,sub-057,sub-064,0.666572715402447
LO,ppi,sub-057,sub-067,0.5695042269222432
LO,ppi,sub-057,sub-068,0.7014602517005701
LO,ppi,sub-057,sub-071,0.5513753092712006
LO,ppi,sub-057,sub-083,0.5540594415936829
LO,ppi,sub-057,sub-085,0.6554176446947678
LO,ppi,sub-057,sub-087,0.6433350220742563
LO,ppi,sub-057,sub-088,0.5574661036918158
LO,ppi,sub-057,sub-093,0.8088733760310343
LO,ppi,sub-057,sub-094,0.48211276554600957
LO,ppi,sub-057,sub-095,0.7434480299518631
LO,ppi,sub-057,sub-096,0.46813832477637585
LO,ppi,sub-057,sub-097,0.7001898814523906
LO,ppi,sub-057,sub-107,0.661350597700624
LO,ppi,sub-059,sub-064,0.6328292724085237
LO,ppi,sub-059,sub-067,0.5647336171769416
LO,ppi,sub-059,sub-068,0.671367482750881
LO,ppi,sub-059,sub-071,0.5139316911436527
LO,ppi,sub-059,sub-083,0.5286184709756433
LO,ppi,sub-059,sub-085,0.6141833052987035
LO,ppi,sub-059,sub-087,0.6002115016617988
LO,ppi,sub-059,sub-088,0.525868782499677
LO,ppi,sub-059,sub-093,0.7247778849244616
LO,ppi,sub-059,sub-094,0.46207831382806086
LO,ppi,sub-059,sub-095,0.6721456539869669
LO,ppi,sub-059,sub-096,0.46111811524504037
LO,ppi,sub-059,sub-097,0.6644303923114202
LO,ppi,sub-059,sub-107,0.6201649959200896
LO,ppi,sub-064,sub-067,0.5305059362316324
LO,ppi,sub-064,sub-068,0.6345469460257936
LO,ppi,sub-064,sub-071,0.48905738280375394
LO,ppi,sub-064,sub-083,0.49223546133607526
LO,ppi,sub-064,sub-085,0.5958111867855002
LO,ppi,sub-064,sub-087,0.5760421231513416
LO,ppi,sub-064,sub-088,0.5151632941387533
LO,ppi,sub-064,sub-093,0.6719790315607437
LO,ppi,sub-064,sub-094,0.4561168243521185
LO,ppi,sub-064,sub-095,0.623313029977308
LO,ppi,sub-064,sub-096,0.4381034183728248
LO,ppi,sub-064,sub-097,0.6223161250266418
LO,ppi,sub-064,sub-107,0.5870596607757087
LO,ppi,sub-067,sub-068,0.5538467702622388
LO,ppi,sub-067,sub-071,0.44029772600662637
LO,ppi,sub-067,sub-083,0.47771178806179304
LO,ppi,sub-067,sub-085,0.5198774061252839
LO,ppi,sub-067,sub-087,0.5175423558805828
LO,ppi,sub-067,sub-088,0.45350226125064874
LO,ppi,sub-067,sub-093,0.6001239458808266
LO,ppi,sub-067,sub-094,0.4227781543704084
LO,ppi,sub-067,sub-095,0.5481247904253398
LO,ppi,sub-067,sub-096,0.4069109543041666
LO,ppi,sub-067,sub-097,0.5544551143756418
LO,ppi,sub-067,sub-107,0.5348128058317907
LO,ppi,sub-068,sub-071,0.5217415579385214
LO,ppi,sub-068,sub-083,0.522740232826604
LO,ppi,sub-068,sub-085,0.6164102692329331
LO,ppi,sub-068,sub-087,0.6119946706915989
LO,ppi,sub-068,sub-088,0.5387627574721108
