ROI,Subject1,Subject2,Dice
pIPS,sub-025_left,sub-038_left,0.692350747302562
pIPS,sub-025_left,sub-038_right,0.7064738002730232
pIPS,sub-025_left,sub-057_left,0.7265605089048148
pIPS,sub-025_left,sub-057_right,0.726123581285626
pIPS,sub-025_left,sub-059_left,0.7114049988508085
pIPS,sub-025_left,sub-059_right,0.7066051737917155
pIPS,sub-025_left,sub-064_left,0.690500683994528
pIPS,sub-025_left,sub-064_right,0.6926519479462093
pIPS,sub-025_left,sub-067_left,0.7165813825261903
pIPS,sub-025_left,sub-067_right,0.7181894417180654
pIPS,sub-025_left,sub-068_left,0.7065546755929433
pIPS,sub-025_left,sub-068_right,0.7079432442796881
pIPS,sub-025_left,sub-071_left,0.6998436576782904
pIPS,sub-025_left,sub-071_right,0.7052274023751491
pIPS,sub-025_left,sub-083_left,0.7042891122535103
pIPS,sub-025_left,sub-083_right,0.707710953701958
pIPS,sub-025_left,sub-084_left,0.7063892150072073
pIPS,sub-025_left,sub-084_right,0.6996126211563499
pIPS,sub-025_left,sub-085_left,0.684913795526474
pIPS,sub-025_left,sub-085_right,0.6923089559103752
pIPS,sub-025_left,sub-087_left,0.6955201558994811
pIPS,sub-025_left,sub-087_right,0.6695525254690744
pIPS,sub-025_left,sub-088_left,0.7067652294665184
pIPS,sub-025_left,sub-088_right,0.7007283650438276
pIPS,sub-025_left,sub-093_left,0.7095950564038837
pIPS,sub-025_left,sub-093_right,0.7100431090991818
pIPS,sub-025_left,sub-094_left,0.6991211591198635
pIPS,sub-025_left,sub-094_right,0.7008921533787738
pIPS,sub-025_left,sub-095_left,0.7048101518674087
pIPS,sub-025_left,sub-095_right,0.7013523645552748
pIPS,sub-025_left,sub-096_left,0.692617823673915
pIPS,sub-025_left,sub-096_right,0.6812255206581416
pIPS,sub-025_left,sub-097_left,0.6844080575716227
pIPS,sub-025_left,sub-097_right,0.6861150007779334
pIPS,sub-025_left,sub-107_left,0.7000032026988076
pIPS,sub-025_left,sub-107_right,0.706820937698648
pIPS,sub-025_right,sub-038_left,0.7229504219124903
pIPS,sub-025_right,sub-038_right,0.7338394483210215
pIPS,sub-025_right,sub-057_left,0.7541923042514488
pIPS,sub-025_right,sub-057_right,0.754672827986611
pIPS,sub-025_right,sub-059_left,0.7378235995048371
pIPS,sub-025_right,sub-059_right,0.7350676690951505
pIPS,sub-025_right,sub-064_left,0.7172970612357935
pIPS,sub-025_right,sub-064_right,0.7227587008615656
pIPS,sub-025_right,sub-067_left,0.7475301144702798
pIPS,sub-025_right,sub-067_right,0.7486988307632719
pIPS,sub-025_right,sub-068_left,0.7358402819500203
pIPS,sub-025_right,sub-068_right,0.7385675329401619
pIPS,sub-025_right,sub-071_left,0.7292306751654667
pIPS,sub-025_right,sub-071_right,0.7346168231857101
pIPS,sub-025_right,sub-083_left,0.7296642806089247
pIPS,sub-025_right,sub-083_right,0.7327980027378436
pIPS,sub-025_right,sub-084_left,0.7341513026130394
pIPS,sub-025_right,sub-084_right,0.7307036080457071
pIPS,sub-025_right,sub-085_left,0.7136741622791911
pIPS,sub-025_right,sub-085_right,0.7211901259832448
pIPS,sub-025_right,sub-087_left,0.7188333149719071
pIPS,sub-025_right,sub-087_right,0.6961884847222737
pIPS,sub-025_right,sub-088_left,0.733304844609272
pIPS,sub-025_right,sub-088_right,0.7277060979517197
pIPS,sub-025_right,sub-093_left,0.7436633907696535
