Subject,Analysis,Dice
sub-025,fc,0.6987246910333947
sub-038,fc,0.6934728156770296
sub-057,fc,0.7011389455708477
sub-059,fc,0.6976717146760457
sub-064,fc,0.6786904180178579
sub-067,fc,0.7027332704995287
sub-068,fc,0.69209905141701
sub-071,fc,0.6868006220081105
sub-083,fc,0.6999731799624519
sub-085,fc,0.6778281352495676
sub-087,fc,0.7182605433457342
sub-088,fc,0.7051876593650747
sub-093,fc,0.7012388611171484
sub-094,fc,0.6879103329981664
sub-095,fc,0.7025133194347927
sub-096,fc,0.6955273362342006
sub-097,fc,0.6621724836449374
sub-107,fc,0.6835786616557051
