Subject1,Subject2,Dice
sub-025,sub-038,0.7235653766177338
sub-025,sub-057,0.8154552533361974
sub-025,sub-059,0.8072929441582863
sub-025,sub-064,0.6209111537790191
sub-025,sub-067,0.6736842105263158
sub-025,sub-068,0.7859736722650931
sub-025,sub-071,0.6529566360052562
sub-025,sub-083,0.7457520453115167
sub-025,sub-085,0.7734660414808848
sub-025,sub-087,0.775947041497769
sub-025,sub-088,0.7254859275384855
sub-025,sub-093,0.8384015695183025
sub-025,sub-094,0.6112747011033455
sub-025,sub-095,0.7931176422161851
sub-025,sub-096,0.7151772420565781
sub-025,sub-097,0.7873844783431689
sub-025,sub-107,0.7922408251111049
sub-038,sub-057,0.7896220159151194
sub-038,sub-059,0.7734695022725997
sub-038,sub-064,0.6012901355367108
sub-038,sub-067,0.6637147823805307
sub-038,sub-068,0.7516448811299237
sub-038,sub-071,0.6409881248086019
sub-038,sub-083,0.6958247909141202
sub-038,sub-085,0.7552206929283342
sub-038,sub-087,0.7331528279181708
sub-038,sub-088,0.7119341563786008
sub-038,sub-093,0.8080239870512378
sub-038,sub-094,0.6230100235849056
sub-038,sub-095,0.7779033625317886
sub-038,sub-096,0.6951763009568751
sub-038,sub-097,0.7579502767183781
sub-038,sub-107,0.7652479410240166
sub-057,sub-059,0.8969604564233721
sub-057,sub-064,0.6670345842531273
sub-057,sub-067,0.7711976570640083
sub-057,sub-068,0.8571355720441622
sub-057,sub-071,0.7187817848943652
sub-057,sub-083,0.7688176554501972
sub-057,sub-085,0.8564052253833841
sub-057,sub-087,0.8348230620458941
sub-057,sub-088,0.7796047168244478
sub-057,sub-093,0.9418155423915334
sub-057,sub-094,0.6547048945829964
sub-057,sub-095,0.8967633376224884
sub-057,sub-096,0.7621700714727897
sub-057,sub-097,0.8838701591678155
sub-057,sub-107,0.8711381704739861
sub-059,sub-064,0.664254974115886
sub-059,sub-067,0.7459740854094562
sub-059,sub-068,0.8594998577672037
sub-059,sub-071,0.724786627683766
sub-059,sub-083,0.7575352972926905
sub-059,sub-085,0.8377330819191284
sub-059,sub-087,0.8331035214255409
sub-059,sub-088,0.7700697099167978
sub-059,sub-093,0.9282952631703788
sub-059,sub-094,0.6463553530751709
sub-059,sub-095,0.8765240078270031
sub-059,sub-096,0.7587172744941123
sub-059,sub-097,0.8656754352522557
sub-059,sub-107,0.8655543650186234
sub-064,sub-067,0.6006019395831012
sub-064,sub-068,0.6445903138369093
sub-064,sub-071,0.5727346685778484
sub-064,sub-083,0.6025116929989319
sub-064,sub-085,0.6338598354127953
sub-064,sub-087,0.6298543689320388
sub-064,sub-088,0.6129758791049114
sub-064,sub-093,0.6834159068922049
sub-064,sub-094,0.5419354838709678
sub-064,sub-095,0.6550575218457283
sub-064,sub-096,0.6015590200445434
sub-064,sub-097,0.6557817043167077
sub-064,sub-107,0.6539967897271268
sub-067,sub-068,0.7102279508294546
sub-067,sub-071,0.619269889926153
sub-067,sub-083,0.6600106496272631
sub-067,sub-085,0.7279828040325754
sub-067,sub-087,0.6956601861236524
sub-067,sub-088,0.6637741182657858
sub-067,sub-093,0.7835486137383127
sub-067,sub-094,0.5840861840861841
sub-067,sub-095,0.7437264110173154
sub-067,sub-096,0.6520529579353109
sub-067,sub-097,0.7292349087505849
sub-067,sub-107,0.7414304596857101
sub-068,sub-071,0.7054540967423495
sub-068,sub-083,0.7446379902832089
sub-068,sub-085,0.8066632189226707
sub-068,sub-087,0.8075109603772024
sub-068,sub-088,0.7407928276347016
sub-068,sub-093,0.8924202976862996
sub-068,sub-094,0.6295792858800517
sub-068,sub-095,0.8480099955748757
