Subject1,Subject2,Dice
sub-025,sub-038,0.41289336653837444
sub-025,sub-057,0.33642873320905275
sub-025,sub-059,0.3883157479222899
sub-025,sub-064,0.3933510457115607
sub-025,sub-067,0.23482649215328597
sub-025,sub-068,0.37219895672617737
sub-025,sub-071,0.2305981724067049
sub-025,sub-083,0.4417412818096136
sub-025,sub-085,0.385820210437116
sub-025,sub-087,0.4498378760152814
sub-025,sub-088,0.388799681196451
sub-025,sub-093,0.3786427083006105
sub-025,sub-094,0.362749500998004
sub-025,sub-095,0.3686655946967081
sub-025,sub-096,0.3697435059630779
sub-025,sub-097,0.40833174814533
sub-025,sub-107,0.3903881479711465
sub-038,sub-057,0.4433571471453443
sub-038,sub-059,0.45392397165649095
sub-038,sub-064,0.45446726977802454
sub-038,sub-067,0.3213198702219656
sub-038,sub-068,0.40961569191434966
sub-038,sub-071,0.34498916231034044
sub-038,sub-083,0.4423963133640553
sub-038,sub-085,0.45078248400864823
sub-038,sub-087,0.46728578504210005
sub-038,sub-088,0.4443395226486544
sub-038,sub-093,0.4771281403287089
sub-038,sub-094,0.4484597757092738
sub-038,sub-095,0.45533367269449987
sub-038,sub-096,0.4284664980004897
sub-038,sub-097,0.3976236062619664
sub-038,sub-107,0.41451165404291684
sub-057,sub-059,0.5460826397640691
sub-057,sub-064,0.4888401885585274
sub-057,sub-067,0.5419445522949217
sub-057,sub-068,0.5171022530329289
sub-057,sub-071,0.48014857614527445
sub-057,sub-083,0.4357795352829379
sub-057,sub-085,0.44954231608303535
sub-057,sub-087,0.4006181835652856
sub-057,sub-088,0.5215715705563782
sub-057,sub-093,0.5670059399176383
sub-057,sub-094,0.49829064619178387
sub-057,sub-095,0.5861608368149798
sub-057,sub-096,0.5350423254036619
sub-057,sub-097,0.3265713739861403
sub-057,sub-107,0.4269779146692604
sub-059,sub-064,0.4618075497311126
sub-059,sub-067,0.460446247464503
sub-059,sub-068,0.4784031041732622
sub-059,sub-071,0.42007687699008406
sub-059,sub-083,0.4368574483445585
sub-059,sub-085,0.44275692614486145
sub-059,sub-087,0.42763988017838395
sub-059,sub-088,0.47574147364437647
sub-059,sub-093,0.547693071185649
sub-059,sub-094,0.47273653673890353
sub-059,sub-095,0.554298990860358
sub-059,sub-096,0.53561625343113
sub-059,sub-097,0.3404716610162286
sub-059,sub-107,0.4343024649250567
sub-064,sub-067,0.36043240041463054
sub-064,sub-068,0.46642230022070763
sub-064,sub-071,0.35929834413583855
sub-064,sub-083,0.4277295737969895
sub-064,sub-085,0.47059462985107076
sub-064,sub-087,0.44147910353006004
sub-064,sub-088,0.45558852249680765
sub-064,sub-093,0.48959583147646635
sub-064,sub-094,0.45344121564951406
sub-064,sub-095,0.45466562224615686
sub-064,sub-096,0.41661946902654867
sub-064,sub-097,0.3637719476645651
sub-064,sub-107,0.43596841532038483
sub-067,sub-068,0.476086484328678
sub-067,sub-071,0.4690985830569792
sub-067,sub-083,0.32763873011412625
sub-067,sub-085,0.31853124490538115
sub-067,sub-087,0.2902997184964398
sub-067,sub-088,0.41096347042460746
sub-067,sub-093,0.4708213882373382
sub-067,sub-094,0.3834941393178036
sub-067,sub-095,0.4912443172251221
sub-067,sub-096,0.4658932251844957
sub-067,sub-097,0.20037239728985395
sub-067,sub-107,0.3308746048472076
sub-068,sub-071,0.3814275875206987
sub-068,sub-083,0.41665981922760886
sub-068,sub-085,0.4171911311477045
sub-068,sub-087,0.40641279944198616
sub-068,sub-088,0.44908734480505336
sub-068,sub-093,0.5047257012524509
sub-068,sub-094,0.4500985257626624
sub-068,sub-095,0.4793811674960062
sub-068,sub-096,0.4499344443436601
sub-068,sub-097,0.31809426279472364
sub-068,sub-107,0.4041279883835503
sub-071,sub-083,0.3428129074315515
sub-071,sub-085,0.34307958064336375
sub-071,sub-087,0.29689020953942313
sub-071,sub-088,0.4120027116708888
sub-071,sub-093,0.444985530386189
sub-071,sub-094,0.4030642484589853
sub-071,sub-095,0.5235775064506009
sub-071,sub-096,0.4681547558156188
sub-071,sub-097,0.23109157618311513
