Subject,Analysis,Dice
sub-025,fc,0.7486607885543171
sub-038,fc,0.7137261532392144
sub-057,fc,0.8121627437348958
sub-059,fc,0.7862950527891267
sub-064,fc,0.5573401775754333
sub-067,fc,0.6568305074180277
sub-068,fc,0.5803328969515616
sub-071,fc,0.8443377025156721
sub-083,fc,0.8481941068611146
sub-085,fc,0.611177481099087
sub-087,fc,0.8251099169516365
sub-088,fc,0.8206982960240561
sub-093,fc,0.7877627613397274
sub-094,fc,0.6809339122641656
sub-095,fc,0.829577731490248
sub-096,fc,0.8198043276231733
sub-097,fc,0.6734647823756734
sub-107,fc,0.6051198655167374
