Subject1,Subject2,Dice
sub-025,sub-038,0.43291379472152997
sub-025,sub-057,0.3946806997582136
sub-025,sub-059,0.4288989825898189
sub-025,sub-064,0.3864175379983089
sub-025,sub-067,0.26822820432644473
sub-025,sub-068,0.3720511242519109
sub-025,sub-071,0.30410031847133756
sub-025,sub-083,0.45194744797116615
sub-025,sub-085,0.4053778538593218
sub-025,sub-087,0.46325854539978917
sub-025,sub-088,0.4266804922178371
sub-025,sub-093,0.39138360378249054
sub-025,sub-094,0.38888685731002703
sub-025,sub-095,0.4021370840410006
sub-025,sub-096,0.4207828340574739
sub-025,sub-097,0.40279442135590626
sub-025,sub-107,0.4052160184003041
sub-038,sub-057,0.5312631517607982
sub-038,sub-059,0.5374915843806104
sub-038,sub-064,0.5127055186718669
sub-038,sub-067,0.4148608330389039
sub-038,sub-068,0.5024712873550082
sub-038,sub-071,0.464551410387243
sub-038,sub-083,0.4803027243434973
sub-038,sub-085,0.5179607343540278
sub-038,sub-087,0.48384008328608213
sub-038,sub-088,0.4908823529411765
sub-038,sub-093,0.5477313276425838
sub-038,sub-094,0.51734864102919
sub-038,sub-095,0.5341035999393347
sub-038,sub-096,0.503639689553677
sub-038,sub-097,0.4379343747354958
sub-038,sub-107,0.5202458312898479
sub-057,sub-059,0.5828884104565053
sub-057,sub-064,0.5088023867391948
sub-057,sub-067,0.5675835917472477
sub-057,sub-068,0.5625809324591163
sub-057,sub-071,0.48888246095027293
sub-057,sub-083,0.49434828926797547
sub-057,sub-085,0.5419307204823725
sub-057,sub-087,0.44526909722222224
sub-057,sub-088,0.5318733298923944
sub-057,sub-093,0.622223447059472
sub-057,sub-094,0.5555105637996332
sub-057,sub-095,0.6115970566308325
sub-057,sub-096,0.5510948012232416
sub-057,sub-097,0.4226147894006862
sub-057,sub-107,0.5414166485681486
sub-059,sub-064,0.5449255590898651
sub-059,sub-067,0.5390407389436986
sub-059,sub-068,0.5902576631488804
sub-059,sub-071,0.5008663273834195
sub-059,sub-083,0.49346284560258624
sub-059,sub-085,0.5625883524141364
sub-059,sub-087,0.4693911461011987
sub-059,sub-088,0.520070252967338
sub-059,sub-093,0.6240660474716202
sub-059,sub-094,0.5759593021393287
sub-059,sub-095,0.6370360425235869
sub-059,sub-096,0.5989514985657292
sub-059,sub-097,0.42290326447436766
sub-059,sub-107,0.5651975887474883
sub-064,sub-067,0.42203814256356686
sub-064,sub-068,0.5396670139701035
sub-064,sub-071,0.5086521228601446
