Subject,Analysis,Dice
sub-025,ppi,0.5679016888038559
sub-038,ppi,0.5511404882894586
sub-057,ppi,0.7849441424853496
sub-059,ppi,0.7376308362804987
sub-064,ppi,0.31160706527810533
sub-067,ppi,0.737202832574608
sub-068,ppi,0.5354825405554028
sub-071,ppi,0.6760907149394895
sub-083,ppi,0.6029235811267752
sub-085,ppi,0.661094795415903
sub-087,ppi,0.7385080527937671
sub-088,ppi,0.7302281109138096
sub-093,ppi,0.8260450535368191
sub-094,ppi,0.4830425539094928
sub-095,ppi,0.7508975650216245
sub-096,ppi,0.49773261214008635
sub-097,ppi,0.5334960052190564
sub-107,ppi,0.5873086889249296
