ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction,Condition,Analysis_Type
1,7Networks_LH_Vis_1,0.17668069154024124,0.19068323075771332,-0.014002539217472076,0.014002539217472076,-0.0412107189703319,0.014566016197204584,0.7222222222222222,False,False,False,LO > pIPS,nontools,fc
2,7Networks_LH_Vis_2,0.21753178702460396,0.28620562702417374,-0.06867383999956977,0.06867383999956977,-0.10116661975367203,-0.03695382318562933,0.7222222222222222,True,False,False,LO > pIPS,nontools,fc
3,7Networks_LH_Vis_3,0.1304671418749624,0.21822241528166664,-0.08775527340670425,0.08775527340670425,-0.134647432833703,-0.04760010796081689,0.9444444444444444,True,True,True,LO > pIPS,nontools,fc
4,7Networks_LH_Vis_4,0.15778439409203,0.04263948819910487,0.11514490589292511,0.11514490589292511,0.08816132191827314,0.14338318142755369,1.0,True,True,True,pIPS > LO,nontools,fc
5,7Networks_LH_Vis_5,0.10837614096494184,0.19041397670904794,-0.0820378357441061,0.0820378357441061,-0.11411953496281058,-0.05386380885805315,0.9444444444444444,True,True,True,LO > pIPS,nontools,fc
6,7Networks_LH_Vis_6,0.12782344522161615,0.04748989802060856,0.08033354720100759,0.08033354720100759,0.05877210626624422,0.10345544259115638,1.0,True,True,True,pIPS > LO,nontools,fc
7,7Networks_LH_Vis_7,0.13913945274220574,0.12033635129531224,0.018803101446893497,0.018803101446893497,-0.005266634633557658,0.04344038263791137,0.5,False,False,False,pIPS > LO,nontools,fc
8,7Networks_LH_Vis_8,0.20508148645361265,0.2245754616128074,-0.019493975159194737,0.019493975159194737,-0.03987909921755393,0.001303829097499428,0.6666666666666666,False,False,False,LO > pIPS,nontools,fc
9,7Networks_LH_Vis_9,0.17751356110804611,0.3265523687005043,-0.1490388075924582,0.1490388075924582,-0.1821542867148916,-0.11642668914153345,1.0,True,True,True,LO > pIPS,nontools,fc
10,7Networks_LH_Vis_10,0.19333917989085117,0.0706619974031734,0.12267718248767777,0.12267718248767777,0.09250331195540235,0.15328699716418567,1.0,True,True,True,pIPS > LO,nontools,fc
11,7Networks_LH_Vis_11,0.2129430290725496,0.35014591614405316,-0.13720288707150355,0.13720288707150355,-0.18032643247602712,-0.09239414440881877,0.8888888888888888,True,True,True,LO > pIPS,nontools,fc
12,7Networks_LH_Vis_12,0.19558674842119217,0.08161671294106378,0.11397003548012839,0.11397003548012839,0.08519165304282474,0.14430322813180585,1.0,True,True,True,pIPS > LO,nontools,fc
13,7Networks_LH_Vis_13,0.1626483080908656,0.018673937922964495,0.14397437016790113,0.14397437016790113,0.11314102053228353,0.17705706485236683,1.0,True,True,True,pIPS > LO,nontools,fc
14,7Networks_LH_Vis_14,0.18985583053694832,0.16290246239966816,0.026953368137280165,0.026953368137280165,-0.025197863258007495,0.07748161242860883,0.7222222222222222,False,False,False,pIPS > LO,nontools,fc
15,7Networks_LH_SomMot_1,0.08876096141628093,0.05852177583922943,0.0302391855770515,0.0302391855770515,0.02029630708922114,0.041796259825221366,0.9444444444444444,True,True,True,pIPS > LO,nontools,fc
16,7Networks_LH_SomMot_2,0.13178449662195313,0.08874596071351941,0.04303853590843372,0.04303853590843372,0.028967243787418627,0.05779767225790742,0.9444444444444444,True,True,True,pIPS > LO,nontools,fc
17,7Networks_LH_SomMot_3,0.111686362988419,0.08028633964972363,0.03140002333869536,0.03140002333869536,0.017701509204279212,0.045583554401269384,0.8333333333333334,True,True,True,pIPS > LO,nontools,fc
18,7Networks_LH_SomMot_4,0.10972230309723979,0.06840369277375026,0.04131861032348953,0.04131861032348953,0.028654494030504594,0.05388445716752257,0.9444444444444444,True,True,True,pIPS > LO,nontools,fc
19,7Networks_LH_SomMot_5,0.13488421527047953,0.09179491667439127,0.04308929859608826,0.04308929859608826,0.026891185150210137,0.06167122936037936,0.8888888888888888,True,True,True,pIPS > LO,nontools,fc
20,7Networks_LH_SomMot_6,0.12444326198763317,0.10151832778420714,0.022924934203426034,0.022924934203426034,0.004543927234287066,0.04193166687360238,0.6666666666666666,True,False,False,pIPS > LO,nontools,fc
21,7Networks_LH_SomMot_7,0.16029641570316422,0.12754055050512156,0.03275586519804266,0.03275586519804266,0.012233668441573788,0.05374951693746778,0.7777777777777778,True,True,True,pIPS > LO,nontools,fc
22,7Networks_LH_SomMot_8,0.12843845236218637,0.09103144995040363,0.03740700241178274,0.03740700241178274,0.022235070189668072,0.05218656611007949,0.7777777777777778,True,True,True,pIPS > LO,nontools,fc
23,7Networks_LH_SomMot_9,0.1578848258488708,0.142187243534459,0.015697582314411818,0.015697582314411818,-0.003206447739568015,0.034966671518567534,0.6111111111111112,False,False,False,pIPS > LO,nontools,fc
24,7Networks_LH_SomMot_10,0.17455845036440426,0.1381188528612256,0.036439597503178656,0.036439597503178656,0.015141185952557479,0.058724637334752416,0.7222222222222222,True,False,False,pIPS > LO,nontools,fc
25,7Networks_LH_SomMot_11,0.22097564612825712,0.23072056844830513,-0.009744922320048005,0.009744922320048005,-0.03880443706487618,0.019509876384917232,0.5555555555555556,False,False,False,LO > pIPS,nontools,fc
26,7Networks_LH_SomMot_12,0.167361779552367,0.1315725658658064,0.0357892136865606,0.0357892136865606,0.017332056460307093,0.054739169471172834,0.7222222222222222,True,False,False,pIPS > LO,nontools,fc
27,7Networks_LH_SomMot_13,0.1785931241595083,0.1367570993800958,0.04183602477941248,0.04183602477941248,0.021862279856577526,0.061867720566483,0.7777777777777778,True,True,True,pIPS > LO,nontools,fc
