ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
1,7Networks_LH_Vis_1,-0.001215944697899048,-0.004261668114655859,0.003045723416756811,0.003045723416756811,-0.0018992077957252016,0.008500144797510436,0.6111111111111112,False,False,False,pIPS > LO
2,7Networks_LH_Vis_2,-0.0052441945166163285,0.00674441071183116,-0.01198860522844749,0.01198860522844749,-0.019987552340390933,-0.004465407085988083,0.7222222222222222,True,False,False,LO > pIPS
3,7Networks_LH_Vis_3,0.003519588713701342,0.02122083901348119,-0.01770125029977985,0.01770125029977985,-0.02365560571843329,-0.01200907583335875,0.9444444444444444,True,True,True,LO > pIPS
4,7Networks_LH_Vis_4,-0.001607945652300649,-0.01581255506109847,0.01420460940879782,0.01420460940879782,0.0066960310558765515,0.021504813702421525,0.8333333333333334,True,True,True,pIPS > LO
5,7Networks_LH_Vis_5,-0.0029440524521927736,0.015214216629455586,-0.01815826908164836,0.01815826908164836,-0.026227692165700478,-0.010401295377358073,0.8333333333333334,True,True,True,LO > pIPS
6,7Networks_LH_Vis_6,-0.0003547766240718648,-0.010704661261186365,0.0103498846371145,0.0103498846371145,0.004531685251007315,0.01639391321773619,0.6666666666666666,True,False,False,pIPS > LO
7,7Networks_LH_Vis_7,-0.0042689871895899905,-0.006468463679144201,0.0021994764895542102,0.0021994764895542102,-0.003485296522393886,0.007870476218676451,0.5555555555555556,False,False,False,pIPS > LO
8,7Networks_LH_Vis_8,0.01061154098440352,0.029768559981845775,-0.019157018997442255,0.019157018997442255,-0.026573438441980533,-0.011722423613780576,0.8333333333333334,True,True,True,LO > pIPS
9,7Networks_LH_Vis_9,0.0002244163400533928,0.022128037948896742,-0.02190362160884335,0.02190362160884335,-0.03424258684874282,-0.01001311342636724,0.7777777777777778,True,True,True,LO > pIPS
10,7Networks_LH_Vis_10,-0.00036848730017081054,-0.015363317480747658,0.014994830180576848,0.014994830180576848,0.006819851378656115,0.023227962699313594,0.8333333333333334,True,True,True,pIPS > LO
11,7Networks_LH_Vis_11,0.008276131099885469,0.03232526493210263,-0.024049133832217164,0.024049133832217164,-0.03342237842222407,-0.015233306735737263,0.8888888888888888,True,True,True,LO > pIPS
12,7Networks_LH_Vis_12,0.00013429979476123363,-0.014164490843963503,0.014298790638724737,0.014298790638724737,0.006441010743045849,0.02201773795536045,0.8888888888888888,True,True,True,pIPS > LO
13,7Networks_LH_Vis_13,-0.0017497724752710522,-0.023929330130358053,0.022179557655087,0.022179557655087,0.013361261739236189,0.03151425267258835,0.8888888888888888,True,True,True,pIPS > LO
14,7Networks_LH_Vis_14,0.001676650449344576,-0.0014623496947527158,0.0031390001440972917,0.0031390001440972917,-0.00757090194681571,0.014704083566943166,0.4444444444444444,False,False,False,pIPS > LO
15,7Networks_LH_SomMot_1,-0.0020615103796865902,-0.0021806324663356342,0.000119122086649044,0.000119122086649044,-0.0031984198750900075,0.003593497080603222,0.0,False,False,False,pIPS > LO
16,7Networks_LH_SomMot_2,-0.0009332026783549481,-0.0013999304430038053,0.00046672776464885715,0.00046672776464885715,-0.004241110333618915,0.0051134243007466265,0.2222222222222222,False,False,False,pIPS > LO
17,7Networks_LH_SomMot_3,-0.0009385006074252895,-0.0005493090640149245,-0.000389191543410365,0.000389191543410365,-0.005102298142216134,0.0048249937185844485,0.3333333333333333,False,False,False,LO > pIPS
18,7Networks_LH_SomMot_4,-0.005092642288973068,-0.005564979894390078,0.0004723376054170097,0.0004723376054170097,-0.005059427693598015,0.0060072465849636296,0.16666666666666666,False,False,False,pIPS > LO
19,7Networks_LH_SomMot_5,-0.0014628350963998915,-0.001524024587710904,6.11894913110124e-05,6.11894913110124e-05,-0.006337110993379901,0.007179371999477894,0.0,False,False,False,pIPS > LO
20,7Networks_LH_SomMot_6,0.002464507174692765,0.0031283082731671952,-0.0006638010984744303,0.0006638010984744303,-0.0071845821359799,0.00616812474274579,0.5,False,False,False,LO > pIPS
21,7Networks_LH_SomMot_7,-0.0021585549236633073,0.0020919465833330124,-0.00425050150699632,0.00425050150699632,-0.010011632817434743,0.0016773087540975927,0.7222222222222222,False,False,False,LO > pIPS
22,7Networks_LH_SomMot_8,0.0008602865518177283,0.0007021070531572243,0.000158179498660504,0.000158179498660504,-0.0046573938777152825,0.005223564835032895,0.2222222222222222,False,False,False,pIPS > LO
23,7Networks_LH_SomMot_9,0.0028077140781049134,0.009366602832384715,-0.0065588887542798015,0.0065588887542798015,-0.011891199550881476,-0.0014119048705725121,0.6666666666666666,True,False,False,LO > pIPS
24,7Networks_LH_SomMot_10,0.001317185170018921,0.005731840349662051,-0.00441465517964313,0.00441465517964313,-0.008946080243163583,0.0002999604606220853,0.6666666666666666,False,False,False,LO > pIPS
25,7Networks_LH_SomMot_11,0.00986128786430615,0.02459285116918314,-0.014731563304876988,0.014731563304876988,-0.02410536948917877,-0.00596602195512736,0.7222222222222222,True,False,False,LO > pIPS
26,7Networks_LH_SomMot_12,-0.0007328369416177264,0.0017117653290840446,-0.002444602270701771,0.002444602270701771,-0.0066717056813955225,0.0017624295862225792,0.6111111111111112,False,False,False,LO > pIPS
