ROI,Analysis,Condition,Mean Dice,Std Dev,95% CI Lower,95% CI Upper,N
pIPS vs LO,fc,tools,0.91912355310552,0.041353385825192844,0.7778013357507902,0.7941518627411832,18
pIPS,fc,tools,0.8416808876060824,0.031099081614377348,0.8367135747530297,0.8466482004591351,153
LO,fc,tools,0.7859765992459867,0.05118324417595447,0.7778013357507902,0.7941518627411832,153
pIPS vs LO,ppi,tools,0.6762362196853168,0.13553594285779552,0.4880170048091774,0.5161507328941521,18
pIPS,ppi,tools,0.4696538286033957,0.11266783311836084,0.45165791533129107,0.48764974187550036,153
LO,ppi,tools,0.5020838688516648,0.08806905581693111,0.4880170048091774,0.5161507328941521,153
pIPS vs LO,fc,nontools,0.9228457386664677,0.03386961075850894,0.7769635314063683,0.7936036755229434,18
pIPS,fc,nontools,0.840118935912281,0.03823457832536252,0.8340119030840568,0.8462259687405053,153
LO,fc,nontools,0.7852836034646559,0.05208985373634513,0.7769635314063683,0.7936036755229434,153
pIPS vs LO,ppi,nontools,0.6587012897040001,0.11500554607803179,0.4839975422557434,0.5183022440650217,18
pIPS,ppi,nontools,0.4521344306684861,0.11229067525969683,0.43419875908139977,0.4700701022555724,153
LO,ppi,nontools,0.5011498931603825,0.10738650381845496,0.4839975422557434,0.5183022440650217,153
