Subject,Analysis,Condition,Dice
sub-spaceloc1001,fc,nontools,0.8934265357576604
sub-spaceloc1002,fc,nontools,0.8704245632390493
sub-spaceloc1003,fc,nontools,0.9514412962810971
sub-spaceloc1004,fc,nontools,0.8863815818016167
sub-spaceloc1005,fc,nontools,0.9502421382010291
sub-spaceloc1006,fc,nontools,0.9450138989358556
sub-spaceloc1007,fc,nontools,0.9251601148409894
sub-spaceloc1008,fc,nontools,0.9285000688225133
sub-spaceloc1009,fc,nontools,0.8941231646367132
sub-spaceloc1010,fc,nontools,0.9377865920504965
sub-spaceloc1011,fc,nontools,0.8572826202203437
sub-spaceloc1012,fc,nontools,0.9544448082651933
sub-spaceloc2013,fc,nontools,0.9445481056077586
sub-spaceloc2014,fc,nontools,0.9779176811498349
sub-spaceloc2015,fc,nontools,0.966539473084115
sub-spaceloc2016,fc,nontools,0.9184564734350097
sub-spaceloc2017,fc,nontools,0.9008813691991977
sub-spaceloc2018,fc,nontools,0.9086528104679459
