ROI,Analysis,Condition,Subject1,Subject2,Dice
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1002,0.7954696533247386
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1003,0.8365437914149092
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1004,0.7678621725659562
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1005,0.8170135798707981
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1006,0.8186581085335426
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1007,0.8276720770237253
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1008,0.8258257281463169
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1009,0.7773402403774573
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1010,0.8224974756289842
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1011,0.8129773404457011
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc1012,0.8216512339114117
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc2013,0.8238497433504433
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc2014,0.8231756532198079
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc2015,0.8207829894147396
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc2016,0.8171020581197891
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc2017,0.7779672930749095
pIPS,fc,nontools,sub-spaceloc1001,sub-spaceloc2018,0.7614462295730463
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1003,0.8413407435534537
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1004,0.7738847685506558
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1005,0.8317839783978398
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1006,0.8173795710349886
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1007,0.8346737865535493
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1008,0.8354263237912806
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1009,0.7974426680914023
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1010,0.8339158503224354
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1011,0.8342486445977119
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc1012,0.8242922408982132
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc2013,0.8402084237950499
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc2014,0.8373119911687595
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc2015,0.8345875646731152
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc2016,0.8309388293092086
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc2017,0.7912886302961856
pIPS,fc,nontools,sub-spaceloc1002,sub-spaceloc2018,0.7723545666121368
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1004,0.804321015524194
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1005,0.8789982785113306
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1006,0.8904323487297772
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1007,0.8856048307991472
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1008,0.8978001235573398
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1009,0.8177025143753879
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1010,0.8891454666867716
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1011,0.8881255542068063
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc1012,0.8840976554611447
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc2013,0.8876265850628017
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc2014,0.9078382322284761
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc2015,0.891651736199983
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc2016,0.8865484889252332
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc2017,0.825903156731367
pIPS,fc,nontools,sub-spaceloc1003,sub-spaceloc2018,0.8291766063342201
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc1005,0.8016787576597662
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc1006,0.8008443287149491
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc1007,0.8027761347438644
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc1008,0.8074859889832828
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc1009,0.7651622453435001
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc1010,0.809016466895461
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc1011,0.7974022894501883
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc1012,0.7947338064793634
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc2013,0.8037043289521283
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc2014,0.7996610319848538
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc2015,0.7963707697503467
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc2016,0.7970820210770454
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc2017,0.7604636406602101
pIPS,fc,nontools,sub-spaceloc1004,sub-spaceloc2018,0.7569585509299255
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1006,0.8658718230405802
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1007,0.8703276398316392
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1008,0.8808839513746725
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1009,0.8105956702971628
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1010,0.8721276214375336
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1011,0.8659154097215693
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc1012,0.8595345306332706
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2013,0.8749578759197556
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2014,0.8765975876480652
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2015,0.867979509014703
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2016,0.8603014201437993
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2017,0.8122142170989434
pIPS,fc,nontools,sub-spaceloc1005,sub-spaceloc2018,0.8078502334730671
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc1007,0.8699457685862446
pIPS,fc,nontools,sub-spaceloc1006,sub-spaceloc1008,0.8888675707495749
