Subject,Analysis,Condition,Dice
sub-spaceloc1001,fc,tools,0.8790295042086556
sub-spaceloc1002,fc,tools,0.8682174207681276
sub-spaceloc1003,fc,tools,0.954281008071158
sub-spaceloc1004,fc,tools,0.9038482354737091
sub-spaceloc1005,fc,tools,0.9496011744555909
sub-spaceloc1006,fc,tools,0.9469872570542524
sub-spaceloc1007,fc,tools,0.9353951180118975
sub-spaceloc1008,fc,tools,0.9340472016421026
sub-spaceloc1009,fc,tools,0.901639907075747
sub-spaceloc1010,fc,tools,0.950384145257106
sub-spaceloc1011,fc,tools,0.8641757023458518
sub-spaceloc1012,fc,tools,0.9703485795600054
sub-spaceloc2013,fc,tools,0.949688743271706
sub-spaceloc2014,fc,tools,0.9731360929623054
sub-spaceloc2015,fc,tools,0.9515461354248002
sub-spaceloc2016,fc,tools,0.9042250392235813
sub-spaceloc2017,fc,tools,0.8360198177073485
sub-spaceloc2018,fc,tools,0.8716528733854126
