ROI,Analysis,Condition,Subject1,Subject2,Dice
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1002,0.7969954715594298
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1003,0.84614625345181
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1004,0.7932145308437248
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1005,0.8203390974760577
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1006,0.8323003438170616
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1007,0.8344993497743611
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1008,0.8414733572303726
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1009,0.7749159617539442
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1010,0.8330105945221293
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1011,0.8286066243131393
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc1012,0.8341085849115933
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc2013,0.8229579190290321
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc2014,0.8391729530900702
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc2015,0.830101295804445
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc2016,0.8316888148390791
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc2017,0.8269508902172287
pIPS,fc,tools,sub-spaceloc1001,sub-spaceloc2018,0.8027040151547933
pIPS,fc,tools,sub-spaceloc1002,sub-spaceloc1003,0.8273935338331612
pIPS,fc,tools,sub-spaceloc1002,sub-spaceloc1004,0.7804563031508622
pIPS,fc,tools,sub-spaceloc1002,sub-spaceloc1005,0.8163911457697093
pIPS,fc,tools,sub-spaceloc1002,sub-spaceloc1006,0.8028474702256868
pIPS,fc,tools,sub-spaceloc1002,sub-spaceloc1007,0.8176323103535402
pIPS,fc,tools,sub-spaceloc1002,sub-spaceloc1008,0.8221219948434345
pIPS,fc,tools,sub-spaceloc1002,sub-spaceloc1009,0.7797232525267555
pIPS,fc,tools,sub-spaceloc1002,sub-spaceloc1010,0.8178315349724897
