Subject,pIPS_tools_vs_nontools,LO_tools_vs_nontools
sub-spaceloc1001,0.5925545653621247,0.4130245282765835
sub-spaceloc1002,0.7825113567652212,0.7302821842887028
sub-spaceloc1003,0.6406968840553787,0.6460855239596017
sub-spaceloc1004,0.5727063933799742,0.6169101438445731
sub-spaceloc1005,0.7299594516857716,0.7741017955589804
sub-spaceloc1006,0.448923691526488,0.5493800158150647
sub-spaceloc1007,0.7179858787423008,0.6410800361518377
sub-spaceloc1008,0.47997421141356333,0.6760297662718793
sub-spaceloc1009,0.7042596232752534,0.5964855729823818
sub-spaceloc1010,0.6113938999063403,0.5832593957352511
sub-spaceloc1011,0.7083804942463686,0.6241369185743647
sub-spaceloc1012,0.751862141380555,0.6317958481573976
sub-spaceloc2013,0.45038741507281177,0.5922098920602038
sub-spaceloc2014,0.6358780394204141,0.42911620855123156
sub-spaceloc2015,0.6834021311318038,0.6761003245642901
sub-spaceloc2016,0.7667365359113659,0.6951366453048038
sub-spaceloc2017,0.591136579285196,0.5938384602680166
sub-spaceloc2018,0.47523545649624344,0.4404076659138069
