ROI,Analysis,Condition,Subject1,Subject2,Dice
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1002,0.26849735129130287
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1003,0.24308459716833777
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1004,0.28514502252198576
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1005,0.29799319189360357
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1006,0.29232806230586056
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1007,0.2803573639645303
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1008,0.27640684085398587
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1009,0.2873539161608728
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1010,0.2527452912918972
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1011,0.27298301832307104
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc1012,0.2868981246832235
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc2013,0.27934966710636205
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc2014,0.28492202918316933
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc2015,0.29455150613977216
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc2016,0.3015325222274216
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc2017,0.2822434329888775
pIPS,ppi,nontools,sub-spaceloc1001,sub-spaceloc2018,0.2556446558567824
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1003,0.43044667948528326
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1004,0.5896304038773218
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1005,0.5769019937790015
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1006,0.5712075849911536
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1007,0.5912462769628722
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1008,0.49079754601226994
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1009,0.42575861976049056
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1010,0.35470499457427834
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1011,0.654669910468615
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc1012,0.6680997864670631
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc2013,0.36822460307861693
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc2014,0.6249425836027777
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc2015,0.5593806192536678
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc2016,0.5869211150951972
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc2017,0.421383838537007
pIPS,ppi,nontools,sub-spaceloc1002,sub-spaceloc2018,0.30881169584699175
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1004,0.5074601837701463
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1005,0.46086922382317147
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1006,0.4646401120880783
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1007,0.48164368954223474
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1008,0.4059358243024821
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1009,0.40545051441098073
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1010,0.3532997161830757
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1011,0.43745604190048637
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc1012,0.503556148438958
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc2013,0.27186152935252356
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc2014,0.4746758531093651
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc2015,0.4649980445834963
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc2016,0.4818622696411251
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc2017,0.3782983753578023
pIPS,ppi,nontools,sub-spaceloc1003,sub-spaceloc2018,0.35560174412037143
pIPS,ppi,nontools,sub-spaceloc1004,sub-spaceloc1005,0.5687389812546405
pIPS,ppi,nontools,sub-spaceloc1004,sub-spaceloc1006,0.5794937965260546
pIPS,ppi,nontools,sub-spaceloc1004,sub-spaceloc1007,0.5990070121397071
pIPS,ppi,nontools,sub-spaceloc1004,sub-spaceloc1008,0.5090067660584049
pIPS,ppi,nontools,sub-spaceloc1004,sub-spaceloc1009,0.4786957661658735
pIPS,ppi,nontools,sub-spaceloc1004,sub-spaceloc1010,0.42996636182971
pIPS,ppi,nontools,sub-spaceloc1004,sub-spaceloc1011,0.5950320276200918
pIPS,ppi,nontools,sub-spaceloc1004,sub-spaceloc1012,0.6419411417340185
