ROI,Analysis,Condition,Subject1,Subject2,Dice
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1002,0.344470608756323
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1003,0.35748367091650673
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1004,0.34941756297408477
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1005,0.3716477843109135
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1006,0.288232187802185
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1007,0.3582422283096008
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1008,0.2907186935111887
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1009,0.3497899498243314
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1010,0.3496771192959233
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1011,0.35295250552704543
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc1012,0.38207519271336476
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc2013,0.36026877667914886
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc2014,0.30316034476488346
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc2015,0.3156790404084559
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc2016,0.3727973045256175
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc2017,0.35241736385498484
pIPS,ppi,tools,sub-spaceloc1001,sub-spaceloc2018,0.3638475075714169
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1003,0.6279596483556252
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1004,0.4793668142843682
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1005,0.6929692892594581
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1006,0.3693038533992594
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1007,0.6320932916274409
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1008,0.3642404500522661
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1009,0.48980206382431785
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1010,0.4097166693583012
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1011,0.6347300033095503
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc1012,0.6382266120036848
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc2013,0.6730570738756204
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc2014,0.517945902104126
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc2015,0.43118372604631855
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc2016,0.5243061742888788
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc2017,0.49075092344621724
pIPS,ppi,tools,sub-spaceloc1002,sub-spaceloc2018,0.5014486784359954
