fold,task,origin,target,mean_f_diff,std_f_diff
0,loc,lpIPS,lLO,17.205333113019165,37.96575876182376
0,loc,lpIPS,rLO,9.949216570478347,19.938160334369414
0,loc,rpIPS,lLO,0.8758232800330624,13.969583634423325
0,loc,rpIPS,rLO,-4.405758288529007,15.002137540878286
1,loc,lpIPS,lLO,20.398590454619985,40.37676378338303
1,loc,lpIPS,rLO,9.971335172333497,18.100376002029797
1,loc,rpIPS,lLO,2.1804159614383622,24.07350381872986
1,loc,rpIPS,rLO,-0.272265873083557,40.68954410766472
2,loc,lpIPS,lLO,15.281527916751088,31.992031983879347
2,loc,lpIPS,rLO,11.41463488200121,29.59136924564425
2,loc,rpIPS,lLO,4.301138923491841,38.36486678696492
2,loc,rpIPS,rLO,6.767924158781597,46.509600543007
