subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-025,pIPS,left,LO,left,loc,fc,0.1769748032093048
sub-025,pIPS,left,LO,right,loc,fc,0.1501747965812683
sub-025,pIPS,left,PFS,left,loc,fc,0.09854444861412048
sub-025,pIPS,left,PFS,right,loc,fc,0.10598939657211304
sub-025,pIPS,left,aIPS,left,loc,fc,0.23969388008117676
sub-025,pIPS,left,aIPS,right,loc,fc,0.10432958602905273
sub-025,pIPS,right,LO,left,loc,fc,0.1718025654554367
sub-025,pIPS,right,LO,right,loc,fc,0.165211021900177
sub-025,pIPS,right,PFS,left,loc,fc,0.12236115336418152
sub-025,pIPS,right,PFS,right,loc,fc,0.10578329861164093
sub-025,pIPS,right,aIPS,left,loc,fc,0.19389928877353668
sub-025,pIPS,right,aIPS,right,loc,fc,0.14983029663562775
sub-025,LO,left,pIPS,left,loc,fc,0.08883506804704666
sub-025,LO,left,pIPS,right,loc,fc,0.15899105370044708
sub-025,LO,left,PFS,left,loc,fc,0.11630046367645264
sub-025,LO,left,PFS,right,loc,fc,0.1442234367132187
sub-025,LO,left,aIPS,left,loc,fc,0.32112976908683777
sub-025,LO,left,aIPS,right,loc,fc,0.05375116318464279
sub-025,LO,right,pIPS,left,loc,fc,0.09667524695396423
sub-025,LO,right,pIPS,right,loc,fc,0.17916125059127808
sub-025,LO,right,PFS,left,loc,fc,0.11783131957054138
sub-025,LO,right,PFS,right,loc,fc,0.1382150948047638
sub-025,LO,right,aIPS,left,loc,fc,0.28661245107650757
sub-025,LO,right,aIPS,right,loc,fc,0.08442659676074982
sub-025,PFS,left,pIPS,left,loc,fc,0.06286869198083878
sub-025,PFS,left,pIPS,right,loc,fc,0.1104973629117012
sub-025,PFS,left,LO,left,loc,fc,0.13509289920330048
sub-025,PFS,left,LO,right,loc,fc,0.11743074655532837
sub-025,PFS,left,aIPS,left,loc,fc,0.14661380648612976
sub-025,PFS,left,aIPS,right,loc,fc,0.0428934320807457
sub-025,PFS,right,pIPS,left,loc,fc,0.06290453672409058
sub-025,PFS,right,pIPS,right,loc,fc,0.10571208596229553
sub-025,PFS,right,LO,left,loc,fc,0.15220743417739868
sub-025,PFS,right,LO,right,loc,fc,0.13264229893684387
sub-025,PFS,right,aIPS,left,loc,fc,0.19387303292751312
sub-025,PFS,right,aIPS,right,loc,fc,0.04211334139108658
sub-025,aIPS,left,pIPS,left,loc,fc,0.09412501007318497
sub-025,aIPS,left,pIPS,right,loc,fc,0.18860681354999542
sub-025,aIPS,left,LO,left,loc,fc,0.32263240218162537
sub-025,aIPS,left,LO,right,loc,fc,0.2446565479040146
sub-025,aIPS,left,PFS,left,loc,fc,0.12424192577600479
sub-025,aIPS,left,PFS,right,loc,fc,0.18254460394382477
sub-025,aIPS,right,pIPS,left,loc,fc,0.10630835592746735
sub-025,aIPS,right,pIPS,right,loc,fc,0.17157293856143951
sub-025,aIPS,right,LO,left,loc,fc,0.07093039155006409
sub-025,aIPS,right,LO,right,loc,fc,0.07490923255681992
sub-025,aIPS,right,PFS,left,loc,fc,0.04544471949338913
sub-025,aIPS,right,PFS,right,loc,fc,0.03369172289967537
sub-025,pIPS,left,LO,left,loc,ppi,0.029534531952753844
sub-025,pIPS,left,LO,right,loc,ppi,0.029529385775849196
sub-025,pIPS,left,PFS,left,loc,ppi,0.024336755290711717
sub-025,pIPS,left,PFS,right,loc,ppi,0.022324423951384648
sub-025,pIPS,left,aIPS,left,loc,ppi,0.028888002447454448
sub-025,pIPS,left,aIPS,right,loc,ppi,-0.0009100042598984371
sub-025,pIPS,right,LO,left,loc,ppi,0.036196698908308615
sub-025,pIPS,right,LO,right,loc,ppi,0.034849618736468975
sub-025,pIPS,right,PFS,left,loc,ppi,0.031746393677973134
sub-025,pIPS,right,PFS,right,loc,ppi,0.029456984949847793
sub-025,pIPS,right,aIPS,left,loc,ppi,0.031754558634765125
sub-025,pIPS,right,aIPS,right,loc,ppi,-0.021100847237968113
sub-025,LO,left,pIPS,left,loc,ppi,0.031134434306105133
sub-025,LO,left,pIPS,right,loc,ppi,0.03687291931646227
sub-025,LO,left,PFS,left,loc,ppi,0.022971064150652688
sub-025,LO,left,PFS,right,loc,ppi,0.019196585868634177
sub-025,LO,left,aIPS,left,loc,ppi,0.028919379833008962
sub-025,LO,left,aIPS,right,loc,ppi,-0.0030435892926937553
sub-025,LO,right,pIPS,left,loc,ppi,0.027983115616442993
sub-025,LO,right,pIPS,right,loc,ppi,0.03578897157675151
sub-025,LO,right,PFS,left,loc,ppi,0.023628039262458083
sub-025,LO,right,PFS,right,loc,ppi,0.020024063057733986
sub-025,LO,right,aIPS,left,loc,ppi,0.026895011533571735
sub-025,LO,right,aIPS,right,loc,ppi,-0.008957273581830578
sub-025,PFS,left,pIPS,left,loc,ppi,0.02545695808098711
sub-025,PFS,left,pIPS,right,loc,ppi,0.03129080580318091
sub-025,PFS,left,LO,left,loc,ppi,0.024576926409644484
sub-025,PFS,left,LO,right,loc,ppi,0.025367446138553906
