subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-025,pIPS,left,LO,left,loc,fc,0.1769748032093048
sub-025,pIPS,left,LO,right,loc,fc,0.1501747965812683
sub-025,pIPS,right,LO,left,loc,fc,0.1718025654554367
sub-025,pIPS,right,LO,right,loc,fc,0.165211021900177
sub-025,pIPS,left,LO,left,loc,ppi,0.029534531952753844
sub-025,pIPS,left,LO,right,loc,ppi,0.029529385775849196
sub-025,pIPS,right,LO,left,loc,ppi,0.036196698908308615
sub-025,pIPS,right,LO,right,loc,ppi,0.034849618736468975
sub-038,pIPS,left,LO,left,loc,fc,0.20225852727890015
sub-038,pIPS,left,LO,right,loc,fc,0.20025260746479034
sub-038,pIPS,right,LO,left,loc,fc,0.16041171550750732
sub-038,pIPS,right,LO,right,loc,fc,0.17698413133621216
sub-038,pIPS,left,LO,left,loc,ppi,0.05220322900583606
sub-038,pIPS,left,LO,right,loc,ppi,0.05370901311402796
sub-038,pIPS,right,LO,left,loc,ppi,0.021574437178025707
sub-038,pIPS,right,LO,right,loc,ppi,0.014491056631799058
sub-057,pIPS,left,LO,left,loc,fc,0.3166327178478241
sub-057,pIPS,left,LO,right,loc,fc,0.27842944860458374
sub-057,pIPS,right,LO,left,loc,fc,0.229221910238266
sub-057,pIPS,right,LO,right,loc,fc,0.24987734854221344
sub-057,pIPS,left,LO,left,loc,ppi,0.07599267778019161
sub-057,pIPS,left,LO,right,loc,ppi,0.06514223394065666
sub-057,pIPS,right,LO,left,loc,ppi,0.04839820120457816
sub-057,pIPS,right,LO,right,loc,ppi,0.04243169314418401
sub-059,pIPS,left,LO,left,loc,fc,0.21069416403770447
sub-059,pIPS,left,LO,right,loc,fc,0.20713186264038086
sub-059,pIPS,right,LO,left,loc,fc,0.2121720314025879
sub-059,pIPS,right,LO,right,loc,fc,0.18852095305919647
sub-059,pIPS,left,LO,left,loc,ppi,0.03348938920533102
sub-059,pIPS,left,LO,right,loc,ppi,0.01609397717608862
sub-059,pIPS,right,LO,left,loc,ppi,0.05713782730650938
sub-059,pIPS,right,LO,right,loc,ppi,0.035697552586721804
sub-064,pIPS,left,LO,left,loc,fc,0.09095808863639832
sub-064,pIPS,left,LO,right,loc,fc,0.08817180246114731
sub-064,pIPS,right,LO,left,loc,fc,0.0816173329949379
sub-064,pIPS,right,LO,right,loc,fc,0.08244747668504715
sub-064,pIPS,left,LO,left,loc,ppi,0.013654708659768425
sub-064,pIPS,left,LO,right,loc,ppi,0.0008950280913378961
sub-064,pIPS,right,LO,left,loc,ppi,-0.0039021966406641065
sub-064,pIPS,right,LO,right,loc,ppi,-0.00895030800497252
sub-067,pIPS,left,LO,left,loc,fc,0.23766101896762848
sub-067,pIPS,left,LO,right,loc,fc,0.19517210125923157
sub-067,pIPS,right,LO,left,loc,fc,0.2551792562007904
sub-067,pIPS,right,LO,right,loc,fc,0.2499571442604065
sub-067,pIPS,left,LO,left,loc,ppi,0.028025335371686014
sub-067,pIPS,left,LO,right,loc,ppi,0.012122000765676563
sub-067,pIPS,right,LO,left,loc,ppi,0.06858620720849323
sub-067,pIPS,right,LO,right,loc,ppi,0.03956936370083034
sub-068,pIPS,left,LO,left,loc,fc,0.10867051035165787
sub-068,pIPS,left,LO,right,loc,fc,0.09739653766155243
sub-068,pIPS,right,LO,left,loc,fc,0.10695303231477737
sub-068,pIPS,right,LO,right,loc,fc,0.14202623069286346
sub-068,pIPS,left,LO,left,loc,ppi,0.019767039559778193
sub-068,pIPS,left,LO,right,loc,ppi,0.023630825970842748
sub-068,pIPS,right,LO,left,loc,ppi,0.013809007450264322
sub-068,pIPS,right,LO,right,loc,ppi,0.017255706745263825
sub-071,pIPS,left,LO,left,loc,fc,0.1977924108505249
sub-071,pIPS,left,LO,right,loc,fc,0.1750246286392212
sub-071,pIPS,right,LO,left,loc,fc,0.20953765511512756
sub-071,pIPS,right,LO,right,loc,fc,0.1574387103319168
sub-071,pIPS,left,LO,left,loc,ppi,-0.01522010016021945
sub-071,pIPS,left,LO,right,loc,ppi,-0.02795530192459458
sub-071,pIPS,right,LO,left,loc,ppi,-0.017194134428411178
sub-071,pIPS,right,LO,right,loc,ppi,-0.03651368281170186
sub-083,pIPS,left,LO,left,loc,fc,0.2518531084060669
sub-083,pIPS,left,LO,right,loc,fc,0.2190762758255005
sub-083,pIPS,right,LO,left,loc,fc,0.2905479073524475
sub-083,pIPS,right,LO,right,loc,fc,0.2903904318809509
sub-083,pIPS,left,LO,left,loc,ppi,0.07751655951231515
sub-083,pIPS,left,LO,right,loc,ppi,0.06188465932411515
sub-083,pIPS,right,LO,left,loc,ppi,0.057606628805104296
sub-083,pIPS,right,LO,right,loc,ppi,0.05295941331393124
sub-084,pIPS,left,LO,left,loc,fc,0.14147113263607025
sub-084,pIPS,left,LO,right,loc,fc,0.13884982466697693
sub-084,pIPS,right,LO,left,loc,fc,0.07681389898061752
sub-084,pIPS,right,LO,right,loc,fc,0.11881202459335327
