fold,task,origin,target,mean_f_diff,std_f_diff
0,loc,lpIPS,lLO,17.306945399394607,30.062452138502497
0,loc,lpIPS,rLO,10.780525650918536,17.07281916639557
0,loc,rpIPS,lLO,-0.37634542348476846,3.562965074995097
0,loc,rpIPS,rLO,-1.1362005423644952,2.085083996732964
1,loc,lpIPS,lLO,20.24116657811027,27.001890543675152
1,loc,lpIPS,rLO,6.551879176510861,6.23353120619866
1,loc,rpIPS,lLO,4.5737462184898785,5.961508361084809
1,loc,rpIPS,rLO,3.250848901330792,16.4539726721654
2,loc,lpIPS,lLO,5.2465260311065665,8.571310800105197
2,loc,lpIPS,rLO,9.747053316429575,20.48842758177992
2,loc,rpIPS,lLO,5.120319433995768,2.947666379945211
2,loc,rpIPS,rLO,2.512157138095219,25.15739198352461
