fold,task,origin,target,mean_f_diff,std_f_diff
0,loc,lpIPS,lLO,1.8030453105857043,4.313275467648149
0,loc,lpIPS,rLO,1.664633746982956,6.49635304383459
0,loc,rpIPS,lLO,-1.2090769584328551,4.880689765483598
0,loc,rpIPS,rLO,1.9207312452288814,6.640664390087835
1,loc,lpIPS,lLO,0.6927032200798543,5.593981388561459
1,loc,lpIPS,rLO,2.551979647931063,9.708760272927705
1,loc,rpIPS,lLO,2.2960215920851077,6.808863226426437
1,loc,rpIPS,rLO,1.3090547314673144,5.142521975575476
2,loc,lpIPS,lLO,1.5226323998669327,5.85097235443911
2,loc,lpIPS,rLO,-1.184544314673575,7.325406652952482
2,loc,rpIPS,lLO,1.2690429418823115,7.886663130820565
2,loc,rpIPS,rLO,-0.22288891592901403,7.127562990210348
