fold,task,origin,target,mean_f_diff,std_f_diff
0,loc,lpIPS,lLO,39.43367722409625,56.56038963759678
0,loc,lpIPS,rLO,6.437594314568554,7.759042357605679
0,loc,rpIPS,lLO,0.15912602011863686,3.819934872814891
0,loc,rpIPS,rLO,-1.789165999967891,1.7925065096030672
1,loc,lpIPS,lLO,28.131683213708,0.9178886558078544
1,loc,lpIPS,rLO,8.45948992932652,9.266304286988465
1,loc,rpIPS,lLO,6.157480063007162,9.40989224419562
1,loc,rpIPS,rLO,-1.82726765508346,6.449274744576743
2,loc,lpIPS,lLO,-3.4196313948568116,7.314905912167989
2,loc,lpIPS,rLO,1.1905468644207349,7.388437491706136
2,loc,rpIPS,lLO,0.8362860891851986,1.9556344423235512
2,loc,rpIPS,rLO,-3.3694692205804246,5.281493037705803
