ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
1,7Networks_LH_Vis_1,Vis_1,1.2055308941801508,16.779806915400417,3.1117209964847005e-51,1.205530894180151,0.0030802923379846885,1.2055308941801508,1.0709728905623743,1.3449994773926195,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
13,7Networks_LH_Vis_13,Vis_13,0.05706721208256347,4.690773142191656,3.229859105314006e-06,0.05706721208256348,0.00044246745134244946,0.05706721208256347,0.034483541029397435,0.08263121689493898,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
12,7Networks_LH_Vis_12,Vis_12,-0.004240588239470317,-0.9999999999999998,0.31803012273653286,-0.004240588239470317,0.00023134305474419348,-0.004240588239470317,-0.01272176471841095,0.0,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
11,7Networks_LH_Vis_11,Vis_11,3.476519366062902,20.671248141235683,2.7153133050858895e-68,3.4765193660629015,0.0076924379953533404,3.476519366062902,3.149960001309432,3.835181254575837,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
10,7Networks_LH_Vis_10,Vis_10,-0.003327875420840514,-1.0271163416852858,0.3046301921772132,-0.0033278754208405136,0.00010573399092571716,-0.003327875420840514,-0.00978963658059835,0.0030671399546111163,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
9,7Networks_LH_Vis_9,Vis_9,2.4090518398519873,22.765078152540095,9.96839007545889e-87,2.4090518398519873,0.003954763241528939,2.4090518398519873,2.187715974448205,2.617678824845515,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
8,7Networks_LH_Vis_8,Vis_8,0.9722170310142056,12.563192441299211,1.8648626261015785e-31,0.9722170310142055,0.003550719845990317,0.9722170310142056,0.820252881613364,1.1211104779676324,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
14,7Networks_LH_Vis_14,Vis_14,0.0696399080784291,2.0005472154575425,0.046489046478226,0.0696399080784291,0.0021672026869633664,0.0696399080784291,0.01161178895765453,0.14015469189039226,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
6,7Networks_LH_Vis_6,Vis_6,0.06430563284278351,2.6844694760032324,0.008019814321340956,0.06430563284278352,0.0018820581562077904,0.06430563284278351,0.017844493929628235,0.11739489418361518,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
5,7Networks_LH_Vis_5,Vis_5,2.6349347376939622,34.3426422342549,3.4408503353115367e-150,2.6349347376939622,0.0029553315430848465,2.6349347376939622,2.4852187473465857,2.7859893986483173,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
4,7Networks_LH_Vis_4,Vis_4,0.02075162163319307,2.6553294477494576,0.008168010140459678,0.02075162163319307,0.00034403987215516295,0.02075162163319307,0.006145614711184738,0.03660855655760034,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
3,7Networks_LH_Vis_3,Vis_3,6.973631511701872,28.59604793548264,1.0730499169859971e-40,6.973631511701872,0.02894168448648169,6.973631511701872,6.50009163067607,7.475058232070869,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
2,7Networks_LH_Vis_2,Vis_2,1.0342342303018692,15.254058080416682,2.1442375295318973e-47,1.0342342303018695,0.002142971884701637,1.0342342303018692,0.9018371412667452,1.1666963748684196,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
7,7Networks_LH_Vis_7,Vis_7,0.14734335890172173,7.503428856862265,1.5945401705337453e-13,0.14734335890172173,0.0006799668988065405,0.14734335890172173,0.11261205620970899,0.18712927187041642,Occipital,L,Vis,Occipital,"(0, 'Vis', 0)"
104,7Networks_RH_Vis_4,Vis_4,0.2670736562742096,8.775502301792375,1.4555734793143985e-17,0.26707365627420954,0.0011864409302772786,0.2670736562742096,0.21017125748663495,0.32749467178535885,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
105,7Networks_RH_Vis_5,Vis_5,3.599240682193495,11.354430283635958,1.5604494810284885e-17,3.5992406821934946,0.037887549861817735,3.599240682193495,2.985783184799518,4.238232892604771,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
106,7Networks_RH_Vis_6,Vis_6,0.7329276233860604,14.408744415277823,7.046490126700731e-43,0.7329276233860607,0.001615024504725087,0.7329276233860604,0.6353742068996201,0.8377478459612944,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
107,7Networks_RH_Vis_7,Vis_7,0.016301018458760492,2.005373978390146,0.04563925456764034,0.016301018458760495,0.0004192040226711099,0.016301018458760492,0.0037977962326578873,0.03639983315017887,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
108,7Networks_RH_Vis_8,Vis_8,3.1786040320539843,37.04976180804141,3.7199033722114515e-183,3.1786040320539843,0.0028613511854682517,3.1786040320539843,2.9960726741982864,3.3470010990169676,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
109,7Networks_RH_Vis_9,Vis_9,0.025277011703362787,3.191475669786996,0.0014738486255525594,0.025277011703362787,0.0002876733221585192,0.025277011703362787,0.012356333576161534,0.04212773079216869,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
112,7Networks_RH_Vis_12,Vis_12,1.1082226486563855,16.701606390932188,9.40596629708923e-55,1.1082226486563858,0.0022118084985686837,1.1082226486563855,0.9824553760124046,1.2395875202361062,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
111,7Networks_RH_Vis_11,Vis_11,4.354801398034644,28.687182439489717,1.8526594073527813e-101,4.354801398034644,0.007363528859686961,4.354801398034644,4.04746442855672,4.633911582870246,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
113,7Networks_RH_Vis_13,Vis_13,0.0070098152637918815,0.8095120091739166,0.4185332723034063,0.0070098152637918815,0.0003488935339516106,0.0070098152637918815,-0.010801313299059801,0.022982926161735567,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
114,7Networks_RH_Vis_14,Vis_14,0.09250832497687696,2.284301456799001,0.02478792609299252,0.09250832497687696,0.004341779605724121,0.09250832497687696,0.0205997614023372,0.1698179957270992,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
115,7Networks_RH_Vis_15,Vis_15,1.2793955106976247,4.251547712697846,0.00012371395935843009,1.2793955106976247,0.04758036502701653,1.2793955106976247,0.74244390578225,1.952902178668485,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
103,7Networks_RH_Vis_3,Vis_3,1.4122100516953935,21.218350236873555,8.368971599862498e-85,1.4122100516953935,0.0019449535645561958,1.4122100516953935,1.2870047021553999,1.54788777401708,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
110,7Networks_RH_Vis_10,Vis_10,0.07153772316144072,3.319411552758458,0.0009883477974927995,0.07153772316144072,0.0010997865404813066,0.07153772316144072,0.03145263064113352,0.11511332117258638,Occipital,R,Vis,Occipital,"(0, 'Vis', 1)"
