Condition,Seed_ROI,Hemisphere,Region_ID,Region_Name,Anatomical_Lobe,Region_Hemisphere,Is_Dorsal,Is_Ventral,Pos_Voxels,Neg_Voxels,Direction_Value,Direction_Type,Total_Voxels
tool,pIPS,left,1,Vis_1,Occipital,L,False,True,6,0,6,Dorsal→Ventral,6
tool,pIPS,left,2,Vis_2,Occipital,L,False,True,3,3,0,Ventral→Dorsal,6
tool,pIPS,left,3,Vis_3,Occipital,L,False,True,4,0,4,Dorsal→Ventral,4
tool,pIPS,left,4,Vis_4,Occipital,L,False,True,1,5,-4,Ventral→Dorsal,6
tool,pIPS,left,5,Vis_5,Occipital,L,False,True,0,125,-125,Ventral→Dorsal,125
tool,pIPS,left,6,Vis_6,Occipital,L,False,True,1,0,1,Dorsal→Ventral,1
tool,pIPS,left,7,Vis_7,Occipital,L,False,True,4,171,-167,Ventral→Dorsal,175
tool,pIPS,left,8,Vis_8,Occipital,L,False,True,0,11,-11,Ventral→Dorsal,11
tool,pIPS,left,9,Vis_9,Occipital,L,False,True,0,115,-115,Ventral→Dorsal,115
tool,pIPS,left,10,Vis_10,Occipital,L,False,True,0,115,-115,Ventral→Dorsal,115
tool,pIPS,left,11,Vis_11,Occipital,L,False,True,0,52,-52,Ventral→Dorsal,52
tool,pIPS,left,12,Vis_12,Occipital,L,False,True,0,27,-27,Ventral→Dorsal,27
tool,pIPS,left,13,Vis_13,Occipital,L,False,True,2,159,-157,Ventral→Dorsal,161
tool,pIPS,left,14,Vis_14,Occipital,L,False,True,0,36,-36,Ventral→Dorsal,36
tool,pIPS,left,17,SomMot_3,Somatomotor,L,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,left,20,SomMot_6,Somatomotor,L,True,False,0,2,-2,Intra-Dorsal,2
tool,pIPS,left,21,SomMot_7,Somatomotor,L,True,False,0,11,-11,Intra-Dorsal,11
tool,pIPS,left,23,SomMot_9,Somatomotor,L,True,False,0,7,-7,Intra-Dorsal,7
tool,pIPS,left,24,SomMot_10,Somatomotor,L,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,left,25,SomMot_11,Somatomotor,L,True,False,15,0,15,Intra-Dorsal,15
tool,pIPS,left,27,SomMot_13,Somatomotor,L,True,False,5,3,2,Intra-Dorsal,8
tool,pIPS,left,28,SomMot_14,Somatomotor,L,True,False,5,2,3,Intra-Dorsal,7
