ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
65,7Networks_LH_Cont_OFC_1,OFC_1,-0.006137597302411515,-1.41549428740136,0.15750222373481826,False,-0.006137597302411516,0.00018693866265091007,-0.006137597302411515,-0.009184721879130995,0.0,Frontal,L,Cont_OFC,Frontal,"(0, 'Cont_OFC', 0)"
67,7Networks_LH_Cont_PFCl_2,PFCl_2,-0.04031737273071809,-4.159528974861411,3.570610885791379e-05,True,-0.0403173727307181,0.0003597325692138549,-0.04031737273071809,-0.04542402861137187,-0.035914525255990024,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
66,7Networks_LH_Cont_PFCl_1,PFCl_1,-0.36677732343950786,-9.535423985875953,3.565366371810756e-20,True,-0.36677732343950786,0.0015625220560794707,-0.36677732343950786,-0.44784734008498595,-0.33811874183873797,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
68,7Networks_LH_Cont_PFCl_3,PFCl_3,-0.3264309172475778,-13.471182774524582,9.696108237309104e-39,True,-0.3264309172475777,0.0006829244973820045,-0.3264309172475778,-0.37462301201308773,-0.2928562703938062,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
69,7Networks_LH_Cont_PFCl_4,PFCl_4,-0.4844360266302273,-12.461404569243417,8.625989280073943e-33,True,-0.4844360266302273,0.0013509966403286065,-0.4844360266302273,-0.5197759843923676,-0.46852263116528975,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
70,7Networks_LH_Cont_PFCl_5,PFCl_5,-0.03767971210585857,-3.9048925444735283,0.00010381454833530918,True,-0.03767971210585857,0.00037278728164606825,-0.03767971210585857,-0.04775457117945488,-0.029216013481115927,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
176,7Networks_RH_Cont_PFCl_7,PFCl_7,-0.046866894584906046,-5.537729902749373,3.8297190860456934e-08,True,-0.046866894584906046,0.0002549433047199041,-0.046866894584906046,-0.05875200979428143,-0.03419511177275639,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
175,7Networks_RH_Cont_PFCl_6,PFCl_6,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
174,7Networks_RH_Cont_PFCl_5,PFCl_5,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
173,7Networks_RH_Cont_PFCl_4,PFCl_4,-0.4965801280267419,-13.9287424645587,1.0859377830929732e-40,True,-0.496580128026742,0.0010828362506718416,-0.4965801280267419,-0.5769308532720161,-0.4923025712528942,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
172,7Networks_RH_Cont_PFCl_3,PFCl_3,-0.07990985735094507,-6.06343623022013,1.8733534058827966e-09,True,-0.07990985735094505,0.0004124474946991985,-0.07990985735094507,-0.11006772270535117,-0.06778475750486988,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
171,7Networks_RH_Cont_PFCl_2,PFCl_2,-0.004003588348277735,-1.4150898875462024,0.15743371801311226,False,-0.004003588348277736,0.00010034178554620363,-0.004003588348277735,-0.00800717669655547,0.0,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
170,7Networks_RH_Cont_PFCl_1,PFCl_1,-0.032639201678502185,-3.8452144652940707,0.00012817988783195717,True,-0.03263920167850219,0.0002704586308420677,-0.032639201678502185,-0.047880571129022276,-0.020564711182036486,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
181,7Networks_RH_Cont_PFCmp_2,PFCmp_2,-0.0738325683007763,-4.785482182529958,2.0216870780695647e-06,True,-0.07383256830077628,0.0005378019277640796,-0.0738325683007763,-0.09927056513336753,-0.05927397035073768,Frontal,R,Cont_PFCmp,Frontal,"(0, 'Cont_PFCmp', 1)"
180,7Networks_RH_Cont_PFCmp_1,PFCmp_1,-0.0025154229379547983,-0.9999999999999998,0.31769141406048895,False,-0.002515422937954798,9.982151438994013e-05,-0.0025154229379547983,-0.0025154229379547983,0.0,Frontal,R,Cont_PFCmp,Frontal,"(0, 'Cont_PFCmp', 1)"
169,7Networks_RH_Cont_PFCv_1,PFCv_1,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCv,Frontal,"(0, 'Cont_PFCv', 1)"
