ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key,Full_ID
65,7Networks_LH_Cont_OFC_1,Cont_OFC_1,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,L,Cont_OFC,Frontal,"(0, 'Cont_OFC', 0)",Cont_OFC_L
66,7Networks_LH_Cont_PFCl_1,Cont_PFCl_1,-0.007143954648867119,-1.7346513917988735,0.08331103405595466,True,-0.007143954648867119,0.00016729777610803036,-0.007143954648867119,-0.016620034222530843,0.0,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)",Cont_PFCl_L
67,7Networks_LH_Cont_PFCl_2,Cont_PFCl_2,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)",Cont_PFCl_L
68,7Networks_LH_Cont_PFCl_3,Cont_PFCl_3,-0.14840157166977322,-8.31281536372679,2.395917589701232e-16,True,-0.14840157166977322,0.000503126857276901,-0.14840157166977322,-0.18278720768057882,-0.11431008776585366,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)",Cont_PFCl_L
69,7Networks_LH_Cont_PFCl_4,Cont_PFCl_4,-0.10656001828201328,-5.605572100677746,2.8276841821834274e-08,True,-0.10656001828201327,0.000660631343685651,-0.10656001828201328,-0.1464914799621464,-0.07246602964893278,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)",Cont_PFCl_L
70,7Networks_LH_Cont_PFCl_5,Cont_PFCl_5,0.21736904569373378,7.323694042143624,6.946176492515624e-13,True,0.2173690456937338,0.0011466479650073143,0.21736904569373378,0.16383909424911489,0.27993258995505715,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)",Cont_PFCl_L
176,7Networks_RH_Cont_PFCl_7,Cont_PFCl_7,0.00802455454680839,2.4546016449835606,0.014257845305474243,True,0.008024554546808386,9.848024385593037e-05,0.00802455454680839,0.002623546034944187,0.014801023716882349,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)",Cont_PFCl_R
175,7Networks_RH_Cont_PFCl_6,Cont_PFCl_6,0.0164967697698127,2.242946423810081,0.02538950494858696,True,0.0164967697698127,0.0003478774291300627,0.0164967697698127,0.003333996894953796,0.032980952445476976,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)",Cont_PFCl_R
174,7Networks_RH_Cont_PFCl_5,Cont_PFCl_5,0.09873063636682804,6.079819496563756,1.6948759386792289e-09,True,0.09873063636682805,0.0005069761980152304,0.09873063636682804,0.06772666554786483,0.1343473656222717,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)",Cont_PFCl_R
173,7Networks_RH_Cont_PFCl_4,Cont_PFCl_4,0.06710631364766276,4.763221827699238,2.1638590268737725e-06,True,0.06710631364766279,0.0004279055641829928,0.06710631364766276,0.040900748559808256,0.09712559188683718,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)",Cont_PFCl_R
172,7Networks_RH_Cont_PFCl_3,Cont_PFCl_3,-0.0030583274224710395,-1.0325444004331985,0.30206167363201003,True,-0.0030583274224710395,9.269629412481507e-05,-0.0030583274224710395,-0.010140390643529514,0.0028554664380860775,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)",Cont_PFCl_R
171,7Networks_RH_Cont_PFCl_2,Cont_PFCl_2,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)",Cont_PFCl_R
170,7Networks_RH_Cont_PFCl_1,Cont_PFCl_1,0.018531186803350048,3.4803952362252564,0.0005226208840476216,True,0.018531186803350048,0.0001696510504960998,0.018531186803350048,0.00890948408402601,0.02974269253141989,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)",Cont_PFCl_R
180,7Networks_RH_Cont_PFCmp_1,Cont_PFCmp_1,-0.0027039374087089833,-1.0000000000000002,0.3176914140604888,True,-0.0027039374087089838,0.00010730248296630245,-0.0027039374087089833,-0.00811181222612695,0.0,Frontal,R,Cont_PFCmp,Frontal,"(0, 'Cont_PFCmp', 1)",Cont_PFCmp_R
181,7Networks_RH_Cont_PFCmp_2,Cont_PFCmp_2,-0.02293552818352337,-3.476558350021666,0.0005344980717403976,True,-0.022935528183523367,0.0002299637094486375,-0.02293552818352337,-0.03674748548744587,-0.011136987600470197,Frontal,R,Cont_PFCmp,Frontal,"(0, 'Cont_PFCmp', 1)",Cont_PFCmp_R
169,7Networks_RH_Cont_PFCv_1,Cont_PFCv_1,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCv,Frontal,"(0, 'Cont_PFCv', 1)",Cont_PFCv_R
71,7Networks_LH_Cont_pCun_1,Cont_pCun_1,-0.03430866148992051,-1.9863116489778356,0.0479770189662566,True,-0.03430866148992051,0.001034080345549427,-0.03430866148992051,-0.06903675024306172,-0.0017257676813250125,Frontal,L,Cont_pCun,Frontal,"(0, 'Cont_pCun', 0)",Cont_pCun_L
177,7Networks_RH_Cont_pCun_1,Cont_pCun_1,-0.06352728647729299,-3.3958292226512232,0.0007704503994177335,True,-0.063527286477293,0.0010457779357822556,-0.06352728647729299,-0.0999030174270935,-0.029109802400782557,Frontal,R,Cont_pCun,Frontal,"(0, 'Cont_pCun', 1)",Cont_pCun_R
85,7Networks_LH_Default_PFC_3,Default_PFC_3,-0.024127493644693822,-2.6604365013245532,0.008091108927653624,True,-0.024127493644693812,0.0004338290138883029,-0.024127493644693822,-0.043649632807785596,-0.006936541715073228,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
83,7Networks_LH_Default_PFC_1,Default_PFC_1,0.025287118042561015,2.3860575280568668,0.017347677434229342,True,0.02528711804256101,0.0004385428170051209,0.025287118042561015,0.0037167931539586296,0.04757800652227653,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
84,7Networks_LH_Default_PFC_2,Default_PFC_2,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
86,7Networks_LH_Default_PFC_4,Default_PFC_4,-0.002691958155775595,-1.4136172752950011,0.15775930565363344,True,-0.0026919581557755955,5.7626884629282804e-05,-0.002691958155775595,-0.006786329516685758,0.0,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
87,7Networks_LH_Default_PFC_5,Default_PFC_5,-0.02345698434159117,-3.6258830087462512,0.000305302110300873,True,-0.02345698434159117,0.00022307987518330627,-0.02345698434159117,-0.036740777382229896,-0.010843264970252897,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
88,7Networks_LH_Default_PFC_6,Default_PFC_6,-0.007302953049442335,-1.7335147368154784,0.08349976750187167,True,-0.007302953049442336,0.00016891794069609378,-0.007302953049442335,-0.016839828867264872,0.0,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
89,7Networks_LH_Default_PFC_7,Default_PFC_7,-0.015036584161843242,-3.170749795158044,0.0015660711121057993,True,-0.015036584161843239,0.00014892521606919555,-0.015036584161843242,-0.02530520843224183,-0.007163612130127647,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
90,7Networks_LH_Default_PFC_8,Default_PFC_8,-0.018153344385964224,-2.655726339959054,0.008121982136616013,True,-0.018153344385964224,0.00027767514901943634,-0.018153344385964224,-0.03317678621043444,-0.005315002569886708,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
93,7Networks_LH_Default_PFC_11,Default_PFC_11,0.0137066278517129,2.4558005911867835,0.014306578214989192,True,0.0137066278517129,0.0002141916984882753,0.0137066278517129,0.004440105023970543,0.02551611572287737,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
92,7Networks_LH_Default_PFC_10,Default_PFC_10,0.004394540155563836,1.0330202379042794,0.3019574079226532,True,0.004394540155563837,0.0001621848891247968,0.004394540155563836,-0.002055419694369052,0.013260107973698828,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
94,7Networks_LH_Default_PFC_12,Default_PFC_12,-0.029962861951284264,-3.0672620655940905,0.002227939736675895,True,-0.029962861951284264,0.0003331065590111744,-0.029962861951284264,-0.049686919631828814,-0.011908848590594982,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
95,7Networks_LH_Default_PFC_13,Default_PFC_13,-0.012888631149370113,-2.4570579847733445,0.0142548628828806,True,-0.012888631149370113,0.00020042232862786885,-0.012888631149370113,-0.023651012831350085,-0.0041641131158998744,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
91,7Networks_LH_Default_PFC_9,Default_PFC_9,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)",Default_PFC_L
191,7Networks_RH_Default_PFCdPFCm_1,Default_PFCdPFCm_1,-0.00649296012065075,-1.9931569724454665,0.0465186462125107,True,-0.006492960120650748,0.00010358648262925333,-0.00649296012065075,-0.013373969618594881,-0.001452132399976704,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)",Default_PFCdPFCm_R
197,7Networks_RH_Default_PFCdPFCm_7,Default_PFCdPFCm_7,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)",Default_PFCdPFCm_R
196,7Networks_RH_Default_PFCdPFCm_6,Default_PFCdPFCm_6,0.0026746746333815665,0.9999999999999997,0.3177617351576187,True,0.002674674633381566,0.00011552834822408678,0.0026746746333815665,0.0,0.0080240239001447,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)",Default_PFCdPFCm_R
192,7Networks_RH_Default_PFCdPFCm_2,Default_PFCdPFCm_2,-0.002712735136408805,-1.0,0.3177204539063029,True,-0.0027127351364088044,0.0001116815381637532,-0.002712735136408805,-0.008138205409226414,0.0,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)",Default_PFCdPFCm_R
193,7Networks_RH_Default_PFCdPFCm_3,Default_PFCdPFCm_3,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Frontal,R,Default_PFCdPFCm,Frontal,"(0, 'Default_PFCdPFCm', 1)",Default_PFCdPFCm_R
