ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,p_value_corrected,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
71,7Networks_LH_Cont_Cing_1,Cont_Cing,-0.5250708361459206,-6.40164329524632,1.0116609408586034e-09,True,-0.5250708361459205,0.005700871515220971,-0.5250708361459206,-0.6778209929006357,-0.36408492852499036,,Frontal,L,Cont_Cing,Frontal,"(0, 'Cont_Cing', 0)"
72,7Networks_LH_Cont_Cing_2,Cont_Cing,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,L,Cont_Cing,Frontal,"(0, 'Cont_Cing', 0)"
178,7Networks_RH_Cont_Cing_2,Cont_Cing,0.0,,,False,0.0,0.0,0.0,0.0,0.0,,Frontal,R,Cont_Cing,Frontal,"(0, 'Cont_Cing', 1)"
177,7Networks_RH_Cont_Cing_1,Cont_Cing,-0.6150210257680119,-8.26467526237039,3.203503424800881e-15,True,-0.615021025768012,0.004041702289327228,-0.6150210257680119,-0.7716009331387688,-0.4760455138359054,,Frontal,R,Cont_Cing,Frontal,"(0, 'Cont_Cing', 1)"
64,7Networks_LH_Cont_OFC_1,Cont_OFC,-0.006137597302411515,-1.41549428740136,0.15750222373481826,False,-0.006137597302411516,0.00018693866265091007,-0.006137597302411515,-0.015365667330515064,0.0,,Frontal,L,Cont_OFC,Frontal,"(0, 'Cont_OFC', 0)"
69,7Networks_LH_Cont_PFCl_5,Cont_PFCl,-0.03767971210585857,-3.9048925444735283,0.00010381454833530918,True,-0.03767971210585857,0.0003727872816460683,-0.03767971210585857,-0.05613919802859709,-0.019629733391660693,,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
68,7Networks_LH_Cont_PFCl_4,Cont_PFCl,-0.4844360266302273,-12.461404569243417,8.625989280073943e-33,True,-0.4844360266302273,0.0013509966403285915,-0.4844360266302273,-0.5577862031174217,-0.4102964411405293,,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
65,7Networks_LH_Cont_PFCl_1,Cont_PFCl,-0.36677732343950786,-9.535423985875953,3.565366371810756e-20,True,-0.36677732343950786,0.0015625220560794735,-0.36677732343950786,-0.444654627016322,-0.29375033718508214,,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
66,7Networks_LH_Cont_PFCl_2,Cont_PFCl,-0.04031737273071809,-4.159528974861411,3.570610885791379e-05,True,-0.0403173727307181,0.0003597325692138549,-0.04031737273071809,-0.06149896420134438,-0.023247284066545245,,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
67,7Networks_LH_Cont_PFCl_3,Cont_PFCl,-0.3264309172475778,-13.471182774524582,9.696108237309104e-39,True,-0.3264309172475777,0.0006829244973820042,-0.3264309172475778,-0.37804811197333904,-0.27946435000175296,,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
