ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key
65,7Networks_LH_Cont_OFC_1,OFC_1,0.015841525908631388,1.651113456026611,0.09929896924951559,False,0.015841525908631384,0.0004136461222439801,0.015841525908631388,0.005745991323600411,0.03518228863437672,Frontal,L,Cont_OFC,Frontal,"(0, 'Cont_OFC', 0)"
67,7Networks_LH_Cont_PFCl_2,PFCl_2,0.10197302736044826,5.762680244221424,1.2235565904481837e-08,True,0.10197302736044829,0.0006567385050175842,0.10197302736044826,0.06110818751688251,0.11561062627358358,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
66,7Networks_LH_Cont_PFCl_1,PFCl_1,0.17547066491620114,8.159129678798422,1.9540954041843896e-15,True,0.17547066491620117,0.0008736236330682951,0.17547066491620114,0.13966099142993757,0.20751129628685333,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
68,7Networks_LH_Cont_PFCl_3,PFCl_3,0.3359364383087061,12.281348228843706,7.939360098494297e-33,True,0.33593643830870606,0.0007709002787170448,0.3359364383087061,0.3123930005899099,0.3652913561907733,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
69,7Networks_LH_Cont_PFCl_4,PFCl_4,0.017916725947460434,2.7205691698052683,0.006653643784045246,True,0.01791672594746043,0.00022886728104664137,0.017916725947460434,0.010106409826267258,0.025472339357536154,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
70,7Networks_LH_Cont_PFCl_5,PFCl_5,0.045178555047482465,4.284729757188926,2.09777502806705e-05,True,0.045178555047482465,0.0004073535445878013,0.045178555047482465,0.03148983600629011,0.057423217985700443,Frontal,L,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 0)"
176,7Networks_RH_Cont_PFCl_7,PFCl_7,0.2060333606443445,9.768260992684015,1.1325941581092974e-21,True,0.2060333606443445,0.0006353740808086215,0.2060333606443445,0.1797170709937631,0.2093853872988424,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
175,7Networks_RH_Cont_PFCl_6,PFCl_6,0.052159311098462786,3.3207461673719885,0.0009713599010488167,True,0.052159311098462786,0.0007429206073631723,0.052159311098462786,0.036666988224223415,0.06322337659060188,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
174,7Networks_RH_Cont_PFCl_5,PFCl_5,0.07186433070047879,5.075327952419854,4.59075532158216e-07,True,0.0718643307004788,0.0004420542746128812,0.07186433070047879,0.06388592687184437,0.07765663495854261,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
173,7Networks_RH_Cont_PFCl_4,PFCl_4,0.14062426409679102,8.534942603807718,4.6738967061841086e-17,True,0.140624264096791,0.000500431935458219,0.14062426409679102,0.12180256955284904,0.16164637127588005,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
172,7Networks_RH_Cont_PFCl_3,PFCl_3,0.36265401009526327,12.539984661876654,1.1820176567667197e-33,True,0.3626540100952633,0.0009050709128187595,0.36265401009526327,0.33284300962310764,0.3905067170406218,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
171,7Networks_RH_Cont_PFCl_2,PFCl_2,0.16339771951233534,7.315738314258089,6.261726805777857e-13,True,0.1633977195123353,0.0007921442321905716,0.16339771951233534,0.12415576346955069,0.18068879520879977,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
170,7Networks_RH_Cont_PFCl_1,PFCl_1,0.022767075710685623,3.6233174126546213,0.0003057073191231924,True,0.022767075710685616,0.00020020861229530704,0.022767075710685623,0.008841793767681672,0.03151238235198854,Frontal,R,Cont_PFCl,Frontal,"(0, 'Cont_PFCl', 1)"
181,7Networks_RH_Cont_PFCmp_2,PFCmp_2,0.01171745219562563,2.4543034735362435,0.014321894324764666,True,0.01171745219562563,0.00016641980574560067,0.01171745219562563,0.009467174282153042,0.015561376244490537,Frontal,R,Cont_PFCmp,Frontal,"(0, 'Cont_PFCmp', 1)"
180,7Networks_RH_Cont_PFCmp_1,PFCmp_1,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCmp,Frontal,"(0, 'Cont_PFCmp', 1)"
169,7Networks_RH_Cont_PFCv_1,PFCv_1,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,R,Cont_PFCv,Frontal,"(0, 'Cont_PFCv', 1)"
71,7Networks_LH_Cont_pCun_1,pCun_1,-0.3737737979747791,-6.313744685649974,1.069019348202888e-09,True,-0.3737737979747791,0.003544212360879565,-0.3737737979747791,-0.5421889313079592,-0.3192347459739047,Frontal,L,Cont_pCun,Frontal,"(0, 'Cont_pCun', 0)"
177,7Networks_RH_Cont_pCun_1,pCun_1,-0.2060174996024445,-5.599098559112661,4.640638079276231e-08,True,-0.2060174996024445,0.0020568897332404216,-0.2060174996024445,-0.26225509587012363,-0.1428762143386196,Frontal,R,Cont_pCun,Frontal,"(0, 'Cont_pCun', 1)"
90,7Networks_LH_Default_PFC_8,PFC_8,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
85,7Networks_LH_Default_PFC_3,PFC_3,-0.01231630236633956,-0.9354216042274494,0.3500876819363683,False,-0.012316302366339566,0.0006298428851301833,-0.01231630236633956,-0.02428190439215373,-0.004249669089043205,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
84,7Networks_LH_Default_PFC_2,PFC_2,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
83,7Networks_LH_Default_PFC_1,PFC_1,-0.016887898181094405,-1.6371979034122126,0.10212782211931277,False,-0.016887898181094405,0.0004268428377431151,-0.016887898181094405,-0.03765756034053851,-0.002861140036857731,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
87,7Networks_LH_Default_PFC_5,PFC_5,0.0,,,False,0.0,0.0,0.0,0.0,0.0,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
88,7Networks_LH_Default_PFC_6,PFC_6,0.0027328032647617605,1.0,0.31769937191975456,False,0.0027328032647617605,0.0001095754279544588,0.0027328032647617605,0.0,0.005465606529523521,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
89,7Networks_LH_Default_PFC_7,PFC_7,0.07455025970055719,4.948475692388863,8.753367921307911e-07,True,0.0745502597005572,0.00047310631158602363,0.07455025970055719,0.053586283122939296,0.08869516605829898,Frontal,L,Default_PFC,Frontal,"(0, 'Default_PFC', 0)"
