ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_LH_VisCent_ExStr_5',Wang_b'17Networks_LH_VisCent_ExStr_5',b'17Networks_LH_VisCent_ExStr_5',1.3992278442861423,1.0095293206441067e-191,40.00227981479421,True,1.4259272782198256,787,Occipital,L
b'17Networks_LH_ContB_IPL_1',Wang_b'17Networks_LH_ContB_IPL_1',b'17Networks_LH_ContB_IPL_1',0.0,,,False,,455,Frontal,L
b'17Networks_LH_VisCent_ExStr_2',Wang_b'17Networks_LH_VisCent_ExStr_2',b'17Networks_LH_VisCent_ExStr_2',-0.7001871192585954,3.570560986055912e-38,-13.661259721795021,True,-0.4939238876380936,765,Occipital,L
b'17Networks_RH_DorsAttnA_SPL_3',Wang_b'17Networks_RH_DorsAttnA_SPL_3',b'17Networks_RH_DorsAttnA_SPL_3',0.0,,,False,,555,Temporal,R
b'17Networks_RH_ContB_PFCld_1',Wang_b'17Networks_RH_ContB_PFCld_1',b'17Networks_RH_ContB_PFCld_1',0.020625627872295542,0.08327226404112867,1.735890565366737,False,0.08201312034256603,448,Frontal,R
b'17Networks_LH_VisCent_ExStr_4',Wang_b'17Networks_LH_VisCent_ExStr_4',b'17Networks_LH_VisCent_ExStr_4',0.36268463732198175,2.6668505390771383e-21,9.741493519494249,True,0.33874492012030777,827,Occipital,L
b'17Networks_RH_ContB_IPL_2',Wang_b'17Networks_RH_ContB_IPL_2',b'17Networks_RH_ContB_IPL_2',0.0,,,False,,410,Frontal,R
b'17Networks_LH_VisCent_Striate_1',Wang_b'17Networks_LH_VisCent_Striate_1',b'17Networks_LH_VisCent_Striate_1',-2.1864536438197266,6.678068456799882e-259,-51.059797066678904,True,-1.7669971403487097,835,Occipital,L
b'17Networks_RH_SalVentAttnA_ParMed_1',Wang_b'17Networks_RH_SalVentAttnA_ParMed_1',b'17Networks_RH_SalVentAttnA_ParMed_1',0.0,,,False,,239,Frontal,R
b'17Networks_RH_DorsAttnA_SPL_1',Wang_b'17Networks_RH_DorsAttnA_SPL_1',b'17Networks_RH_DorsAttnA_SPL_1',0.5292509509761613,2.1559650860476425e-30,11.939895916758994,True,0.4184931353122613,814,Temporal,R
b'17Networks_RH_SalVentAttnA_ParMed_2',Wang_b'17Networks_RH_SalVentAttnA_ParMed_2',b'17Networks_RH_SalVentAttnA_ParMed_2',0.005305735683090876,0.31772325097782794,1.0000000000000002,False,0.04127441717064981,587,Frontal,R
b'17Networks_RH_DefaultA_PFCm_1',Wang_b'17Networks_RH_DefaultA_PFCm_1',b'17Networks_RH_DefaultA_PFCm_1',0.0,,,False,,591,Frontal,R
b'17Networks_LH_DefaultB_PFCv_4',Wang_b'17Networks_LH_DefaultB_PFCv_4',b'17Networks_LH_DefaultB_PFCv_4',0.0,,,False,,842,Frontal,L
b'17Networks_LH_DorsAttnA_SPL_3',Wang_b'17Networks_LH_DorsAttnA_SPL_3',b'17Networks_LH_DorsAttnA_SPL_3',0.6469207586700899,8.838886734968215e-17,8.787013372282953,True,0.4851816481706451,328,Temporal,L
b'17Networks_RH_ContB_PFCld_3',Wang_b'17Networks_RH_ContB_PFCld_3',b'17Networks_RH_ContB_PFCld_3',0.0,,,False,,468,Frontal,R
b'17Networks_RH_ContC_pCun_2',Wang_b'17Networks_RH_ContC_pCun_2',b'17Networks_RH_ContC_pCun_2',0.30257068802160136,4.428209898208642e-14,7.744223195634059,True,0.32436981521745295,570,Frontal,R
b'17Networks_LH_SalVentAttnA_ParMed_1',Wang_b'17Networks_LH_SalVentAttnA_ParMed_1',b'17Networks_LH_SalVentAttnA_ParMed_1',0.0,,,False,,631,Frontal,L
b'17Networks_LH_SomMotB_Cent_1',Wang_b'17Networks_LH_SomMotB_Cent_1',b'17Networks_LH_SomMotB_Cent_1',0.0,,,False,,846,Somatomotor,L
b'17Networks_RH_DorsAttnB_PostC_4',Wang_b'17Networks_RH_DorsAttnB_PostC_4',b'17Networks_RH_DorsAttnB_PostC_4',-1.7848575076694577,4.766399043430275e-88,-23.654308425939508,True,-0.9616843927481233,605,Temporal,R
