ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_LH_VisCent_ExStr_5',Wang_b'17Networks_LH_VisCent_ExStr_5',b'17Networks_LH_VisCent_ExStr_5',-0.8618941619558067,1.1276661701775262e-51,-16.299666297533324,True,-0.5810203545183288,787,Occipital,L
b'17Networks_LH_ContB_IPL_1',Wang_b'17Networks_LH_ContB_IPL_1',b'17Networks_LH_ContB_IPL_1',0.0,,,False,,455,Frontal,L
b'17Networks_LH_VisCent_ExStr_2',Wang_b'17Networks_LH_VisCent_ExStr_2',b'17Networks_LH_VisCent_ExStr_2',-0.9402532113969231,9.651604483648887e-159,-34.631436367842525,True,-1.252102224365623,765,Occipital,L
b'17Networks_RH_DorsAttnA_SPL_3',Wang_b'17Networks_RH_DorsAttnA_SPL_3',b'17Networks_RH_DorsAttnA_SPL_3',0.0,,,False,,555,Temporal,R
b'17Networks_RH_ContB_PFCld_1',Wang_b'17Networks_RH_ContB_PFCld_1',b'17Networks_RH_ContB_PFCld_1',0.6083656805107022,2.3020120930674847e-28,11.85138035487288,True,0.5599250912826795,448,Frontal,R
b'17Networks_LH_VisCent_ExStr_4',Wang_b'17Networks_LH_VisCent_ExStr_4',b'17Networks_LH_VisCent_ExStr_4',-3.182554941565023,1.0507216152904772e-242,-48.280406883788395,True,-1.678874244539245,827,Occipital,L
b'17Networks_RH_ContB_IPL_2',Wang_b'17Networks_RH_ContB_IPL_2',b'17Networks_RH_ContB_IPL_2',0.0,,,False,,410,Frontal,R
b'17Networks_LH_VisCent_Striate_1',Wang_b'17Networks_LH_VisCent_Striate_1',b'17Networks_LH_VisCent_Striate_1',-1.6088554134013084,4.056744202499048e-272,-53.54924425821947,True,-1.853148012878752,835,Occipital,L
b'17Networks_RH_SalVentAttnA_ParMed_1',Wang_b'17Networks_RH_SalVentAttnA_ParMed_1',b'17Networks_RH_SalVentAttnA_ParMed_1',-2.671315084510487,4.1345143404285646e-68,-24.864628061300557,True,-1.6083590855991554,239,Frontal,R
b'17Networks_RH_DorsAttnA_SPL_1',Wang_b'17Networks_RH_DorsAttnA_SPL_1',b'17Networks_RH_DorsAttnA_SPL_1',-0.5837727029095042,7.90836602071889e-38,-13.543014908839057,True,-0.47468242690671664,814,Temporal,R
b'17Networks_RH_SalVentAttnA_ParMed_2',Wang_b'17Networks_RH_SalVentAttnA_ParMed_2',b'17Networks_RH_SalVentAttnA_ParMed_2',-2.5742520713320993,4.4425966323160276e-148,-35.48440629724047,True,-1.464598188565136,587,Frontal,R
b'17Networks_RH_DefaultA_PFCm_1',Wang_b'17Networks_RH_DefaultA_PFCm_1',b'17Networks_RH_DefaultA_PFCm_1',-0.26326217298551424,1.2459057205589796e-12,-7.257773238069947,True,-0.29854489858728894,591,Frontal,R
b'17Networks_LH_DefaultB_PFCv_4',Wang_b'17Networks_LH_DefaultB_PFCv_4',b'17Networks_LH_DefaultB_PFCv_4',0.0,,,False,,842,Frontal,L
b'17Networks_LH_DorsAttnA_SPL_3',Wang_b'17Networks_LH_DorsAttnA_SPL_3',b'17Networks_LH_DorsAttnA_SPL_3',-0.23513382525050686,2.0862012956881949e-07,-5.304513282824545,True,-0.29289274845330426,328,Temporal,L
b'17Networks_RH_ContB_PFCld_3',Wang_b'17Networks_RH_ContB_PFCld_3',b'17Networks_RH_ContB_PFCld_3',-0.16162226589879977,0.0001174757121936597,-3.8842259971656596,True,-0.17954841023424398,468,Frontal,R
b'17Networks_RH_ContC_pCun_2',Wang_b'17Networks_RH_ContC_pCun_2',b'17Networks_RH_ContC_pCun_2',-0.3193618960044935,4.7095828405015555e-14,-7.73556554894728,True,-0.3240071863023163,570,Frontal,R
b'17Networks_LH_SalVentAttnA_ParMed_1',Wang_b'17Networks_LH_SalVentAttnA_ParMed_1',b'17Networks_LH_SalVentAttnA_ParMed_1',-1.8924113648264462,3.0966632282251906e-112,-27.915113218010728,True,-1.1112831106872916,631,Frontal,L
b'17Networks_LH_SomMotB_Cent_1',Wang_b'17Networks_LH_SomMotB_Cent_1',b'17Networks_LH_SomMotB_Cent_1',-1.3911938380710462,9.243502805611067e-96,-23.724903671583824,True,-0.8156789904104939,846,Somatomotor,L
b'17Networks_RH_DorsAttnB_PostC_4',Wang_b'17Networks_RH_DorsAttnB_PostC_4',b'17Networks_RH_DorsAttnB_PostC_4',0.0,,,False,,605,Temporal,R
b'17Networks_LH_TempPar_1',Wang_b'17Networks_LH_TempPar_1',b'17Networks_LH_TempPar_1',0.0,,,False,,806,Other,L
b'17Networks_LH_ContB_PFClv_1',Wang_b'17Networks_LH_ContB_PFClv_1',b'17Networks_LH_ContB_PFClv_1',0.42313411491045766,6.070447737347911e-21,9.745037002298023,True,0.395538850390577,607,Frontal,L
b'17Networks_RH_SalVentAttnB_IPL_1',Wang_b'17Networks_RH_SalVentAttnB_IPL_1',b'17Networks_RH_SalVentAttnB_IPL_1',0.0,,,False,,433,Frontal,R
b'17Networks_LH_SomMotB_S2_1',Wang_b'17Networks_LH_SomMotB_S2_1',b'17Networks_LH_SomMotB_S2_1',-0.1092983725036836,1.1134203723863509e-05,-4.439450642068132,True,-0.19953846748631243,495,Somatomotor,L
b'17Networks_LH_VisCent_ExStr_1',Wang_b'17Networks_LH_VisCent_ExStr_1',b'17Networks_LH_VisCent_ExStr_1',-0.1704719856289033,9.476654398952836e-16,-8.151801856122571,True,-0.24282402679125317,1127,Occipital,L
b'17Networks_LH_ContB_PFCl_1',Wang_b'17Networks_LH_ContB_PFCl_1',b'17Networks_LH_ContB_PFCl_1',-0.16718526537645828,4.926656229924619e-10,-6.313527152304444,True,-0.24211271409773744,680,Frontal,L
b'17Networks_LH_VisPeri_StriCal_1',Wang_b'17Networks_LH_VisPeri_StriCal_1',b'17Networks_LH_VisPeri_StriCal_1',-3.92090626454383,0.0,-67.10710323829196,True,-2.1887923671816703,940,Occipital,L
b'17Networks_RH_DefaultB_AntTemp_1',Wang_b'17Networks_RH_DefaultB_AntTemp_1',b'17Networks_RH_DefaultB_AntTemp_1',-2.4782586975939256,0.0,-88.98575508823856,True,-2.7344658876758827,1059,Frontal,R
b'17Networks_LH_SalVentAttnA_FrOper_2',Wang_b'17Networks_LH_SalVentAttnA_FrOper_2',b'17Networks_LH_SalVentAttnA_FrOper_2',0.0,,,False,,495,Frontal,L
b'17Networks_LH_LimbicA_TempPole_2',Wang_b'17Networks_LH_LimbicA_TempPole_2',b'17Networks_LH_LimbicA_TempPole_2',-1.117080635068038,3.802147496722301e-88,-22.00362076042376,True,-0.6879491434809549,1023,Temporal,L
b'17Networks_RH_SalVentAttnB_Ins_1',Wang_b'17Networks_RH_SalVentAttnB_Ins_1',b'17Networks_RH_SalVentAttnB_Ins_1',0.0,,,False,,242,Insular,R
b'17Networks_RH_DefaultA_pCunPCC_1',Wang_b'17Networks_RH_DefaultA_pCunPCC_1',b'17Networks_RH_DefaultA_pCunPCC_1',-0.003076662725461456,0.3175725936413417,-0.9999999999999994,False,-0.032897584747988436,924,Frontal,R
b'17Networks_RH_DorsAttnB_FEF_1',Wang_b'17Networks_RH_DorsAttnB_FEF_1',b'17Networks_RH_DorsAttnB_FEF_1',-0.6623242131655712,9.914276312069875e-29,-11.845945298877929,True,-0.527137647163852,505,Temporal,R
b'17Networks_LH_ContA_Temp_1',Wang_b'17Networks_LH_ContA_Temp_1',b'17Networks_LH_ContA_Temp_1',-2.7511500009543046,3.216671326532439e-174,-39.82560153950152,True,-1.5854321642247557,631,Frontal,L
b'17Networks_LH_SalVentAttnB_IPL_1',Wang_b'17Networks_LH_SalVentAttnB_IPL_1',b'17Networks_LH_SalVentAttnB_IPL_1',0.0,,,False,,534,Frontal,L
b'17Networks_LH_ContA_PFCl_2',Wang_b'17Networks_LH_ContA_PFCl_2',b'17Networks_LH_ContA_PFCl_2',0.0,,,False,,414,Frontal,L
b'17Networks_LH_DefaultA_PFCm_3',Wang_b'17Networks_LH_DefaultA_PFCm_3',b'17Networks_LH_DefaultA_PFCm_3',-0.10594139020987708,2.3213785495524683e-06,-4.767835360948436,True,-0.19101929019893887,623,Frontal,L
b'17Networks_RH_SalVentAttnA_FrMed_2',Wang_b'17Networks_RH_SalVentAttnA_FrMed_2',b'17Networks_RH_SalVentAttnA_FrMed_2',-0.07438093172081124,0.0001009876339739113,-3.914171516670826,True,-0.15874061649597337,608,Frontal,R
b'17Networks_RH_DefaultB_Temp_1',Wang_b'17Networks_RH_DefaultB_Temp_1',b'17Networks_RH_DefaultB_Temp_1',0.0,,,False,,476,Frontal,R
b'17Networks_RH_DorsAttnB_PostC_2',Wang_b'17Networks_RH_DorsAttnB_PostC_2',b'17Networks_RH_DorsAttnB_PostC_2',0.0,,,False,,424,Temporal,R
b'17Networks_RH_SomMotA_1',Wang_b'17Networks_RH_SomMotA_1',b'17Networks_RH_SomMotA_1',-0.00033124993669386417,0.9719264410416526,-0.03521120031744995,False,-0.0016311273569212703,466,Somatomotor,R
b'17Networks_RH_SomMotA_8',Wang_b'17Networks_RH_SomMotA_8',b'17Networks_RH_SomMotA_8',0.0,,,False,,655,Somatomotor,R
b'17Networks_RH_TempPar_1',Wang_b'17Networks_RH_TempPar_1',b'17Networks_RH_TempPar_1',-0.25619348488521987,3.5546904390204096e-12,-7.076328132017437,True,-0.265196608833998,712,Other,R
b'17Networks_LH_DefaultC_IPL_1',Wang_b'17Networks_LH_DefaultC_IPL_1',b'17Networks_LH_DefaultC_IPL_1',-0.01146168317196274,0.1578963840943208,-1.4138754230714168,False,-0.05650982712984542,626,Frontal,L
b'17Networks_LH_SomMotA_5',Wang_b'17Networks_LH_SomMotA_5',b'17Networks_LH_SomMotA_5',-0.010728006451006716,0.21395812425639976,-1.2449069842485938,False,-0.06480726897716753,369,Somatomotor,L
b'17Networks_RH_ContA_PFCd_1',Wang_b'17Networks_RH_ContA_PFCd_1',b'17Networks_RH_ContA_PFCd_1',-1.0392741880653884,2.2275863410182998e-60,-18.30575230959867,True,-0.7275883334486472,633,Frontal,R
b'17Networks_RH_SalVentAttnB_PFCmp_1',Wang_b'17Networks_RH_SalVentAttnB_PFCmp_1',b'17Networks_RH_SalVentAttnB_PFCmp_1',-3.982618241729767,0.0,-78.36252131516663,True,-3.1072760894932387,636,Frontal,R
b'17Networks_RH_SalVentAttnA_PrC_1',Wang_b'17Networks_RH_SalVentAttnA_PrC_1',b'17Networks_RH_SalVentAttnA_PrC_1',0.0,,,False,,409,Frontal,R
b'17Networks_LH_SomMotB_Aud_3',Wang_b'17Networks_LH_SomMotB_Aud_3',b'17Networks_LH_SomMotB_Aud_3',0.0,,,False,,576,Somatomotor,L
b'17Networks_RH_SomMotA_4',Wang_b'17Networks_RH_SomMotA_4',b'17Networks_RH_SomMotA_4',0.7244942993871459,5.2928468200328535e-23,10.60094568172445,True,0.5610615422508654,357,Somatomotor,R
