ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_LH_VisCent_ExStr_5',Wang_b'17Networks_LH_VisCent_ExStr_5',b'17Networks_LH_VisCent_ExStr_5',0.0076527732098095195,0.15749393890155258,1.414899723766135,False,0.050435728198613104,787,Occipital,L
b'17Networks_LH_ContB_IPL_1',Wang_b'17Networks_LH_ContB_IPL_1',b'17Networks_LH_ContB_IPL_1',0.0,,,False,,455,Frontal,L
b'17Networks_LH_VisCent_ExStr_2',Wang_b'17Networks_LH_VisCent_ExStr_2',b'17Networks_LH_VisCent_ExStr_2',-2.9295998094489035,4.496771334083421e-295,-60.82652383321316,True,-2.199187610442722,765,Occipital,L
b'17Networks_RH_DorsAttnA_SPL_3',Wang_b'17Networks_RH_DorsAttnA_SPL_3',b'17Networks_RH_DorsAttnA_SPL_3',0.0,,,False,,555,Temporal,R
b'17Networks_RH_ContB_PFCld_1',Wang_b'17Networks_RH_ContB_PFCld_1',b'17Networks_RH_ContB_PFCld_1',-0.18126546694015405,5.653874776530958e-07,-5.0764316119151855,True,-0.2398388498706131,448,Frontal,R
b'17Networks_LH_VisCent_ExStr_4',Wang_b'17Networks_LH_VisCent_ExStr_4',b'17Networks_LH_VisCent_ExStr_4',1.1966883901116003,4.397565348609698e-86,22.214277150058585,True,0.7724661032385154,827,Occipital,L
b'17Networks_RH_ContB_IPL_2',Wang_b'17Networks_RH_ContB_IPL_2',b'17Networks_RH_ContB_IPL_2',0.0,,,False,,410,Frontal,R
b'17Networks_LH_VisCent_Striate_1',Wang_b'17Networks_LH_VisCent_Striate_1',b'17Networks_LH_VisCent_Striate_1',-4.5288627799450705,0.0,-79.8510884644379,True,-2.763360864637509,835,Occipital,L
b'17Networks_RH_SalVentAttnA_ParMed_1',Wang_b'17Networks_RH_SalVentAttnA_ParMed_1',b'17Networks_RH_SalVentAttnA_ParMed_1',-2.7614564153471552,8.74044107765468e-73,-26.442143753270734,True,-1.7104000929932863,239,Frontal,R
b'17Networks_RH_DorsAttnA_SPL_1',Wang_b'17Networks_RH_DorsAttnA_SPL_1',b'17Networks_RH_DorsAttnA_SPL_1',-0.8019954962598431,1.3199606802573363e-65,-18.774846988656172,True,-0.6580580464074479,814,Temporal,R
b'17Networks_RH_SalVentAttnA_ParMed_2',Wang_b'17Networks_RH_SalVentAttnA_ParMed_2',b'17Networks_RH_SalVentAttnA_ParMed_2',-1.7670605445972323,1.0323869476882372e-94,-25.053149610091836,True,-1.034054148445633,587,Frontal,R
b'17Networks_RH_DefaultA_PFCm_1',Wang_b'17Networks_RH_DefaultA_PFCm_1',b'17Networks_RH_DefaultA_PFCm_1',0.0,,,False,,591,Frontal,R
b'17Networks_LH_DefaultB_PFCv_4',Wang_b'17Networks_LH_DefaultB_PFCv_4',b'17Networks_LH_DefaultB_PFCv_4',0.0,,,False,,842,Frontal,L
b'17Networks_LH_DorsAttnA_SPL_3',Wang_b'17Networks_LH_DorsAttnA_SPL_3',b'17Networks_LH_DorsAttnA_SPL_3',-0.5053727220137862,3.7838176794147967e-16,-8.583573497745995,True,-0.47394856026584925,328,Temporal,L
b'17Networks_RH_ContB_PFCld_3',Wang_b'17Networks_RH_ContB_PFCld_3',b'17Networks_RH_ContB_PFCld_3',0.0,,,False,,468,Frontal,R
b'17Networks_RH_ContC_pCun_2',Wang_b'17Networks_RH_ContC_pCun_2',b'17Networks_RH_ContC_pCun_2',-0.2330470843258728,2.5861052042356912e-12,-7.155160640468802,True,-0.2996966998715269,570,Frontal,R
b'17Networks_LH_SalVentAttnA_ParMed_1',Wang_b'17Networks_LH_SalVentAttnA_ParMed_1',b'17Networks_LH_SalVentAttnA_ParMed_1',-0.004499268102828281,0.3176944359248153,-1.0,False,-0.03980937143290165,631,Frontal,L
b'17Networks_LH_SomMotB_Cent_1',Wang_b'17Networks_LH_SomMotB_Cent_1',b'17Networks_LH_SomMotB_Cent_1',0.0,,,False,,846,Somatomotor,L
b'17Networks_RH_DorsAttnB_PostC_4',Wang_b'17Networks_RH_DorsAttnB_PostC_4',b'17Networks_RH_DorsAttnB_PostC_4',0.07128265734901272,9.979898130534136e-05,3.9172304062704377,True,0.15925806312636032,605,Temporal,R
b'17Networks_LH_TempPar_1',Wang_b'17Networks_LH_TempPar_1',b'17Networks_LH_TempPar_1',0.0,,,False,,806,Other,L
b'17Networks_LH_ContB_PFClv_1',Wang_b'17Networks_LH_ContB_PFClv_1',b'17Networks_LH_ContB_PFClv_1',-0.16927276116300766,3.4794193685475e-09,-5.995814043731569,True,-0.24336258481666193,607,Frontal,L
b'17Networks_RH_SalVentAttnB_IPL_1',Wang_b'17Networks_RH_SalVentAttnB_IPL_1',b'17Networks_RH_SalVentAttnB_IPL_1',0.006385060809653066,0.5877695308365478,0.5424772160449663,False,0.026069791297768978,433,Frontal,R
b'17Networks_LH_SomMotB_S2_1',Wang_b'17Networks_LH_SomMotB_S2_1',b'17Networks_LH_SomMotB_S2_1',-2.0538243174042856,7.826317881127504e-96,-26.270077388606083,True,-1.1807521708197966,495,Somatomotor,L
b'17Networks_LH_VisCent_ExStr_1',Wang_b'17Networks_LH_VisCent_ExStr_1',b'17Networks_LH_VisCent_ExStr_1',-0.5388960589737741,7.037843514489892e-46,-14.884754412256061,True,-0.44338369209357575,1127,Occipital,L
b'17Networks_LH_ContB_PFCl_1',Wang_b'17Networks_LH_ContB_PFCl_1',b'17Networks_LH_ContB_PFCl_1',0.0,,,False,,680,Frontal,L
b'17Networks_LH_VisPeri_StriCal_1',Wang_b'17Networks_LH_VisPeri_StriCal_1',b'17Networks_LH_VisPeri_StriCal_1',-5.429776069703629,0.0,-101.15904113762817,True,-3.299444118862143,940,Occipital,L
b'17Networks_RH_DefaultB_AntTemp_1',Wang_b'17Networks_RH_DefaultB_AntTemp_1',b'17Networks_RH_DefaultB_AntTemp_1',-1.6352447213056445,0.0,-78.05525761226542,True,-2.398579852279119,1059,Frontal,R
b'17Networks_LH_SalVentAttnA_FrOper_2',Wang_b'17Networks_LH_SalVentAttnA_FrOper_2',b'17Networks_LH_SalVentAttnA_FrOper_2',-0.20760915561771942,1.0386871280392814e-09,-6.223483745926501,True,-0.27972479236972464,495,Frontal,L
b'17Networks_LH_LimbicA_TempPole_2',Wang_b'17Networks_LH_LimbicA_TempPole_2',b'17Networks_LH_LimbicA_TempPole_2',0.5761550786803942,4.9532918174283884e-54,16.434295270607144,True,0.5138226784685573,1023,Temporal,L
