roi_name,roi_id,replaced_glasser_id,overlap_voxels,roi_coverage,glasser_coverage
LO,180,137,530,12.48527679623086,25.929549902152644
LO,180,138,530,12.48527679623086,27.99788695192816
LO,180,139,528,12.438162544169613,33.22844556324733
LO,180,157,369,8.692579505300353,63.730569948186535
LO,180,156,367,8.645465253239106,62.73504273504273
LO,180,158,297,6.996466431095406,40.909090909090914
LO,180,18,187,4.405182567726737,21.420389461626574
LO,180,21,181,4.263839811542992,96.27659574468085
LO,180,23,159,3.745583038869258,65.70247933884298
LO,180,136,144,3.3922261484098937,5.995004163197335
LO,180,140,142,3.3451118963486453,12.956204379562045
LO,180,22,136,3.2037691401649,47.55244755244755
LO,180,6,106,2.497055359246172,11.19324181626188
LO,180,2,88,2.0730270906949353,88.0
LO,180,20,76,1.7903415783274441,41.988950276243095
LO,180,159,53,1.248527679623086,8.128834355828221
LO,180,163,32,0.7538280329799765,2.1739130434782608
LO,180,5,15,0.35335689045936397,0.984251968503937
LO,180,7,11,0.2591283863368669,3.133903133903134
PFS,181,18,289,14.744897959183673,33.10423825887743
PFS,181,135,277,14.13265306122449,10.480514566780174
PFS,181,136,277,14.13265306122449,11.532056619483763
PFS,181,163,274,13.979591836734695,18.61413043478261
PFS,181,154,162,8.26530612244898,18.45102505694761
PFS,181,126,149,7.6020408163265305,8.94357743097239
PFS,181,127,149,7.6020408163265305,10.149863760217984
PFS,181,155,126,6.428571428571428,25.0
PFS,181,138,93,4.744897959183674,4.91283676703645
PFS,181,153,70,3.571428571428571,8.111239860950175
PFS,181,160,59,3.010204081632653,9.276729559748427
PFS,181,120,13,0.6632653061224489,1.1627906976744187
PFS,181,6,5,0.25510204081632654,0.5279831045406547
aIPS,182,145,607,7.072943369843859,60.51844466600199
aIPS,182,146,558,6.501980890235376,44.89139179404666
aIPS,182,144,453,5.278489862502913,33.78076062639821
aIPS,182,45,392,4.567699836867863,70.0
aIPS,182,42,322,3.7520391517128875,90.70422535211267
aIPS,182,49,265,3.0878583080866933,98.14814814814815
aIPS,182,46,254,2.95968305756234,100.0
aIPS,182,48,246,2.866464693544628,98.00796812749005
aIPS,182,151,224,2.6101141924959217,12.081984897518879
aIPS,182,152,224,2.6101141924959217,14.035087719298245
aIPS,182,50,201,2.3421113959450013,100.0
aIPS,182,47,193,2.2488930319272895,37.91748526522593
aIPS,182,29,191,2.2255884409228615,63.24503311258278
aIPS,182,15,177,2.0624563038918664,21.55907429963459
aIPS,182,17,169,1.9692379398741553,91.84782608695652
aIPS,182,117,131,1.5264507107900256,11.759425493716337
aIPS,182,143,122,1.4215800512701002,10.12448132780083
aIPS,182,95,93,1.083663481705896,96.875
aIPS,182,16,92,1.072011186203682,40.707964601769916
aIPS,182,142,73,0.8506175716616173,6.266094420600858
aIPS,182,39,70,0.8156606851549755,15.873015873015872
aIPS,182,149,41,0.4777441155907714,1.267387944358578
aIPS,182,13,34,0.3961780470752739,8.037825059101655
aIPS,182,19,21,0.24469820554649263,33.33333333333333
aIPS,182,30,18,0.20974131903985083,4.0
aIPS,182,27,17,0.19808902353763694,4.096385542168675
aIPS,182,37,13,0.15147984152878116,3.5135135135135136
aIPS,182,52,8,0.0932183640177115,0.7532956685499058
aIPS,182,3,6,0.06991377301328362,1.8018018018018018
aIPS,182,5,2,0.023304591004427874,0.13123359580052493
aIPS,182,36,1,0.011652295502213937,0.2857142857142857
pIPS,183,144,830,11.30328203731445,61.89410887397464
pIPS,183,145,708,9.641835761950157,70.58823529411765
pIPS,183,146,694,9.451177992646057,55.832662912308926
pIPS,183,143,567,7.721639656816015,47.05394190871369
pIPS,183,142,555,7.558218711698215,47.63948497854077
pIPS,183,152,539,7.340324118207817,33.771929824561404
pIPS,183,151,539,7.340324118207817,29.072276159654802
pIPS,183,13,219,2.9824322483998364,51.77304964539007
pIPS,183,16,218,2.968813836306687,96.46017699115043
pIPS,183,15,199,2.7100640065368378,24.238733252131546
pIPS,183,46,199,2.7100640065368378,78.34645669291339
pIPS,183,50,197,2.682827182350538,98.00995024875621
pIPS,183,17,184,2.505787825139589,100.0
pIPS,183,141,116,1.5797358028053927,12.159329140461216
pIPS,183,3,115,1.566117390712243,34.53453453453454
pIPS,183,49,109,1.4844069181533435,40.370370370370374
pIPS,183,48,70,0.9532888465204957,27.88844621513944
pIPS,183,5,59,0.8034863134958464,3.871391076115486
pIPS,183,19,59,0.8034863134958464,93.65079365079364
pIPS,183,158,45,0.6128285441917471,6.198347107438017
pIPS,183,159,45,0.6128285441917471,6.901840490797547
pIPS,183,45,40,0.5447364837259976,7.142857142857142
pIPS,183,29,33,0.449407599073948,10.927152317880795
pIPS,183,149,32,0.435789186980798,0.9891808346213292
pIPS,183,6,26,0.3540787144218984,2.7455121436114043
pIPS,183,95,7,0.09532888465204957,7.291666666666667
pIPS,183,47,4,0.05447364837259975,0.7858546168958742
pIPS,183,42,1,0.013618412093149937,0.28169014084507044
