ROI1,ROI2,Covariance,Precision
L LOC,R LOC,0.2760736098900666,-0.07274317604575901
L LOC,L IPS,-0.02210729459535473,0.12697225623318603
L LOC,R IPS,0.04606312265565605,0.008550318192156342
L LOC,L Ant IPS,-0.04451598200181247,0.02542455236255093
L LOC,R Ant IPS,-0.0995970862224798,0.020296752104502786
R LOC,L IPS,-0.03109094662951007,0.03590915467346275
R LOC,R IPS,-0.024410860335596644,0.1291983171165938
R LOC,L Ant IPS,-0.05839477154485072,0.007186583001106455
R LOC,R Ant IPS,-0.13984526788663165,0.033795461753317754
L IPS,R IPS,0.5499233088623239,-0.602667804555905
L IPS,L Ant IPS,0.15114057710816797,-0.0010421932461359658
L IPS,R Ant IPS,0.19485769422269072,-0.02256441037393295
R IPS,L Ant IPS,0.16735859112586934,-0.011014737722101596
R IPS,R Ant IPS,0.17335151779556668,-0.030393300064669653
L Ant IPS,R Ant IPS,0.2885858835835218,-0.2079139635192651
