Region,Clustering_Coefficient,Community
L_V1,0.262681914357022,0
L_MST,0.15055484979540637,1
L_V6,0.21001471265583865,0
L_V2,0.30062528163151475,0
L_V3,0.22665032930078716,1
L_V4,0.18024168957052886,1
L_V8,0.1332661498547475,1
L_4,0.35145943737712804,2
L_3b,0.33310253443257154,2
L_FEF,0.30063265180873266,2
L_PEF,0.2738913238405872,2
L_55b,0.3090830572364452,2
L_V3A,0.06137671192729705,0
L_RSC,0.3141962584121977,0
L_POS2,0.25346881631970636,0
L_V7,0.06347680908177093,0
L_IPS1,0.18581226728223002,0
L_FFC,0.2408806059370083,1
L_V3B,0.10264424875245588,0
L_LO1,0.024185252398492403,1
L_LO2,0.0,3
L_PIT,0.033041362446567725,1
L_MT,0.07422584617108569,0
L_A1,0.30886665707728755,2
L_PSL,0.26785525253751025,0
L_SFL,0.27897988308899163,2
L_PCV,0.2751673498015298,0
L_STV,0.2643281750023862,0
L_7Pm,0.21156839419889176,0
L_7m,0.2740269282888479,0
L_POS1,0.2755207629751498,0
L_23d,0.30308035392850846,0
L_v23ab,0.2762299742956549,0
L_d23ab,0.28962522892377685,0
L_31pv,0.29564023458444594,0
L_5m,0.30510726546870787,0
L_5mv,0.3105853262336471,0
L_23c,0.31049095825223827,0
L_5L,0.2528827515041354,0
L_24dd,0.32411721866843113,2
L_24dv,0.2899876175683728,2
L_7AL,0.20724306088878305,0
L_SCEF,0.3082794629217272,2
L_6ma,0.2839973557812788,2
L_7Am,0.17170502659160114,0
L_7PL,0.05496328722838343,0
L_7PC,0.25871947197310124,0
L_LIPv,0.2708199624696495,0
L_VIP,0.14805382770328193,0
L_MIP,0.22596510217205876,0
L_1,0.27921799269765996,2
L_2,0.3251300394685466,0
L_3a,0.3405159884555837,2
L_6d,0.294272059227313,2
L_6mp,0.3031323718441296,2
L_6v,0.2772700135021332,2
L_p24pr,0.29527022375564277,4
L_33pr,0.21088835855103114,4
L_a24pr,0.22323153787287248,4
L_p32pr,0.27346661104095954,2
L_a24,0.18560554746155614,4
L_d32,0.238014774336713,4
L_8BM,0.3020565476051286,2
L_p32,0.1811358892531486,4
L_10r,0.1712563991279097,4
L_47m,0.16941404589779294,4
L_8Av,0.30573845356995205,2
L_8Ad,0.2814544966381458,4
L_9m,0.2536334151909771,4
L_8BL,0.28223476504878336,2
L_9p,0.2609010647326456,4
L_10d,0.23943666288192617,4
L_8C,0.28016312323868364,2
L_44,0.30170857900822784,2
L_45,0.2882591454297753,2
L_47l,0.22033819674863273,4
L_a47r,0.24378902038176306,4
L_6r,0.31386034723727574,2
L_IFJa,0.2416745247998413,2
L_IFJp,0.22975268143256147,2
L_IFSp,0.26526357773076126,2
L_IFSa,0.29670992156616793,2
L_p9-46v,0.27687824742373107,2
L_46,0.28276732983540426,2
L_a9-46v,0.2700555300430251,2
L_9-46d,0.2616147125349629,2
L_9a,0.24477909624305058,4
L_10v,0.13705117084736984,4
L_a10p,0.1862545277472516,4
L_10pp,0.1266101797908652,4
L_11l,0.18784026515990615,4
L_13l,0.1812092314881644,4
L_OFC,0.0818745613798605,4
L_47s,0.1938727974866306,4
L_LIPd,0.27801055229451926,0
L_6a,0.30050261332143036,2
L_i6-8,0.30881695613112875,2
L_s6-8,0.27278918789526585,2
L_43,0.3172192473669635,2
L_OP4,0.3143673616894913,2
L_OP1,0.30186097280051677,2
L_OP2-3,0.2899578942350967,2
L_52,0.2545942202595371,1
L_RI,0.3007012849017889,0
L_PFcm,0.3098642429643808,2
L_PoI2,0.3150878496929926,4
L_TA2,0.2944542278746473,4
L_FOP4,0.258532247109389,2
L_MI,0.27165817689654054,2
L_Pir,0.22728375482955823,4
L_AVI,0.2361119441688118,4
L_AAIC,0.21503338756187407,4
L_FOP1,0.29133869479631397,2
L_FOP3,0.2479619779595079,2
L_FOP2,0.2745511689026187,2
L_PFt,0.2895038354714991,0
L_AIP,0.2987449407632095,0
L_EC,0.2617534802477396,2
L_PreS,0.3138440772588656,0
L_H,0.3122260880898881,1
L_ProS,0.28110950523379075,0
L_PeEc,0.2657250301992003,1
L_STGa,0.21754942186620657,4
L_PBelt,0.3256133951310842,2
L_A5,0.3078515443340423,4
L_PHA1,0.32166681472626973,0
L_PHA3,0.29550441062105826,1
L_STSda,0.28011464595588303,4
L_STSdp,0.31033801837205927,1
L_STSvp,0.2842414891865879,1
L_TGd,0.17004881405798447,4
L_TE1a,0.18435999742886078,4
L_TE1p,0.16954930475390592,1
L_TE2a,0.18008366663865438,1
L_TF,0.27990861433298303,1
L_TE2p,0.26981553495582433,1
L_PHT,0.13325807976872778,1
L_PH,0.17431865492962295,1
L_TPOJ1,0.3018028968292789,0
L_TPOJ2,0.20399529806177766,0
L_TPOJ3,0.20718400435423878,0
L_DVT,0.2776592090968404,0
L_PGp,0.06630533871003903,0
L_IP2,0.2799888658258218,0
L_IP1,0.2240259937447694,0
L_IP0,0.16968849761739518,0
L_PFop,0.28982991590016216,2
L_PF,0.2906550908893231,0
L_PFm,0.24717878911192573,0
L_PGi,0.26659156227309394,0
L_PGs,0.1133458949548354,0
L_V6A,0.03701485506428461,2
L_VMV1,0.28682048371463065,0
L_VMV3,0.24617139363915486,1
L_PHA2,0.29844433286067445,1
L_V4t,0.027489410285153646,1
L_FST,0.15208086308976806,1
L_V3CD,0.06249918741421079,0
L_LO3,0.03506702928502004,1
L_VMV2,0.24552011337569984,1
L_31pd,0.28484448901815557,0
L_31a,0.29634831442513604,0
L_VVC,0.2883933828218798,1
L_25,0.05804847579497559,4
L_s32,0.07556129838504384,4
L_pOFC,0.14203666646917398,4
L_PoI1,0.2745447967626497,1
L_Ig,0.2680795311683729,2
L_FOP5,0.24839644542950795,2
L_p10p,0.24468249470743614,4
L_p47r,0.2876095874001495,4
L_TGv,0.15844680640400147,1
L_MBelt,0.30545011885870266,4
L_LBelt,0.31148974609288455,2
L_A4,0.30915192076866443,4
L_STSva,0.2451202461638217,4
L_TE1m,0.20523011625548432,1
L_PI,0.24806110582733107,4
L_a32pr,0.24464034722270334,4
L_p24,0.18292282698260728,4
