ROI_ID,Mean_Difference,Std_Error,Signal_to_Noise,p_value,Subject_to_Group_Correlation,Above_Lower_Bound,ROI_Name,Significant_Bonferroni,Significant
1,0.029534057,0.007899364231456152,3.639069922226351,0.0018767423184733816,0.4740458746489726,False,7Networks_LH_Vis_1,False,False
2,0.022814907,0.0049691401148061354,4.468861881869857,0.00029670081343641355,0.42261772372723116,False,7Networks_LH_Vis_2,False,False
3,0.07627419,0.01094046466813235,6.7858034903052875,2.348193775253183e-06,0.5419561949215437,False,7Networks_LH_Vis_3,True,False
4,0.059035648,0.008704761779671272,6.601108895066531,3.3698181811282896e-06,0.5501354236743952,False,7Networks_LH_Vis_4,True,False
5,0.049222123,0.00744114290161499,6.438432531035998,4.649817015177847e-06,0.5415453772354675,False,7Networks_LH_Vis_5,True,False
6,0.035563976,0.006967241487883109,4.968312379045297,9.943673681975499e-05,0.43679786657326314,False,7Networks_LH_Vis_6,True,False
7,0.041309986,0.008116189870711112,4.954072133153231,0.00010255450800197463,0.4431983154071005,False,7Networks_LH_Vis_7,True,False
8,0.029030887,0.005516473924464232,5.122219745162025,7.131607830992582e-05,0.5466241874781094,False,7Networks_LH_Vis_8,True,False
9,0.053989958,0.01098018236250491,4.785891780020696,0.0001478834470805999,0.4750437462016156,False,7Networks_LH_Vis_9,True,False
10,0.05601848,0.008578150251460973,6.356193660055754,5.479140643867431e-06,0.561553160414884,False,7Networks_LH_Vis_10,True,False
11,0.033494774,0.004910713918966864,6.638834822596753,3.128963202293255e-06,0.6153529321676806,False,7Networks_LH_Vis_11,True,False
12,0.054953262,0.009584668570474313,5.580535067267128,2.690606237541693e-05,0.5373150453363594,False,7Networks_LH_Vis_12,True,False
13,0.078816116,0.008325251103679097,9.21461353881572,3.0966646616160414e-08,0.6739754274879631,False,7Networks_LH_Vis_13,True,False
14,0.06803495,0.010129354704768946,6.537470027100797,3.820526277489628e-06,0.5573704968157568,False,7Networks_LH_Vis_14,True,False
15,0.01338952,0.0028285883802095647,4.6073871726122775,0.00021866877243780557,0.44125752778429733,False,7Networks_LH_SomMot_1,True,False
16,0.020970052,0.00609927487542188,3.346422408025885,0.003593238979020271,0.43768773404391187,False,7Networks_LH_SomMot_2,False,False
17,0.020134391,0.008670298413295667,2.260288710063706,0.03643378778511603,0.3970343545079231,False,7Networks_LH_SomMot_3,False,False
18,0.02469024,0.007081913265071699,3.393393124427475,0.0032385466084122903,0.5231499066086192,False,7Networks_LH_SomMot_4,False,False
19,0.0253878,0.009670712037305388,2.555206817014978,0.01988207720786223,0.46649469552855743,False,7Networks_LH_SomMot_5,False,False
20,0.012743348,0.002347040286879318,5.2847256684645805,5.0340516717324475e-05,0.4595368271203418,False,7Networks_LH_SomMot_6,True,False
21,0.021267207,0.005291383914400787,3.9120162712144926,0.0010216894059398127,0.5012100880083284,False,7Networks_LH_SomMot_7,False,False
22,0.019411776,0.006538304832078978,2.8897452528866827,0.009759081283047937,0.46790492024860886,False,7Networks_LH_SomMot_8,False,False
23,0.017629543,0.004303286510424268,3.9874960014268765,0.0008635475505590953,0.4769997192840827,False,7Networks_LH_SomMot_9,False,False
24,0.01605788,0.0039264222278352435,3.980619701656681,0.0008768761283838584,0.41151252190435406,False,7Networks_LH_SomMot_10,False,False
25,0.02774256,0.00589952665679723,4.577083081642576,0.00023373852776730904,0.4418956802079552,False,7Networks_LH_SomMot_11,True,False
26,0.016546974,0.004032729213990945,3.993732703141786,0.0008516345939536283,0.44699634003796074,False,7Networks_LH_SomMot_12,False,False
27,0.023377514,0.004748706611914358,4.791620501831626,0.00014604503050419664,0.4839120369992758,False,7Networks_LH_SomMot_13,True,False
28,0.018977031,0.006691038438237704,2.7605409329061117,0.012879268744938093,0.42590611820158203,False,7Networks_LH_SomMot_14,False,False
29,0.0173648,0.0037279213565937362,4.533801428346776,0.0002571093655272187,0.4418726520318734,False,7Networks_LH_SomMot_15,False,False
30,0.016375424,0.0037562142206697285,4.243279555998599,0.0004889011174944052,0.5084949033825021,False,7Networks_LH_SomMot_16,False,False
31,0.030059861,0.006547768690418972,4.468410914802257,0.0002969963418846977,0.44341864044729035,False,7Networks_LH_DorsAttn_Post_1,False,False
32,0.031708788,0.006959777487629139,4.434490577693535,0.0003201015963304414,0.4548911469939508,False,7Networks_LH_DorsAttn_Post_2,False,False
33,0.06121333,0.009488126703331821,6.27949867488961,6.390541704781025e-06,0.5892268278096852,False,7Networks_LH_DorsAttn_Post_3,True,False
34,0.028247366,0.006741904486799639,4.07807117110177,0.0007058355722993119,0.49786656938101115,False,7Networks_LH_DorsAttn_Post_4,False,False
35,0.02884161,0.0078041667133603755,3.59709913975983,0.0020604519615991523,0.4467014772449865,False,7Networks_LH_DorsAttn_Post_5,False,False
36,0.02833663,0.0065987637896522695,4.179699480125559,0.0005630503650064076,0.45189773031559427,False,7Networks_LH_DorsAttn_Post_6,False,False
37,0.04119597,0.0067430009901861205,5.946493867468144,1.2577487351964098e-05,0.5442086936611878,False,7Networks_LH_DorsAttn_Post_7,True,False
38,0.03451707,0.0059705528132186604,5.627024478614896,2.440607528497446e-05,0.4868274202668353,False,7Networks_LH_DorsAttn_Post_8,True,False
39,0.045546915,0.008269013214091648,5.361233805576064,4.276933240590908e-05,0.47683313926436793,False,7Networks_LH_DorsAttn_Post_9,True,False
40,0.033124283,0.006489719390911297,4.9679819668243255,9.950797026525382e-05,0.5399076322975912,False,7Networks_LH_DorsAttn_Post_10,True,False
41,0.01877177,0.004016692317813511,4.548792212525071,0.0002487578061106935,0.3719927090171136,False,7Networks_LH_DorsAttn_FEF_1,True,False
42,0.032625176,0.006284977936873146,5.052525845926204,8.287632609889304e-05,0.4719968116597125,False,7Networks_LH_DorsAttn_FEF_2,True,False
43,0.0148877185,0.003091681890048969,4.686976590060488,0.00018361687469801803,0.4643410828552748,False,7Networks_LH_DorsAttn_PrCv_1,True,False
44,0.024653375,0.007588915321368002,3.161958287829639,0.005394936022331299,0.532690633676554,False,7Networks_LH_SalVentAttn_ParOper_1,False,False
45,0.028048374,0.006433585767429187,4.243400658162103,0.0004887697166755143,0.45830706546181127,False,7Networks_LH_SalVentAttn_ParOper_2,False,False
46,0.025093123,0.0038433170140382503,6.354888648112417,5.493468923419321e-06,0.5797647321106572,False,7Networks_LH_SalVentAttn_ParOper_3,True,False
47,0.013284319,0.002197717763449585,5.883379106569616,1.4322890988130209e-05,0.5983874915461791,False,7Networks_LH_SalVentAttn_FrOperIns_1,True,False
48,0.023528775,0.008303438976298113,2.758041273315911,0.012948196859222777,0.5230915264079445,False,7Networks_LH_SalVentAttn_FrOperIns_2,False,False
49,0.023083866,0.009852962352317536,2.280348173901875,0.03499056803718118,0.43739170130146177,False,7Networks_LH_SalVentAttn_FrOperIns_3,False,False
50,0.021055274,0.00830830187907994,2.466653152728705,0.023905822307160186,0.3326432073586865,False,7Networks_LH_SalVentAttn_FrOperIns_4,False,False
51,0.020454014,0.0045432323038981015,4.382006934490153,0.0003594922616445114,0.49329559622626556,False,7Networks_LH_SalVentAttn_PFCl_1,False,False
52,0.018229667,0.005000372086556416,3.5484270402413567,0.0022959527758835523,0.49904784903322397,False,7Networks_LH_SalVentAttn_Med_1,False,False
53,0.03482895,0.007662463093722258,4.424166295916476,0.0003274892448082035,0.4979106179977718,False,7Networks_LH_SalVentAttn_Med_2,False,False
54,0.019093195,0.005147785557422194,3.610086527049408,0.002001773344295662,0.4824163886277299,False,7Networks_LH_SalVentAttn_Med_3,False,False
55,0.011966658,0.004147145881077536,2.808555448053508,0.01162162239786842,0.48204044850641176,False,7Networks_LH_Limbic_OFC_1,False,False
56,0.0077524493,0.002071478003729637,3.6426552412605946,0.0018618254548053808,0.35902823468572215,False,7Networks_LH_Limbic_OFC_2,False,False
57,0.009734702,0.0044761896254847736,2.116769914144544,0.04846913528626219,0.32206049698748085,False,7Networks_LH_Limbic_TempPole_1,False,False
58,0.008410347,0.0014790215413654185,5.534760897191871,2.962516799764752e-05,0.4840161023955596,False,7Networks_LH_Limbic_TempPole_2,True,False
