ROI_ID,Mean_Difference,Std_Error,Signal_to_Noise,CI_Lower,CI_Upper,Direction_Consistency,p_value,Significant_Bonferroni,Above_Reliability_Threshold,Above_SNR_Threshold,ROI_Name,Significant
1,0.029534057,0.0078993635,3.7387893,0.016427512699738144,0.04690277110785246,0.36842105,0.0018767423184733816,False,True,True,7Networks_LH_Vis_1,True
2,0.022814907,0.00496914,4.591319,0.013703487766906618,0.03312803115695715,0.47368422,0.0002967008707772712,False,True,True,7Networks_LH_Vis_2,True
3,0.07627418,0.010940465,6.9717493,0.05539790205657482,0.09802274461835621,1.0,2.348194025522284e-06,True,True,True,7Networks_LH_Vis_3,True
4,0.059035648,0.008704761,6.7819953,0.04230093965306878,0.07615938689559698,0.7894737,3.369819392289034e-06,True,True,True,7Networks_LH_Vis_4,True
5,0.04922213,0.0074411426,6.614862,0.034733543265610935,0.06385336387902497,0.7894737,4.649817709169692e-06,True,True,True,7Networks_LH_Vis_5,True
6,0.035563976,0.0069672414,5.104456,0.022507920349016785,0.049639192689210174,0.8947368,9.943671370216292e-05,True,True,True,7Networks_LH_Vis_6,True
7,0.04130999,0.008116189,5.0898256,0.026194282760843634,0.05792008796706795,0.47368422,0.00010255454036593428,True,True,True,7Networks_LH_Vis_7,True
8,0.029030887,0.005516473,5.262581,0.018919200683012605,0.040403951331973074,0.2631579,7.131608455766574e-05,True,True,True,7Networks_LH_Vis_8,True
9,0.053989958,0.010980182,4.9170365,0.033878575824201104,0.07661096286028624,0.57894737,0.0001478834470805999,True,True,True,7Networks_LH_Vis_9,True
10,0.05601847,0.00857815,6.530368,0.03984538074582815,0.07339021041989326,0.68421054,5.479139574876058e-06,True,True,True,7Networks_LH_Vis_10,True
11,0.033494774,0.004910714,6.8207545,0.02438137480057776,0.043503403663635254,0.57894737,3.128963611286313e-06,True,True,True,7Networks_LH_Vis_11,True
12,0.054953266,0.009584668,5.733455,0.03729587281122804,0.0746822142973542,0.8947368,2.690606348252913e-05,True,True,True,7Networks_LH_Vis_12,True
13,0.078816116,0.008325252,9.467115,0.06233310140669346,0.09481256194412709,1.0,3.0966653102440794e-08,True,True,True,7Networks_LH_Vis_13,True
14,0.06803495,0.010129355,6.716612,0.04853173587471247,0.08826343063265082,0.7894737,3.820525346401485e-06,True,True,True,7Networks_LH_Vis_14,True
15,0.01338952,0.0028285885,4.73364,0.008246089704334736,0.01927792062051594,0.57894737,0.00021866877243780557,True,True,True,7Networks_LH_SomMot_1,True
16,0.020970052,0.0060992744,3.4381225,0.010980531619861723,0.03434718279168009,0.15789473,0.003593238863790114,False,True,True,7Networks_LH_SomMot_2,True
17,0.020134388,0.008670297,2.3222258,0.008166854549199343,0.039374975673854354,0.36842105,0.036433788851187,False,True,True,7Networks_LH_SomMot_3,True
18,0.02469024,0.007081913,3.48638,0.01377836896572262,0.04055600650608538,0.47368422,0.0032385467257599553,False,True,True,7Networks_LH_SomMot_4,True
19,0.025387801,0.009670712,2.6252255,0.011845617182552814,0.046866252366453406,0.68421054,0.019882075925212902,False,True,True,7Networks_LH_SomMot_5,True
20,0.012743346,0.0023470402,5.429539,0.008348419168032705,0.017471949942409987,0.2631579,5.0340500095124047e-05,True,True,True,7Networks_LH_SomMot_6,True
21,0.021267207,0.0052913832,4.019215,0.012605785764753819,0.03285570330917835,0.05263158,0.0010216895085204305,False,True,True,7Networks_LH_SomMot_7,True
22,0.019411778,0.0065383045,2.9689314,0.009512068843469024,0.03401395138353109,0.47368422,0.009759082775160076,False,True,True,7Networks_LH_SomMot_8,True
23,0.017629543,0.0043032863,4.0967627,0.010107661876827479,0.02684887633658945,0.2631579,0.0008635475171680117,False,True,True,7Networks_LH_SomMot_9,True
24,0.01605788,0.003926422,4.0896983,0.008988248929381371,0.02426604186184704,0.15789473,0.0008768759047570556,False,True,True,7Networks_LH_SomMot_10,True
25,0.02774256,0.0058995266,4.702506,0.017069115396589042,0.04005950037389991,0.15789473,0.00023373853321998224,True,True,True,7Networks_LH_SomMot_11,True
26,0.016546974,0.004032729,4.10317,0.009461990953423084,0.02515220791101455,0.2631579,0.0008516346127307122,False,True,True,7Networks_LH_SomMot_12,True
27,0.023377515,0.0047487067,4.9229226,0.014807415823452175,0.033329597767442445,0.68421054,0.0001460450277729384,True,True,True,7Networks_LH_SomMot_13,True
28,0.01897703,0.006691038,2.8361862,0.008941712882369756,0.0339570527896285,0.36842105,0.012879269155118877,False,True,True,7Networks_LH_SomMot_14,True
29,0.017364802,0.0037279213,4.6580386,0.010605269577354193,0.025194117054343216,0.57894737,0.0002571094549233236,False,True,True,7Networks_LH_SomMot_15,True
30,0.016375424,0.0037562142,4.3595557,0.009848259924910962,0.024406969640403984,0.36842105,0.0004889010780268569,False,True,True,7Networks_LH_SomMot_16,True
31,0.030059861,0.006547768,4.590856,0.018083094013854863,0.04368083691224456,0.7894737,0.0002969963363755701,False,True,True,7Networks_LH_DorsAttn_Post_1,True
32,0.03170879,0.006959778,4.5560064,0.01900385692715645,0.04613882331177592,0.2631579,0.0003201016276538276,False,True,True,7Networks_LH_DorsAttn_Post_2,True
33,0.061213344,0.009488126,6.4515734,0.04367747139185667,0.08063480798155068,0.57894737,6.390540692816748e-06,True,True,True,7Networks_LH_DorsAttn_Post_3,True
34,0.028247366,0.006741904,4.1898203,0.016741250129416584,0.04272814765572547,0.57894737,0.0007058356404713117,False,True,True,7Networks_LH_DorsAttn_Post_4,True
35,0.028841605,0.0078041665,3.6956675,0.015595057979226112,0.04561862386763096,0.2631579,0.002060451874306746,False,True,True,7Networks_LH_DorsAttn_Post_5,True
36,0.02833663,0.006598763,4.2942333,0.01657624412328005,0.042184625938534726,0.2631579,0.0005630504521503517,False,True,True,7Networks_LH_DorsAttn_Post_6,True
37,0.041195966,0.006743001,6.1094413,0.028601861093193293,0.054887562245130535,0.47368422,1.2577488714526103e-05,True,True,True,7Networks_LH_DorsAttn_Post_7,True
38,0.034517072,0.0059705526,5.781219,0.02312360843643546,0.046379117015749205,0.15789473,2.440607853821469e-05,True,True,True,7Networks_LH_DorsAttn_Post_8,True
39,0.045546915,0.008269012,5.508145,0.029827189957723023,0.06214359952136873,0.68421054,4.27693140126793e-05,True,True,True,7Networks_LH_DorsAttn_Post_9,True
40,0.033124287,0.0064897197,5.1041164,0.02153446045704186,0.04688060749322175,0.68421054,9.950797846910215e-05,True,True,True,7Networks_LH_DorsAttn_Post_10,True
41,0.01877177,0.0040166923,4.67344,0.011241708206944168,0.02688125306740403,0.05263158,0.00024875778743209745,True,True,True,7Networks_LH_DorsAttn_FEF_1,True
42,0.032625172,0.006284978,5.1909766,0.021123783942312003,0.045675274543464185,0.68421054,8.287631502779135e-05,True,True,True,7Networks_LH_DorsAttn_FEF_2,True
43,0.014887722,0.0030916822,4.8154116,0.009218523744493723,0.021273487340658898,0.15789473,0.00018361688265363947,True,True,True,7Networks_LH_DorsAttn_PrCv_1,True
44,0.024653379,0.007588915,3.2486038,0.013646703492850066,0.04165346110239625,0.47368422,0.0053949357079278205,False,True,True,7Networks_LH_SalVentAttn_ParOper_1,True
45,0.028048374,0.0064335857,4.3596797,0.016992581216618417,0.04183205692097545,0.57894737,0.0004887697884100169,False,True,True,7Networks_LH_SalVentAttn_ParOper_2,True
46,0.025093123,0.0038433168,6.529028,0.017869514971971513,0.032919436506927004,0.36842105,5.493469495418203e-06,True,True,True,7Networks_LH_SalVentAttn_ParOper_3,True
47,0.013284319,0.0021977178,6.044597,0.009279756504110993,0.017843579221516834,0.68421054,1.4322889174570976e-05,True,True,True,7Networks_LH_SalVentAttn_FrOperIns_1,True
48,0.023528777,0.008303438,2.8336186,0.012226729234680534,0.04187899492681024,0.2631579,0.012948193827897317,False,True,True,7Networks_LH_SalVentAttn_FrOperIns_2,True
49,0.023083862,0.009852963,2.3428347,0.009955487702973187,0.044765255786478504,0.36842105,0.034990567502325216,False,True,True,7Networks_LH_SalVentAttn_FrOperIns_3,True
50,0.021055274,0.008308302,2.5342453,0.00850845177192241,0.03972521414980292,0.2631579,0.023905820596273466,False,True,True,7Networks_LH_SalVentAttn_FrOperIns_4,True
51,0.020454014,0.0045432323,4.5020843,0.012475904379971326,0.030115148192271582,0.2631579,0.00035949226845186246,False,True,True,7Networks_LH_SalVentAttn_PFCl_1,True
52,0.018229667,0.005000372,3.6456623,0.010349236079491675,0.029333854652941218,0.05263158,0.00229595265911678,False,True,True,7Networks_LH_SalVentAttn_Med_1,True
53,0.03482895,0.007662462,4.545399,0.021543120592832567,0.051300235465168924,0.7894737,0.0003274891128881144,False,True,True,7Networks_LH_SalVentAttn_Med_2,True
54,0.019093197,0.0051477845,3.7090125,0.010683548892848194,0.030417423462495197,0.15789473,0.0020017728062448887,False,True,True,7Networks_LH_SalVentAttn_Med_3,True
55,0.011966658,0.004147146,2.8855164,0.005931941838935017,0.021230456652119742,0.36842105,0.0116216214135956,False,True,True,7Networks_LH_Limbic_OFC_1,True
56,0.0077524483,0.002071478,3.7424722,0.004113961418624967,0.012145331455394625,0.05263158,0.0018618251357409978,False,True,True,7Networks_LH_Limbic_OFC_2,True
57,0.009734702,0.0044761896,2.1747744,0.003379678132478148,0.01973044998012483,0.15789473,0.048469136502994066,False,True,True,7Networks_LH_Limbic_TempPole_1,True
58,0.008410346,0.0014790215,5.6864257,0.005602372298017144,0.011407124018296596,0.36842105,2.9625167202259903e-05,True,True,True,7Networks_LH_Limbic_TempPole_2,True
59,0.0080928,0.002210973,3.6602888,0.004331533832009882,0.01285834307782352,0.15789473,0.0022244319415113127,False,True,True,7Networks_LH_Limbic_TempPole_3,True
60,0.013770926,0.005241214,2.6274307,0.006134906155057252,0.025474885664880268,0.05263158,0.019792980188482346,False,True,True,7Networks_LH_Limbic_TempPole_4,True
61,0.0230524,0.004812583,4.7900267,0.014273970015347004,0.0330646906979382,0.2631579,0.00019383994283285702,True,True,True,7Networks_LH_Cont_Par_1,True
62,0.028566375,0.0058179577,4.910035,0.017770972009748223,0.0404836137779057,0.36842105,0.000150101042638627,True,True,True,7Networks_LH_Cont_Par_2,True
63,0.028111367,0.007968485,3.527818,0.014504975709132851,0.045262356102466574,0.15789473,0.0029617089020130545,False,True,True,7Networks_LH_Cont_Par_3,True
64,0.018174538,0.0047434038,3.8315394,0.00985051563475281,0.02819987921975553,0.05263158,0.001534971055402018,False,True,True,7Networks_LH_Cont_Temp_1,True
65,0.012579767,0.0026646527,4.7209783,0.007835309160873294,0.01816691872663796,0.47368422,0.00022467494612396835,True,True,True,7Networks_LH_Cont_OFC_1,True
66,0.010511659,0.0035335626,2.9748049,0.004861729743424803,0.018353430740535255,0.36842105,0.009639382846854564,False,True,True,7Networks_LH_Cont_PFCl_1,True
67,0.018806163,0.0063427957,2.9649644,0.00938850250095129,0.03306529261171818,0.05263158,0.009840720012377999,False,True,True,7Networks_LH_Cont_PFCl_2,True
68,0.01731106,0.005468184,3.1657786,0.007953193783760071,0.029097626358270644,0.05263158,0.006436583828255346,False,True,True,7Networks_LH_Cont_PFCl_3,True
69,0.021684831,0.005217841,4.155901,0.012656560516916215,0.03285634126514196,0.36842105,0.0007596576818580151,False,True,True,7Networks_LH_Cont_PFCl_4,True
