ROI_ID,Mean_Difference,Std_Error,SNR,p_value,Direction_Consistency,ROI_Name,Top_10_Percent,Top_25_Percent
1,0.029534057,0.0078993635,3.7387893,0.001876741677280119,1.0,7Networks_LH_Vis_1,False,False
2,0.022814907,0.00496914,4.591319,0.0002967010710056111,1.0,7Networks_LH_Vis_2,False,False
3,0.07627418,0.010940465,6.9717493,2.348199816725268e-06,1.0,7Networks_LH_Vis_3,True,True
4,0.059035648,0.008704761,6.7819953,3.369817271575107e-06,1.0,7Networks_LH_Vis_4,True,True
5,0.04922213,0.0074411426,6.614862,4.649809404779015e-06,1.0,7Networks_LH_Vis_5,True,True
6,0.035563976,0.0069672414,5.104456,9.94368187646723e-05,1.0,7Networks_LH_Vis_6,False,False
7,0.04130999,0.008116189,5.0898256,0.00010255441047469939,1.0,7Networks_LH_Vis_7,False,False
8,0.029030887,0.005516473,5.262581,7.131607923704162e-05,1.0,7Networks_LH_Vis_8,False,False
9,0.053989958,0.010980182,4.9170365,0.00014788335703367416,1.0,7Networks_LH_Vis_9,False,False
10,0.05601847,0.00857815,6.530368,5.479151316591334e-06,1.0,7Networks_LH_Vis_10,False,True
11,0.033494774,0.004910714,6.8207545,3.128965983014794e-06,1.0,7Networks_LH_Vis_11,True,True
12,0.054953266,0.009584668,5.733455,2.690603317644158e-05,1.0,7Networks_LH_Vis_12,False,True
13,0.078816116,0.008325252,9.467115,3.0966660712521494e-08,1.0,7Networks_LH_Vis_13,True,True
14,0.06803495,0.010129355,6.716612,3.820528751111699e-06,1.0,7Networks_LH_Vis_14,True,True
15,0.01338952,0.0028285885,4.73364,0.00021866886943878468,1.0,7Networks_LH_SomMot_1,False,False
16,0.020970052,0.0060992744,3.4381225,0.0035932384804284135,1.0,7Networks_LH_SomMot_2,False,False
17,0.020134388,0.008670297,2.3222258,0.03643381173156002,1.0,7Networks_LH_SomMot_3,False,False
18,0.02469024,0.007081913,3.48638,0.0032385458456253282,1.0,7Networks_LH_SomMot_4,False,False
19,0.025387801,0.009670712,2.6252255,0.019882072742098442,1.0,7Networks_LH_SomMot_5,False,False
20,0.012743346,0.0023470402,5.429539,5.034061511268528e-05,1.0,7Networks_LH_SomMot_6,False,False
21,0.021267207,0.0052913832,4.019215,0.0010216891529893646,1.0,7Networks_LH_SomMot_7,False,False
22,0.019411778,0.0065383045,2.9689314,0.009759078122928292,1.0,7Networks_LH_SomMot_8,False,False
23,0.017629543,0.0043032863,4.0967627,0.0008635477882314529,1.0,7Networks_LH_SomMot_9,False,False
