ROI_ID,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,Bootstrap_Significant,LOO_Reliability,LOO_Significant,Combined_Significant,ROI_Name,Direction
1,0.10980558669880817,0.10278856200411131,0.007017024694696866,0.007017024694696866,-0.009163779773945476,0.02177342538672842,False,0.00018480025791672874,False,False,7Networks_LH_Vis_1,pIPS > LO
2,0.11848657676263859,0.13745204143618284,-0.01896546467354425,0.01896546467354425,-0.03589334654572764,-0.0024662953066198552,True,0.0006053068179715382,False,False,7Networks_LH_Vis_2,LO > pIPS
3,0.135862718679403,0.20085441301527776,-0.06499169433587476,0.06499169433587476,-0.08385825138048908,-0.046912969903726315,True,0.00435306903117687,True,True,7Networks_LH_Vis_3,LO > pIPS
4,0.08286430201444187,0.02510648252638547,0.057757819488056396,0.057757819488056396,0.03723053026172381,0.07780116150939931,True,0.003505555672765492,True,True,7Networks_LH_Vis_4,pIPS > LO
5,0.05292213762080983,0.099356341175735,-0.04643420355492517,0.04643420355492517,-0.06642641247078579,-0.027428449325165482,True,0.0022244609730949173,True,True,7Networks_LH_Vis_5,LO > pIPS
6,0.07156649251517497,0.04558029152318149,0.025986200991993474,0.025986200991993474,0.013767376387534717,0.03788611959676736,True,0.0008006987469196485,False,False,7Networks_LH_Vis_6,pIPS > LO
7,0.06102064617076203,0.029497443391990504,0.03152320277877152,0.03152320277877152,0.011429832388622397,0.0509150057724726,True,0.0013962727649633935,False,False,7Networks_LH_Vis_7,pIPS > LO
8,0.12631981231664358,0.1325223990961125,-0.006202586779468916,0.006202586779468916,-0.02030032259461127,0.008884725739297106,False,0.0001786490087059176,False,False,7Networks_LH_Vis_8,LO > pIPS
9,0.08332857038629682,0.11098048452434964,-0.02765191413805282,0.02765191413805282,-0.045429297134672336,-0.010597451280888273,True,0.0009336804317555677,False,False,7Networks_LH_Vis_9,LO > pIPS
10,0.09956004372552822,0.035940016178708324,0.06362002754681989,0.06362002754681989,0.04503560410322327,0.0829214484063222,True,0.003947795452766335,True,True,7Networks_LH_Vis_10,pIPS > LO
11,0.12323371615064771,0.12975650045432544,-0.0065227843036777255,0.0065227843036777255,-0.01969782832127653,0.007482008738933409,False,0.00018580365085771729,False,False,7Networks_LH_Vis_11,LO > pIPS
12,0.10235880834883765,0.04783784846260555,0.054520959886232095,0.054520959886232095,0.03666478002851363,0.07370956334343645,True,0.0028782284699624804,True,True,7Networks_LH_Vis_12,pIPS > LO
13,0.0901411224806093,4.237907399472437e-05,0.09009874340661458,0.09009874340661458,0.07381309947461552,0.10556478311114723,True,0.008048485472436785,True,True,7Networks_LH_Vis_13,pIPS > LO
14,0.13219364301154488,0.06325022895869456,0.06894341405285032,0.06894341405285032,0.05052162567398658,0.08557095236488077,True,0.004883672331534639,True,True,7Networks_LH_Vis_14,pIPS > LO
15,0.04467609888065214,0.0385195210355481,0.006156577845104039,0.006156577845104039,-0.00028851132481481624,0.012602451279312123,False,7.505550623724946e-05,False,False,7Networks_LH_SomMot_1,pIPS > LO
16,0.06130937751578657,0.05178304923404204,0.009526328281744531,0.009526328281744531,-0.0004115459827804277,0.02158286572973194,False,0.00015024711182725687,False,False,7Networks_LH_SomMot_2,pIPS > LO
17,0.04953817515266373,0.041173205000201336,0.008364970152462396,0.008364970152462396,-0.00300065588748303,0.024559359510864225,False,0.00010583693573720125,False,False,7Networks_LH_SomMot_3,pIPS > LO
18,0.05503109937509228,0.04447796324415034,0.010553136130941936,0.010553136130941936,-0.0022130965730052876,0.024997036528350797,False,0.00021048986804991394,False,False,7Networks_LH_SomMot_4,pIPS > LO
19,0.05798253398633709,0.04476028857262511,0.013222245413711982,0.013222245413711982,-0.0008773877297675161,0.03078327836425926,False,0.00025762981428784456,False,False,7Networks_LH_SomMot_5,pIPS > LO
20,0.05994801904614035,0.06037505000437561,-0.0004270309582352638,0.0004270309582352638,-0.009179177244291889,0.008199067483656104,False,2.1023303817092414e-05,False,False,7Networks_LH_SomMot_6,LO > pIPS
21,0.07622254512419827,0.07711452264706359,-0.0008919775228653226,0.0008919775228653226,-0.011083686698571231,0.009129850911650512,False,2.930926429643543e-05,False,False,7Networks_LH_SomMot_7,LO > pIPS
22,0.06505763388581966,0.0634327730972712,0.0016248607885484545,0.0016248607885484545,-0.008772709798129084,0.011712773992238853,False,3.353582869801967e-05,False,False,7Networks_LH_SomMot_8,pIPS > LO
