ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_pvalue,pIPS_pvalue_corrected,LO_pvalue,LO_pvalue_corrected,pIPS_LOO_Reliability,LO_LOO_Reliability,pIPS_Bootstrap_Significant_FDR,LO_Bootstrap_Significant_FDR,pIPS_LOO_Significant,LO_LOO_Significant,pIPS_Combined_Significant,LO_Combined_Significant,Both_Networks_Significant
1,7Networks_LH_Vis_1,0.09625672517965238,0.06584884845910387,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
2,7Networks_LH_Vis_2,0.08939977642148733,0.0942978754432665,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
3,7Networks_LH_Vis_3,0.025953458505682647,0.08405267369622986,0.0,0.0,0.0,0.0,0.9444444444444444,1.0,True,True,True,True,True,True,True
4,7Networks_LH_Vis_4,0.11313291887442271,-0.026347908993355103,0.0,0.0,0.2444,0.273072625698324,1.0,0.7222222222222222,True,False,True,False,True,False,False
5,7Networks_LH_Vis_5,0.004728238615724776,0.09951761587419444,0.4296,0.43175879396984923,0.0,0.0,0.6666666666666666,1.0,False,True,False,True,False,True,False
6,7Networks_LH_Vis_6,0.08059697370562288,0.008366245207273297,0.0,0.0,0.7148,0.7331282051282051,1.0,0.2777777777777778,True,False,True,False,True,False,False
7,7Networks_LH_Vis_7,0.07609390343228976,-0.010444913887315325,0.0,0.0,0.5476,0.576421052631579,1.0,0.5555555555555556,True,False,True,False,True,False,False
8,7Networks_LH_Vis_8,0.10685043761299716,0.0773255622221364,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
9,7Networks_LH_Vis_9,0.03103579102187521,0.10414120241896146,0.0,0.0,0.0,0.0,0.7777777777777778,0.8888888888888888,True,True,True,True,True,True,True
10,7Networks_LH_Vis_10,0.12776094095574486,-0.021242087952689163,0.0,0.0,0.2956,0.3266298342541436,1.0,0.6666666666666666,True,False,True,False,True,False,False
11,7Networks_LH_Vis_11,0.09658655379381445,0.11623044622441132,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
12,7Networks_LH_Vis_12,0.12864779577487045,-0.008966399796514047,0.0,0.0,0.4538,0.48534759358288765,1.0,0.7222222222222222,True,False,True,False,True,False,False
13,7Networks_LH_Vis_13,0.1542596752858824,-0.07511857193377283,0.0,0.0,0.0002,0.0003448275862068966,1.0,0.8333333333333334,True,True,True,True,True,True,False
14,7Networks_LH_Vis_14,0.1518336528291305,-0.06276270876535112,0.0,0.0,0.0014,0.002137404580152672,1.0,0.7777777777777778,True,True,True,True,True,True,False
15,7Networks_LH_SomMot_1,0.04051413506062494,0.022689032135531306,0.0,0.0,0.0028,0.004057971014492754,1.0,0.7222222222222222,True,True,True,False,True,False,False
16,7Networks_LH_SomMot_2,0.05640054680407047,0.02928185667325225,0.0,0.0,0.0006,0.0009677419354838709,1.0,0.7222222222222222,True,True,True,False,True,False,False
17,7Networks_LH_SomMot_3,0.04821001562393374,0.021230010574476585,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,True,True,True,True,True,True,True
18,7Networks_LH_SomMot_4,0.05594434754716025,0.020888713628260627,0.0,0.0,0.0014,0.002137404580152672,1.0,0.7777777777777778,True,True,True,True,True,True,True
19,7Networks_LH_SomMot_5,0.05915825363869468,0.018993832364988823,0.0,0.0,0.0198,0.025714285714285717,1.0,0.7777777777777778,True,True,True,True,True,True,True
20,7Networks_LH_SomMot_6,0.05129016635732518,0.043428331044399075,0.0,0.0,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True
21,7Networks_LH_SomMot_7,0.059185440031190716,0.05955945550360613,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
22,7Networks_LH_SomMot_8,0.05253595910552475,0.04546986949733562,0.0,0.0,0.0004,0.0006557377049180328,1.0,0.7777777777777778,True,True,True,True,True,True,True
23,7Networks_LH_SomMot_9,0.06440284879257281,0.057290607338978186,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
24,7Networks_LH_SomMot_10,0.06199943170779281,0.059146320912986994,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
25,7Networks_LH_SomMot_11,0.11117324233055115,0.06581857553424521,0.0,0.0,0.0,0.0,1.0,0.9444444444444444,True,True,True,True,True,True,True
26,7Networks_LH_SomMot_12,0.06619931415965159,0.056281010432737984,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,True,True,True,True,True,True,True
