ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
1,7Networks_LH_Vis_1,0.1703658852737209,0.1165466344408917,0.05381925083282921,0.05381925083282921,-0.036078795297652747,0.11837146414128832,0.7777777777777778,False,True,False,pIPS_clean > LO_clean
2,7Networks_LH_Vis_2,0.15822969278139348,0.16689889458985221,-0.008669201808458732,0.008669201808458732,-0.05605223185713363,0.037961177790726025,0.5555555555555556,False,False,False,LO_clean > pIPS_clean
3,7Networks_LH_Vis_3,0.04593532478881876,0.14876579415261915,-0.10283046936380039,0.10283046936380039,-0.1406598160734296,-0.06539716133128956,0.8333333333333334,True,True,True,LO_clean > pIPS_clean
4,7Networks_LH_Vis_4,0.20023525464499595,-0.046633467244876284,0.24686872188987224,0.24686872188987224,0.13840543328612231,0.3375257057952351,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
5,7Networks_LH_Vis_5,0.008368563921636638,0.17613737322866269,-0.16776880930702603,0.16776880930702603,-0.23486743804759685,-0.10297624327905382,0.8888888888888888,True,True,True,LO_clean > pIPS_clean
6,7Networks_LH_Vis_6,0.1426495109834032,0.014807513641191506,0.1278419973422117,0.1278419973422117,0.05146600303286815,0.18877405582834675,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
7,7Networks_LH_Vis_7,0.1346794751013977,-0.018486573251885487,0.15316604835328318,0.15316604835328318,0.06061560379784461,0.24016955167544124,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
8,7Networks_LH_Vis_8,0.1891158187840657,0.13685940216307327,0.052256416620992424,0.052256416620992424,0.004521598146574337,0.10414520625186195,0.6666666666666666,True,False,False,pIPS_clean > LO_clean
9,7Networks_LH_Vis_9,0.05493060357854018,0.1843207122459494,-0.12939010866740921,0.12939010866740921,-0.23203673843026978,-0.03364787334800602,0.6666666666666666,True,False,False,LO_clean > pIPS_clean
10,7Networks_LH_Vis_10,0.22612555921370764,-0.03759661584546744,0.26372217505917506,0.26372217505917506,0.17520378895045313,0.34778730308551403,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
