ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
1,7Networks_LH_Vis_1,0.09625672517965238,0.06584884845910387,0.07730513464711193,0.11536423091569709,0.03994073763735489,0.10322341318177575,True,True,True,False,False,False
2,7Networks_LH_Vis_2,0.08939977642148733,0.0942978754432665,0.07524004288845593,0.10212899181319193,0.07267943690013555,0.1157943097796912,True,True,True,False,False,False
3,7Networks_LH_Vis_3,0.025953458505682647,0.08405267369622986,0.014767877742350619,0.037531462726635954,0.06056861517976763,0.108030965384872,True,True,True,False,False,False
4,7Networks_LH_Vis_4,0.11313291887442271,-0.026347908993355103,0.08843940959518981,0.13956580004240898,-0.06618565652105543,0.02388207400929079,True,False,False,True,False,False
5,7Networks_LH_Vis_5,0.004728238615724776,0.09951761587419444,-0.007894149717564383,0.015918096105775062,0.07136889599237799,0.12893580843487545,False,True,False,False,True,False
6,7Networks_LH_Vis_6,0.08059697370562288,0.008366245207273297,0.06274957452486787,0.10036099754894773,-0.01764062468557515,0.04848684264450437,True,False,False,True,False,False
7,7Networks_LH_Vis_7,0.07609390343228976,-0.010444913887315325,0.054923430966058125,0.10068794709061166,-0.04481076568675538,0.02680878029722306,True,False,False,True,False,False
8,7Networks_LH_Vis_8,0.10685043761299716,0.0773255622221364,0.08772904899799162,0.12792154946881862,0.05451133217817793,0.1007314458515288,True,True,True,False,False,False
9,7Networks_LH_Vis_9,0.03103579102187521,0.10414120241896146,0.014362896546178188,0.050213018718770604,0.06357953524436905,0.14791304107897704,True,True,True,False,False,False
10,7Networks_LH_Vis_10,0.12776094095574486,-0.021242087952689163,0.10089096347283985,0.15769631445614826,-0.05680767268123519,0.02434859705358068,True,False,False,True,False,False
11,7Networks_LH_Vis_11,0.09658655379381445,0.11623044622441132,0.07797396649192605,0.11858905966186688,0.08037433256395161,0.15216466669614118,True,True,True,False,False,False
12,7Networks_LH_Vis_12,0.12864779577487045,-0.008966399796514047,0.09814314623880717,0.1625662276107404,-0.031393566022678794,0.015411163181609778,True,False,False,True,False,False
13,7Networks_LH_Vis_13,0.1542596752858824,-0.07511857193377283,0.12012529398004214,0.1892980775537176,-0.1110311426455155,-0.03635436188067418,True,True,True,False,False,False
14,7Networks_LH_Vis_14,0.1518336528291305,-0.06276270876535112,0.11998273929477567,0.18658678521816102,-0.100419408249824,-0.023776624614321118,True,True,True,False,False,False
15,7Networks_LH_SomMot_1,0.04051413506062494,0.022689032135531306,0.02721836502508571,0.05636035112224311,0.00720504248294876,0.04163185429384208,True,True,True,False,False,False
16,7Networks_LH_SomMot_2,0.05640054680407047,0.02928185667325225,0.03637573703243915,0.0816308539102061,0.01387763692958591,0.04456846041333239,True,True,True,False,False,False
17,7Networks_LH_SomMot_3,0.04821001562393374,0.021230010574476585,0.027844364641027318,0.07906351204340653,0.010473868265075403,0.03227097733308458,True,True,True,False,False,False
18,7Networks_LH_SomMot_4,0.05594434754716025,0.020888713628260627,0.03565483763813973,0.08159445261117068,0.00669711727855934,0.03692477154157434,True,True,True,False,False,False
19,7Networks_LH_SomMot_5,0.05915825363869468,0.018993832364988823,0.03613540910494824,0.09156895782022427,0.0029693190399686705,0.03900333705565168,True,True,True,False,False,False
20,7Networks_LH_SomMot_6,0.05129016635732518,0.043428331044399075,0.03772233212108,0.06564013754638531,0.027488396318060243,0.06133160910620871,True,True,True,False,False,False
21,7Networks_LH_SomMot_7,0.059185440031190716,0.05955945550360613,0.04590267798242469,0.07309665939925859,0.036045202837946516,0.09029675631964992,True,True,True,False,False,False
22,7Networks_LH_SomMot_8,0.05253595910552475,0.04546986949733562,0.040221906981120506,0.06606652226764709,0.01760057031771996,0.08140343392474783,True,True,True,False,False,False
23,7Networks_LH_SomMot_9,0.06440284879257281,0.057290607338978186,0.04864499956731581,0.0798472149763256,0.03815084953999354,0.0803998559144222,True,True,True,False,False,False
24,7Networks_LH_SomMot_10,0.06199943170779281,0.059146320912986994,0.04693129238827775,0.07789426309625722,0.03402412052059339,0.08752073420651464,True,True,True,False,False,False
25,7Networks_LH_SomMot_11,0.11117324233055115,0.06581857553424521,0.09016636548977759,0.1321498076327973,0.04120038535846915,0.09407610869449046,True,True,True,False,False,False
26,7Networks_LH_SomMot_12,0.06619931415965159,0.056281010432737984,0.047214824351896015,0.08707024431270029,0.03638725066185645,0.07644660515409972,True,True,True,False,False,False
27,7Networks_LH_SomMot_13,0.0829158535020219,0.03875444487979015,0.06707977714120514,0.0994215475084881,0.01893613792425539,0.060096049211764084,True,True,True,False,False,False
28,7Networks_LH_SomMot_14,0.05686036352482107,0.03522020306748649,0.038009552816705164,0.08182256450333321,0.02230044100756964,0.048038428867261646,True,True,True,False,False,False
29,7Networks_LH_SomMot_15,0.07393178985350662,0.037269646211320326,0.056505124273502995,0.09280048412684765,0.02055016257573799,0.05390067572912408,True,True,True,False,False,False
30,7Networks_LH_SomMot_16,0.06976671930816439,0.042095774629463754,0.05355490308461918,0.08700276985764502,0.023379338654275567,0.06040629589179943,True,True,True,False,False,False
31,7Networks_LH_DorsAttn_Post_1,0.046318991200274065,0.1111338757392433,0.035771788828424175,0.05726545926978967,0.09097970990050169,0.1336816903307206,True,True,True,False,False,False
32,7Networks_LH_DorsAttn_Post_2,0.07424823818210927,0.055849253898486495,0.05375655051256116,0.09619287238456307,0.032714476140164254,0.08297148894117627,True,True,True,False,False,False
33,7Networks_LH_DorsAttn_Post_3,0.12562998345432183,0.11164010916319159,0.09163970545762115,0.1587405610027619,0.07408836881578383,0.15427823160361084,True,True,True,False,False,False
34,7Networks_LH_DorsAttn_Post_4,0.06107666281362375,0.05054726079106331,0.04556032294510967,0.07668073365154365,0.024137884463157712,0.08436237359548815,True,True,True,False,False,False
35,7Networks_LH_DorsAttn_Post_5,0.07869097549054357,0.0842770298735963,0.05839739930298593,0.09943957410028412,0.05609227921813726,0.1199419014621526,True,True,True,False,False,False
36,7Networks_LH_DorsAttn_Post_6,0.08983809464714593,0.09333835675432864,0.06952218457332088,0.11108688030831722,0.06326511776973752,0.1288467777530766,True,True,True,False,False,False
37,7Networks_LH_DorsAttn_Post_7,0.07940278160903189,0.025996421903578773,0.05503892557592028,0.10696683581401077,0.013019802085020475,0.03940206829057488,True,True,True,False,False,False
38,7Networks_LH_DorsAttn_Post_8,0.10316530402956738,0.09432495907983846,0.08124924203018762,0.12620400852627225,0.06965978377783257,0.1191666876224594,True,True,True,False,False,False
39,7Networks_LH_DorsAttn_Post_9,0.12190547792447938,0.007656920701265335,0.09709577489023408,0.14904043747939996,-0.022305992759195054,0.042012283747964015,True,False,False,True,False,False
40,7Networks_LH_DorsAttn_Post_10,0.11161176860332489,0.024194130208343267,0.09404055105729237,0.13071131240576503,0.005511806969944802,0.04544460608675662,True,True,True,False,False,False
