ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,pIPS_LOO_Reliability,LO_LOO_Reliability,pIPS_Bootstrap_Significant,LO_Bootstrap_Significant,pIPS_LOO_Significant,LO_LOO_Significant,pIPS_Combined_Significant,LO_Combined_Significant,Both_Networks_Significant
1,7Networks_LH_Vis_1,0.09625672517965238,0.06584884845910387,0.07740705643211387,0.11483393962391548,0.04009090269812279,0.1020995991918931,1.0,0.8888888888888888,True,True,True,True,True,True,True
2,7Networks_LH_Vis_2,0.08939977642148733,0.0942978754432665,0.07584242249787268,0.10233090240508318,0.07295526250575979,0.11546595732733193,1.0,1.0,True,True,True,True,True,True,True
3,7Networks_LH_Vis_3,0.025953458505682647,0.08405267369622986,0.01489364941824331,0.037451064985685255,0.06118409608801206,0.10815120317662755,0.9444444444444444,1.0,True,True,True,True,True,True,True
4,7Networks_LH_Vis_4,0.11313291887442271,-0.026347908993355103,0.08826563462821974,0.13925571356279154,-0.06685035473912851,0.021986629141287663,1.0,0.7222222222222222,True,False,True,False,True,False,False
5,7Networks_LH_Vis_5,0.004728238615724776,0.09951761587419444,-0.007819230766553019,0.01577391853012765,0.07165698332246394,0.12880514396949566,0.6666666666666666,1.0,False,True,False,True,False,True,False
6,7Networks_LH_Vis_6,0.08059697370562288,0.008366245207273297,0.06217138751202987,0.09981328529409236,-0.018145438322486978,0.04675240756995561,1.0,0.2777777777777778,True,False,True,False,True,False,False
7,7Networks_LH_Vis_7,0.07609390343228976,-0.010444913887315325,0.05528103244335701,0.10036338525953599,-0.04477764608648916,0.026392704455388917,1.0,0.5555555555555556,True,False,True,False,True,False,False
8,7Networks_LH_Vis_8,0.10685043761299716,0.0773255622221364,0.08752716621901425,0.12822898222236997,0.05497279909646345,0.10048692758686632,1.0,0.9444444444444444,True,True,True,True,True,True,True
9,7Networks_LH_Vis_9,0.03103579102187521,0.10414120241896146,0.014341232008559423,0.04989577908547491,0.06330347783643649,0.14747536705431735,0.7777777777777778,0.8888888888888888,True,True,True,True,True,True,True
10,7Networks_LH_Vis_10,0.12776094095574486,-0.021242087952689163,0.10075288632781142,0.15726131439312463,-0.05733315926918294,0.022291368358613266,1.0,0.6666666666666666,True,False,True,False,True,False,False
11,7Networks_LH_Vis_11,0.09658655379381445,0.11623044622441132,0.07792539618805878,0.11778816989002129,0.08030424439865683,0.15099339777500265,1.0,0.8888888888888888,True,True,True,True,True,True,True
12,7Networks_LH_Vis_12,0.12864779577487045,-0.008966399796514047,0.09864536717327105,0.16356560856414337,-0.03198864223991728,0.01473219618912682,1.0,0.7222222222222222,True,False,True,False,True,False,False
13,7Networks_LH_Vis_13,0.1542596752858824,-0.07511857193377283,0.12087573743321829,0.1899858894550966,-0.11134158166435858,-0.037106142433670664,1.0,0.8333333333333334,True,True,True,True,True,True,False
14,7Networks_LH_Vis_14,0.1518336528291305,-0.06276270876535112,0.1198247378019409,0.1853757069446146,-0.10019283572004901,-0.02548075769898585,1.0,0.7777777777777778,True,True,True,True,True,True,False
15,7Networks_LH_SomMot_1,0.04051413506062494,0.022689032135531306,0.027247971385562172,0.05652152017250449,0.006470226950477809,0.04118731028736671,1.0,0.7222222222222222,True,True,True,False,True,False,False
16,7Networks_LH_SomMot_2,0.05640054680407047,0.02928185667325225,0.036516343132178816,0.08194350995278606,0.013641013596983005,0.044379944920203536,1.0,0.7222222222222222,True,True,True,False,True,False,False
17,7Networks_LH_SomMot_3,0.04821001562393374,0.021230010574476585,0.02778253028065794,0.07908226721920072,0.010561020083777193,0.03244816437622325,1.0,0.8333333333333334,True,True,True,True,True,True,True
18,7Networks_LH_SomMot_4,0.05594434754716025,0.020888713628260627,0.03553105257192833,0.08227531257499424,0.006422510946867987,0.03731761071313586,1.0,0.7777777777777778,True,True,True,True,True,True,True
19,7Networks_LH_SomMot_5,0.05915825363869468,0.018993832364988823,0.03639293501619249,0.0919317951438845,0.0023137162717628396,0.03846351732790935,1.0,0.7777777777777778,True,True,True,True,True,True,True
20,7Networks_LH_SomMot_6,0.05129016635732518,0.043428331044399075,0.03792382544941372,0.06595284719175348,0.02769458001971038,0.060574774436342224,1.0,1.0,True,True,True,True,True,True,True
21,7Networks_LH_SomMot_7,0.059185440031190716,0.05955945550360613,0.04561349016924699,0.0732512066554692,0.03614058039125262,0.08936044386484553,1.0,0.8888888888888888,True,True,True,True,True,True,True
22,7Networks_LH_SomMot_8,0.05253595910552475,0.04546986949733562,0.0400225197767011,0.06618375194052026,0.016975773746768636,0.08052082347502514,1.0,0.7777777777777778,True,True,True,True,True,True,True
23,7Networks_LH_SomMot_9,0.06440284879257281,0.057290607338978186,0.04850311198840953,0.08003277118679963,0.03837163576131893,0.07950629784156464,1.0,0.9444444444444444,True,True,True,True,True,True,True
24,7Networks_LH_SomMot_10,0.06199943170779281,0.059146320912986994,0.046628329750253925,0.07799485167488455,0.0338290379395605,0.08698296475922686,1.0,0.8888888888888888,True,True,True,True,True,True,True
25,7Networks_LH_SomMot_11,0.11117324233055115,0.06581857553424521,0.09036578854752911,0.1319618301362627,0.04123278971657985,0.09357727727264216,1.0,0.9444444444444444,True,True,True,True,True,True,True
26,7Networks_LH_SomMot_12,0.06619931415965159,0.056281010432737984,0.047250660552850196,0.0872485805147638,0.03568020906273483,0.07582629619670721,1.0,0.8888888888888888,True,True,True,True,True,True,True
27,7Networks_LH_SomMot_13,0.0829158535020219,0.03875444487979015,0.06703269354895586,0.09955968299570182,0.01858110937044128,0.059838451544702465,1.0,0.8333333333333334,True,True,True,True,True,True,True
28,7Networks_LH_SomMot_14,0.05686036352482107,0.03522020306748649,0.037994206985200035,0.08164773388739882,0.022152958734659476,0.048104050602867376,1.0,0.8888888888888888,True,True,True,True,True,True,True
29,7Networks_LH_SomMot_15,0.07393178985350662,0.037269646211320326,0.05648820558045473,0.09307519634668197,0.020250117184089807,0.05387572353033142,1.0,0.8888888888888888,True,True,True,True,True,True,True
30,7Networks_LH_SomMot_16,0.06976671930816439,0.042095774629463754,0.053576329159032966,0.08715840712603595,0.022771175305307326,0.06007656861458801,1.0,0.8333333333333334,True,True,True,True,True,True,True
31,7Networks_LH_DorsAttn_Post_1,0.046318991200274065,0.1111338757392433,0.03568233390493939,0.05736136963726796,0.09159869363841912,0.13338595730666483,0.9444444444444444,1.0,True,True,True,True,True,True,True
32,7Networks_LH_DorsAttn_Post_2,0.07424823818210927,0.055849253898486495,0.05357917487272061,0.09600994356248217,0.03209123453966135,0.08217055503240164,1.0,0.9444444444444444,True,True,True,True,True,True,True
33,7Networks_LH_DorsAttn_Post_3,0.12562998345432183,0.11164010916319159,0.09204469111153027,0.1581246975376012,0.07331708569286598,0.1521185094413037,0.9444444444444444,0.9444444444444444,True,True,True,True,True,True,True
34,7Networks_LH_DorsAttn_Post_4,0.06107666281362375,0.05054726079106331,0.045747530594882034,0.07686210034363386,0.023797440238478077,0.08332140946101085,1.0,0.8888888888888888,True,True,True,True,True,True,True
35,7Networks_LH_DorsAttn_Post_5,0.07869097549054357,0.0842770298735963,0.058755522573159795,0.09960823860536847,0.05611218392538528,0.11936603618992697,1.0,0.9444444444444444,True,True,True,True,True,True,True
36,7Networks_LH_DorsAttn_Post_6,0.08983809464714593,0.09333835675432864,0.06929126314094497,0.11135751060727568,0.06368773392298155,0.1283591616737087,1.0,0.9444444444444444,True,True,True,True,True,True,True
37,7Networks_LH_DorsAttn_Post_7,0.07940278160903189,0.025996421903578773,0.054585961868158644,0.10710018218184508,0.012927039055567649,0.03986260847175597,1.0,0.8888888888888888,True,True,True,True,True,True,True
38,7Networks_LH_DorsAttn_Post_8,0.10316530402956738,0.09432495907983846,0.0807794166314933,0.12628996876171894,0.07012140804694758,0.11968803242780268,1.0,0.9444444444444444,True,True,True,True,True,True,True
39,7Networks_LH_DorsAttn_Post_9,0.12190547792447938,0.007656920701265335,0.09711880161323481,0.14990706483109129,-0.022953523303537317,0.041008285096743036,1.0,0.3888888888888889,True,False,True,False,True,False,False
40,7Networks_LH_DorsAttn_Post_10,0.11161176860332489,0.024194130208343267,0.09405316875005762,0.13044114149072103,0.004963637126557943,0.04448125938264031,1.0,0.6666666666666666,True,True,True,False,True,False,False
41,7Networks_LH_DorsAttn_FEF_1,0.0681804624489612,0.05834226879394717,0.05403023947858148,0.08295808075151095,0.0332866937517085,0.08669937808687488,1.0,0.9444444444444444,True,True,True,True,True,True,True
42,7Networks_LH_DorsAttn_FEF_2,0.07727910283332069,0.02138191321864724,0.05774907879272683,0.10082313476466677,0.003999264226553755,0.03904617729648533,1.0,0.7222222222222222,True,True,True,False,True,False,False
43,7Networks_LH_DorsAttn_PrCv_1,0.045088870437919266,0.057586715194500156,0.032048228693505126,0.05855576314368388,0.039185267622168694,0.07850958701585314,1.0,1.0,True,True,True,True,True,True,True
44,7Networks_LH_SalVentAttn_ParOper_1,0.056531209809084736,0.0344514099156691,0.03464622583705932,0.08570127982723837,0.01827202071177049,0.05203652236895222,0.9444444444444444,0.8888888888888888,True,True,True,True,True,True,True
45,7Networks_LH_SalVentAttn_ParOper_2,0.06092529014373819,0.015347875370126631,0.03981626693987184,0.08529343552137207,-0.0020924258226942684,0.038598376210494376,1.0,0.6666666666666666,True,False,True,False,True,False,False
46,7Networks_LH_SalVentAttn_ParOper_3,0.050159986454269126,0.0244900520839211,0.03088975059961538,0.07062324992018855,0.004119343774962344,0.04471477420884183,0.8888888888888888,0.7777777777777778,True,True,True,True,True,True,True
