ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Dorsal_Connected,Ventral_Connected,Both_Connected,Dorsal_Only,Ventral_Only,Neither
1,7Networks_LH_Vis_1,0.09625673,0.06584884,True,True,True,False,False,False
2,7Networks_LH_Vis_2,0.089399785,0.09429786,True,True,True,False,False,False
3,7Networks_LH_Vis_3,0.025953459,0.08405267,True,True,True,False,False,False
4,7Networks_LH_Vis_4,0.113132924,-0.026347907,True,False,False,True,False,False
5,7Networks_LH_Vis_5,0.004728238,0.09951761,True,True,True,False,False,False
6,7Networks_LH_Vis_6,0.080596976,0.008366246,True,True,True,False,False,False
7,7Networks_LH_Vis_7,0.076093905,-0.010444915,True,False,False,True,False,False
8,7Networks_LH_Vis_8,0.10685044,0.07732556,True,True,True,False,False,False
9,7Networks_LH_Vis_9,0.03103579,0.104141206,True,True,True,False,False,False
10,7Networks_LH_Vis_10,0.12776093,-0.02124209,True,False,False,True,False,False
11,7Networks_LH_Vis_11,0.096586555,0.11623045,True,True,True,False,False,False
12,7Networks_LH_Vis_12,0.1286478,-0.0089664,True,False,False,True,False,False
13,7Networks_LH_Vis_13,0.15425967,-0.07511857,True,False,False,True,False,False
14,7Networks_LH_Vis_14,0.15183365,-0.06276271,True,False,False,True,False,False
15,7Networks_LH_SomMot_1,0.04051413,0.022689031,True,True,True,False,False,False
16,7Networks_LH_SomMot_2,0.056400552,0.029281855,True,True,True,False,False,False
17,7Networks_LH_SomMot_3,0.048210014,0.02123001,True,True,True,False,False,False
18,7Networks_LH_SomMot_4,0.05594435,0.02088871,True,True,True,False,False,False
19,7Networks_LH_SomMot_5,0.05915826,0.018993832,True,True,True,False,False,False
20,7Networks_LH_SomMot_6,0.051290166,0.04342833,True,True,True,False,False,False
21,7Networks_LH_SomMot_7,0.059185438,0.059559457,True,True,True,False,False,False
22,7Networks_LH_SomMot_8,0.052535966,0.045469876,True,True,True,False,False,False
23,7Networks_LH_SomMot_9,0.06440285,0.057290606,True,True,True,False,False,False
24,7Networks_LH_SomMot_10,0.061999425,0.05914633,True,True,True,False,False,False
25,7Networks_LH_SomMot_11,0.11117324,0.06581858,True,True,True,False,False,False
26,7Networks_LH_SomMot_12,0.06619932,0.05628101,True,True,True,False,False,False
27,7Networks_LH_SomMot_13,0.08291585,0.03875445,True,True,True,False,False,False
28,7Networks_LH_SomMot_14,0.05686037,0.035220202,True,True,True,False,False,False
29,7Networks_LH_SomMot_15,0.07393179,0.037269644,True,True,True,False,False,False
30,7Networks_LH_SomMot_16,0.06976672,0.042095777,True,True,True,False,False,False
31,7Networks_LH_DorsAttn_Post_1,0.04631899,0.11113388,True,True,True,False,False,False
32,7Networks_LH_DorsAttn_Post_2,0.07424824,0.055849254,True,True,True,False,False,False
33,7Networks_LH_DorsAttn_Post_3,0.12562999,0.11164011,True,True,True,False,False,False
34,7Networks_LH_DorsAttn_Post_4,0.061076667,0.050547257,True,True,True,False,False,False
35,7Networks_LH_DorsAttn_Post_5,0.078690976,0.084277034,True,True,True,False,False,False
36,7Networks_LH_DorsAttn_Post_6,0.0898381,0.093338355,True,True,True,False,False,False
37,7Networks_LH_DorsAttn_Post_7,0.079402775,0.025996422,True,True,True,False,False,False
38,7Networks_LH_DorsAttn_Post_8,0.1031653,0.09432496,True,True,True,False,False,False
39,7Networks_LH_DorsAttn_Post_9,0.12190548,0.007656922,True,True,True,False,False,False
40,7Networks_LH_DorsAttn_Post_10,0.111611776,0.02419413,True,True,True,False,False,False
41,7Networks_LH_DorsAttn_FEF_1,0.068180464,0.05834227,True,True,True,False,False,False
42,7Networks_LH_DorsAttn_FEF_2,0.07727909,0.021381915,True,True,True,False,False,False
43,7Networks_LH_DorsAttn_PrCv_1,0.045088872,0.057586715,True,True,True,False,False,False
44,7Networks_LH_SalVentAttn_ParOper_1,0.056531206,0.03445141,True,True,True,False,False,False
45,7Networks_LH_SalVentAttn_ParOper_2,0.060925286,0.015347875,True,True,True,False,False,False
46,7Networks_LH_SalVentAttn_ParOper_3,0.050159987,0.024490051,True,True,True,False,False,False
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.03347669,0.015203749,True,True,True,False,False,False
48,7Networks_LH_SalVentAttn_FrOperIns_2,0.026528846,0.032961443,True,True,True,False,False,False
49,7Networks_LH_SalVentAttn_FrOperIns_3,0.040944304,0.013960619,True,True,True,False,False,False
50,7Networks_LH_SalVentAttn_FrOperIns_4,0.044887763,0.025370112,True,True,True,False,False,False
51,7Networks_LH_SalVentAttn_PFCl_1,0.038352355,0.02393923,True,True,True,False,False,False
52,7Networks_LH_SalVentAttn_Med_1,0.03965662,0.051419776,True,True,True,False,False,False
53,7Networks_LH_SalVentAttn_Med_2,0.07430316,0.021573162,True,True,True,False,False,False
54,7Networks_LH_SalVentAttn_Med_3,0.059296872,0.04968305,True,True,True,False,False,False
55,7Networks_LH_Limbic_OFC_1,0.020696273,0.023218423,True,True,True,False,False,False
56,7Networks_LH_Limbic_OFC_2,0.0137077235,0.017990753,True,True,True,False,False,False
57,7Networks_LH_Limbic_TempPole_1,0.016203912,0.018796511,True,True,True,False,False,False
58,7Networks_LH_Limbic_TempPole_2,0.014274306,0.025507815,True,True,True,False,False,False
59,7Networks_LH_Limbic_TempPole_3,0.011384571,0.018032296,True,True,True,False,False,False
60,7Networks_LH_Limbic_TempPole_4,0.008408499,0.019136751,True,True,True,False,False,False
61,7Networks_LH_Cont_Par_1,0.048784457,0.030659564,True,True,True,False,False,False
62,7Networks_LH_Cont_Par_2,0.07058296,0.06758252,True,True,True,False,False,False
63,7Networks_LH_Cont_Par_3,0.06580022,0.075095244,True,True,True,False,False,False
64,7Networks_LH_Cont_Temp_1,0.042802554,0.040640518,True,True,True,False,False,False
65,7Networks_LH_Cont_OFC_1,0.029651066,0.01912386,True,True,True,False,False,False
66,7Networks_LH_Cont_PFCl_1,0.0220803,0.013051895,True,True,True,False,False,False
67,7Networks_LH_Cont_PFCl_2,0.03400553,0.02697309,True,True,True,False,False,False
68,7Networks_LH_Cont_PFCl_3,0.03827038,0.02674178,True,True,True,False,False,False
69,7Networks_LH_Cont_PFCl_4,0.045961645,0.06429461,True,True,True,False,False,False
70,7Networks_LH_Cont_PFCl_5,0.0545908,0.082709484,True,True,True,False,False,False
71,7Networks_LH_Cont_pCun_1,0.14262852,-0.028107302,True,False,False,True,False,False
72,7Networks_LH_Cont_Cing_1,0.06899958,0.012820858,True,True,True,False,False,False
73,7Networks_LH_Cont_Cing_2,0.03108267,0.031947374,True,True,True,False,False,False
74,7Networks_LH_Default_Temp_1,0.014289417,0.021365883,True,True,True,False,False,False
75,7Networks_LH_Default_Temp_2,0.018546712,0.032996353,True,True,True,False,False,False
76,7Networks_LH_Default_Temp_3,0.03009313,0.033583727,True,True,True,False,False,False
77,7Networks_LH_Default_Temp_4,0.04264033,0.046800885,True,True,True,False,False,False
78,7Networks_LH_Default_Temp_5,0.044817213,0.059751928,True,True,True,False,False,False
79,7Networks_LH_Default_Par_1,0.090792954,0.035795677,True,True,True,False,False,False
80,7Networks_LH_Default_Par_2,0.12177617,0.006056071,True,True,True,False,False,False
81,7Networks_LH_Default_Par_3,0.05181504,0.010850331,True,True,True,False,False,False
82,7Networks_LH_Default_Par_4,0.0717072,0.002745887,True,True,True,False,False,False
83,7Networks_LH_Default_PFC_1,0.019056492,0.028144049,True,True,True,False,False,False
84,7Networks_LH_Default_PFC_2,0.032051627,0.0074221515,True,True,True,False,False,False
85,7Networks_LH_Default_PFC_3,0.019560939,0.02214094,True,True,True,False,False,False
86,7Networks_LH_Default_PFC_4,0.026669333,0.009505107,True,True,True,False,False,False
87,7Networks_LH_Default_PFC_5,0.034112982,0.023948647,True,True,True,False,False,False
88,7Networks_LH_Default_PFC_6,0.027932767,0.0020828806,True,True,True,False,False,False
89,7Networks_LH_Default_PFC_7,0.016522966,0.01833909,True,True,True,False,False,False
90,7Networks_LH_Default_PFC_8,0.025790943,0.031266376,True,True,True,False,False,False
91,7Networks_LH_Default_PFC_9,0.027962646,0.022352753,True,True,True,False,False,False
92,7Networks_LH_Default_PFC_10,0.04089375,0.05482029,True,True,True,False,False,False
93,7Networks_LH_Default_PFC_11,0.053264145,0.03939488,True,True,True,False,False,False
94,7Networks_LH_Default_PFC_12,0.06361788,0.011815234,True,True,True,False,False,False
95,7Networks_LH_Default_PFC_13,0.048845626,0.03537754,True,True,True,False,False,False
96,7Networks_LH_Default_pCunPCC_1,0.1191268,-0.014680929,True,False,False,True,False,False
97,7Networks_LH_Default_pCunPCC_2,0.099491686,-0.015239824,True,False,False,True,False,False
98,7Networks_LH_Default_pCunPCC_3,0.06457356,0.021188818,True,True,True,False,False,False
99,7Networks_LH_Default_pCunPCC_4,0.090372674,0.004488925,True,True,True,False,False,False
100,7Networks_LH_Default_PHC_1,0.056848485,0.0411593,True,True,True,False,False,False
101,7Networks_RH_Vis_1,0.032476656,0.09431718,True,True,True,False,False,False
102,7Networks_RH_Vis_2,0.067535944,0.060799763,True,True,True,False,False,False
103,7Networks_RH_Vis_3,0.075953014,0.12434076,True,True,True,False,False,False
104,7Networks_RH_Vis_4,0.11293892,-0.018844917,True,False,False,True,False,False
105,7Networks_RH_Vis_5,0.028466562,0.072712876,True,True,True,False,False,False
106,7Networks_RH_Vis_6,0.044135183,0.052088343,True,True,True,False,False,False
107,7Networks_RH_Vis_7,0.0827086,0.0068132826,True,True,True,False,False,False
108,7Networks_RH_Vis_8,0.0039375275,0.12706079,True,True,True,False,False,False
109,7Networks_RH_Vis_9,0.14637046,-0.056451872,True,False,False,True,False,False
